Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Mississippi	937	20	0	0	0.00031484	6.72e-06	6666.66666667	3076.92307692	2000	0.00224	0.00103384615385	0.000672	90	4	2.3	100	NA	NA
Northern Mariana Islands	2	0	0	0	N/A	N/A	10	4	2.5	N/A	N/A	N/A	2	0	100	100	NA	NA
Grand Princess	103	3	0	0	N/A	N/A	1000	461.538461538	300	N/A	N/A	N/A	0	0	100	100	NA	NA
Oklahoma	568	23	0	0	0.00014354	5.81e-06	7666.66666667	3538.46153846	2300	0.00193666666667	0.000893846153846	0.000581	87	7	67.3	100	NA	NA
Wyoming	109	0	0	0	0.00018833	0.0	545	218	136.25	0.00094165	0.00037666	0.0002354125	15	0	87.5	100	NA	NA
Minnesota	629	12	0	0	0.00011153	2.13e-06	4000	1846.15384615	1200	0.00071	0.000327692307692	0.000213	53	2	-27.4	100	NA	NA
Illinois	5994	99	0	0	0.00047302	7.81e-06	33000	15230.7692308	9900	0.00260333333333	0.00120153846154	0.000781	938	26	103.9	271.4	35225	0.00278
Diamond Princess	49	0	0	0	N/A	N/A	245	98	61.25	N/A	N/A	N/A	0	0	100	100	NA	NA
Arkansas	523	8	0	0	0.0001733	2.65e-06	2666.66666667	1230.76923077	800	0.000883333333333	0.000407692307692	0.000265	50	1	6.4	0	NA	NA
New Mexico	315	4	0	0	0.00015023	1.91e-06	1333.33333333	615.384615385	400	0.000636666666667	0.000293846153846	0.000191	78	2	100	100	NA	NA
Indiana	2158	49	0	0	0.00032055	7.28e-06	16333.3333333	7538.46153846	4900	0.00242666666667	0.00112	0.000728	372	14	36.3	366.7	NA	NA
Maryland	1660	18	0	0	0.00027458	2.98e-06	6000	2769.23076923	1800	0.000993333333333	0.000458461538462	0.000298	247	3	42	-40	NA	NA
Louisiana	5237	239	0	0	0.00112653	5.141e-05	79666.6666667	36769.2307692	23900	0.0171366666667	0.00790923076923	0.005141	1212	54	149.9	58.8	38967	0.008362
Idaho	515	8	0	0	0.00028818	4.48e-06	2666.66666667	1230.76923077	800	0.00149333333333	0.000689230769231	0.000448	175	2	196.6	100	NA	NA
Arizona	1289	24	0	0	0.00017709	3.3e-06	8000	3692.30769231	2400	0.0011	0.000507692307692	0.00033	132	4	-44.5	33.3	NA	NA
Iowa	497	7	0	0	0.00015752	2.22e-06	2333.33333333	1076.92307692	700	0.00074	0.000341538461538	0.000222	73	1	-17	-50	NA	NA
Michigan	7615	259	0	0	0.0007625	2.593e-05	86333.3333333	39846.1538462	25900	0.00864333333333	0.00398923076923	0.002593	1117	75	10.6	44.2	18391	0.001835
Kansas	434	9	0	0	0.00014897	3.09e-06	3000	1384.61538462	900	0.00103	0.000475384615385	0.000309	62	1	47.6	0	NA	NA
Utah	888	5	0	0	0.00027698	1.56e-06	1666.66666667	769.230769231	500	0.00052	0.00024	0.000156	84	1	0	-50	NA	NA
Virginia	1249	27	0	0	0.00014633	3.16e-06	9000	4153.84615385	2700	0.00105333333333	0.000486153846154	0.000316	229	12	76.2	-340	NA	NA
Oregon	690	18	0	0	0.00016359	4.27e-06	6000	2769.23076923	1800	0.00142333333333	0.000656923076923	0.000427	84	2	44.8	-33.3	NA	NA
Connecticut	3128	69	0	0	0.00087735	1.935e-05	23000	10615.3846154	6900	0.00645	0.00297692307692	0.001935	557	33	-3.6	1550	NA	NA
Tennessee	2391	23	0	0	0.00035012	3.37e-06	7666.66666667	3538.46153846	2300	0.00112333333333	0.000518461538462	0.000337	474	9	140.6	50	NA	NA
California	8210	173	0	0	0.00020778	4.38e-06	57666.6666667	26615.3846154	17300	0.00146	0.000673846153846	0.000438	1072	27	-16.6	22.7	86100	0.002179
Texas	3809	54	0	0	0.00013136	1.86e-06	18000	8307.69230769	5400	0.00062	0.000286153846154	0.000186	662	9	86.5	12.5	42992	0.001483
Texas	3809	54	0	0	0.00013136	1.86e-06	18000	8307.69230769	5400	0.00062	0.000286153846154	0.000186	662	9	86.5	12.5	42992	0.001483
West Virginia	162	1	0	0	9.039e-05	5.6e-07	333.333333333	153.846153846	100	0.000186666666667	8.61538461538e-05	5.6e-05	17	0	-46.9	-100	NA	NA
South Carolina	1083	22	0	0	0.00021034	4.27e-06	7333.33333333	3384.61538462	2200	0.00142333333333	0.000656923076923	0.000427	158	4	4.6	100	NA	NA
New Hampshire	357	3	0	0	0.00026256	2.21e-06	1000	461.538461538	300	0.000736666666667	0.00034	0.000221	43	0	-57	-100	NA	NA
Wisconsin	1412	25	0	0	0.00024251	4.29e-06	8333.33333333	3846.15384615	2500	0.00143	0.00066	0.000429	182	5	175.8	150	NA	NA
Vermont	293	13	0	0	0.00046956	2.083e-05	4333.33333333	2000	1300	0.00694333333333	0.00320461538462	0.002083	37	1	76.2	100	NA	NA
Georgia	3929	111	0	0	0.00037005	1.045e-05	37000	17076.9230769	11100	0.00348333333333	0.00160769230769	0.001045	1121	24	614	242.9	NA	NA
North Dakota	122	3	0	0	0.00016009	3.94e-06	1000	461.538461538	300	0.00131333333333	0.000606153846154	0.000394	13	1	18.2	0	NA	NA
Hawaii	204	0	0	0	0.00014408	0.0	1020	408	255	0.0007204	0.00028816	0.0001801	29	0	11.5	100	NA	NA
Pennsylvania	4963	63	0	0	0.00038767	4.92e-06	21000	9692.30769231	6300	0.00164	0.000756923076923	0.000492	808	13	11.8	44.4	NA	NA
Puerto Rico	239	8	0	0	7.483e-05	2.5e-06	2666.66666667	1230.76923077	800	0.000833333333333	0.000384615384615	0.00025	65	2	38.3	-33.3	NA	NA
Florida	6741	85	0	0	0.00031386	3.96e-06	28333.3333333	13076.9230769	8500	0.00132	0.000609230769231	0.000396	1268	22	3.3	214.3	61802	0.0028769999999999998
Alaska	119	3	0	0	0.00016267	4.1e-06	1000	461.538461538	300	0.00136666666667	0.000630769230769	0.00041	5	0	-58.3	-100	NA	NA
Kentucky	628	11	0	0	0.00014057	2.46e-06	3666.66666667	1692.30769231	1100	0.00082	0.000378461538462	0.000246	149	0	263.4	-100	NA	NA
