Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Daviess	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Shelby	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Barry	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Mississippi	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Montgomery	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Dunklin	1	0	0	0	3.399e-05	0.0	5	2	1.25	0.00016995	6.798e-05	4.24875e-05	0	0
Wayne	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Worth	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Texas	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Laclede	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Hickory	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Adair	2	0	0	0	7.893e-05	0.0	10	4	2.5	0.00039465	0.00015786	9.86625e-05	1	0
Henry	1	0	0	0	4.589e-05	0.0	5	2	1.25	0.00022945	9.178e-05	5.73625e-05	0	0
Webster	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
New Madrid	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Sullivan	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Buchanan	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Newton	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Washington	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Moniteau	1	0	0	0	6.203e-05	0.0	5	2	1.25	0.00031015	0.00012406	7.75375e-05	1	0
Sainte Genevieve	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Marion	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Jasper	1	0	0	0	8.29e-06	0.0	5	2	1.25	4.145e-05	1.658e-05	1.03625e-05	0	0
Polk	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Gasconade	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Ray	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Perry	1	0	0	0	5.222e-05	0.0	5	2	1.25	0.0002611	0.00010444	6.5275e-05	1	0
Jackson	10	1	0	0	1.428e-05	1.43e-06	333.333333333	153.846153846	100	0.000476666666667	0.00022	0.000143	2	0
Howard	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Caldwell	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
Carroll	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0
