Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Aruba	0.001	1e-08	0.003	3e-08	0.0	0.0	0.0	0.0
Argentina	8.9	2e-07	49.749	1.12e-06	0.053	0.0	0.298	1e-08
Bolivia	0.32	3e-08	0.844	7e-08	0.002	0.0	0.005	0.0
Uruguay	0.018	1e-08	0.044	1e-08	0.0	0.0	0.0	0.0
Peru	5.004	1.6e-07	17.637	5.5e-07	0.03	0.0	0.106	0.0
Brazil	41.899	2e-07	490.434	2.34e-06	0.251	0.0	2.943	1e-08
Ecuador	3.505	2.1e-07	26.068	1.53e-06	0.021	0.0	0.156	1e-08
Chile	3.746	2e-07	20.941	1.12e-06	0.022	0.0	0.126	1e-08
Colombia	7.767	1.6e-07	27.374	5.5e-07	0.047	0.0	0.164	0.0
Barbados	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
Curacao	0.001	1e-08	0.002	1e-08	0.0	0.0	0.0	0.0
Suriname	0.003	1e-08	0.007	1e-08	0.0	0.0	0.0	0.0
Venezuela	0.148	1e-08	0.37	1e-08	0.001	0.0	0.002	0.0
Guyana	0.016	2e-08	0.036	5e-08	0.0	0.0	0.0	0.0
