Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Aruba	0.004	4e-08	0.008	8e-08	0.0	0.0	0.0	0.0
Argentina	6497.462	0.00014603	42356.874	0.00095196	38.985	8.8e-07	254.141	5.71e-06
Bolivia	80.321	7.07e-06	235.607	2.075e-05	0.482	4e-08	1.414	1.2e-07
Uruguay	2.471	7.2e-07	4.943	1.43e-06	0.015	0.0	0.03	1e-08
Peru	2933.333	9.17e-05	12073.428	0.00037742	17.6	5.5e-07	72.441	2.26e-06
Brazil	133066.193	0.00063525	1797305.02	0.00858028	798.397	3.81e-06	10783.83	5.148e-05
Ecuador	982.169	5.749e-05	8196.868	0.00047979	5.893	3.4e-07	49.181	2.88e-06
Chile	1151.245	6.147e-05	7504.95	0.00040071	6.907	3.7e-07	45.03	2.4e-06
Colombia	7065.918	0.00014232	29082.907	0.00058577	42.396	8.5e-07	174.497	3.51e-06
Barbados	0.003	1e-08	0.007	2e-08	0.0	0.0	0.0	0.0
Curacao	0.005	3e-08	0.011	7e-08	0.0	0.0	0.0	0.0
Suriname	0.069	1.2e-07	0.138	2.4e-07	0.0	0.0	0.001	0.0
Venezuela	173.13	6e-06	346.261	1.199e-05	1.039	4e-08	2.078	7e-08
Guyana	0.277	3.6e-07	0.731	9.4e-07	0.002	0.0	0.004	1e-08
