Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-25	2.364	2.7e-07	2.364	2.7e-07	0.0	0.0	0.0	0.0
2020-01-26	4.729	5.3e-07	7.093	8e-07	0.0	0.0	0.0	0.0
2020-01-27	9.457	1.07e-06	16.55	1.87e-06	0.0	0.0	0.0	0.0
2020-01-28	18.914	2.14e-06	35.464	4.01e-06	0.0	0.0	0.0	0.0
2020-01-29	32.864	3.71e-06	68.328	7.72e-06	0.0	0.0	0.0	0.0
2020-01-30	65.727	7.43e-06	134.056	1.515e-05	0.0	0.0	0.0	0.0
2020-01-31	98.591	1.114e-05	232.647	2.63e-05	0.0	0.0	0.0	0.0
2020-02-01	197.182	2.229e-05	429.829	4.858e-05	0.0	0.0	0.0	0.0
2020-02-02	328.637	3.715e-05	758.467	8.573e-05	0.0	0.0	0.0	0.0
2020-02-03	492.956	5.572e-05	1251.423	0.00014145	0.0	0.0	0.0	0.0
2020-02-04	657.275	7.429e-05	1908.697	0.00021574	0.014	0.0	0.014	0.0
2020-02-05	821.593	9.287e-05	2730.291	0.00030861	0.028	0.0	0.043	0.0
2020-02-06	985.912	0.00011144	3716.203	0.00042005	0.057	1e-08	0.099	1e-08
2020-02-07	1150.231	0.00013001	4866.433	0.00055006	0.113	1e-08	0.213	2e-08
2020-02-08	1380.277	0.00015602	6246.71	0.00070608	0.197	2e-08	0.41	5e-08
2020-02-09	1643.187	0.00018573	7889.897	0.00089181	0.394	4e-08	0.804	9e-08
2020-02-10	1971.824	0.00022288	9861.721	0.00111469	0.592	7e-08	1.396	1.6e-07
2020-02-11	2366.189	0.00026746	12227.91	0.00138215	1.183	1.3e-07	2.579	2.9e-07
2020-02-12	3056.327	0.00034546	15284.237	0.00172761	1.972	2.2e-07	4.551	5.1e-07
2020-02-13	4305.149	0.00048662	19589.387	0.00221423	2.958	3.3e-07	7.509	8.5e-07
2020-02-14	6211.246	0.00070207	25800.632	0.0029163	3.944	4.5e-07	11.452	1.29e-06
2020-02-15	7661.632	0.00086601	33462.264	0.00378231	4.93	5.6e-07	16.382	1.85e-06
2020-02-16	9591.829	0.00108419	43054.093	0.0048665	5.915	6.7e-07	22.297	2.52e-06
2020-02-17	11679.771	0.00132019	54733.864	0.00618669	6.901	7.8e-07	29.199	3.3e-06
2020-02-18	14192.752	0.00160424	68926.616	0.00779093	8.282	9.4e-07	37.48	4.24e-06
2020-02-19	17082.569	0.00193088	86009.185	0.00972181	9.859	1.11e-06	47.339	5.35e-06
2020-02-20	20907.908	0.00236327	106917.093	0.01208507	11.831	1.34e-06	59.17	6.69e-06
2020-02-21	25822.132	0.00291873	132739.225	0.01500381	14.197	1.6e-06	73.367	8.29e-06
2020-02-22	31763.895	0.00359034	164503.12	0.01859415	18.338	2.07e-06	91.705	1.037e-05
2020-02-23	38246.814	0.00432312	202749.934	0.02291727	25.831	2.92e-06	117.536	1.329e-05
2020-02-24	45855.864	0.00518319	248605.799	0.02810046	37.267	4.21e-06	154.804	1.75e-05
2020-02-25	53859.279	0.00608783	302465.078	0.03418829	45.97	5.2e-06	200.774	2.269e-05
2020-02-26	62620.751	0.00707816	365085.829	0.04126645	57.551	6.51e-06	258.325	2.92e-05
2020-02-27	72400.998	0.00818364	437486.827	0.0494501	70.079	7.92e-06	328.403	3.712e-05
2020-02-28	83528.659	0.00944143	521015.486	0.05889152	85.157	9.63e-06	413.56	4.675e-05
2020-02-29	94297.009	0.0106586	615312.495	0.06955012	102.495	1.159e-05	516.055	5.833e-05
2020-03-01	103292.909	0.01167542	718605.404	0.08122555	125.447	1.418e-05	641.503	7.251e-05
2020-03-02	111502.27	0.01260335	830107.674	0.09382889	154.933	1.751e-05	796.435	9.002e-05
2020-03-03	121059.044	0.01368357	951166.718	0.10751246	190.583	2.154e-05	987.019	0.00011156
