Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-15	0.132	0.0	0.132	0.0	0.001	0.0	0.001	0.0
2020-03-16	0.132	0.0	0.264	1e-08	0.001	0.0	0.002	0.0
2020-03-17	0.132	0.0	0.395	1e-08	0.001	0.0	0.002	0.0
2020-03-18	0.264	1e-08	0.659	1e-08	0.002	0.0	0.004	0.0
2020-03-19	0.659	1e-08	1.318	3e-08	0.004	0.0	0.008	0.0
2020-03-20	1.054	2e-08	2.372	5e-08	0.006	0.0	0.014	0.0
2020-03-21	1.45	3e-08	3.822	7e-08	0.009	0.0	0.023	0.0
2020-03-22	1.977	4e-08	5.799	1.1e-07	0.012	0.0	0.035	0.0
2020-03-23	3.163	6e-08	8.962	1.7e-07	0.019	0.0	0.054	0.0
2020-03-24	4.745	9e-08	13.706	2.7e-07	0.028	0.0	0.082	0.0
2020-03-25	6.59	1.3e-07	20.296	3.9e-07	0.04	0.0	0.122	0.0
2020-03-26	8.039	1.6e-07	28.336	5.5e-07	0.048	0.0	0.17	0.0
2020-03-27	9.094	1.8e-07	37.429	7.3e-07	0.055	0.0	0.225	0.0
2020-03-28	9.753	1.9e-07	47.182	9.2e-07	0.059	0.0	0.283	1e-08
2020-03-29	10.28	2e-07	57.462	1.12e-06	0.062	0.0	0.345	1e-08
2020-03-30	10.412	2e-07	67.873	1.32e-06	0.062	0.0	0.407	1e-08
2020-03-31	10.543	2.1e-07	78.417	1.53e-06	0.063	0.0	0.471	1e-08
2020-04-01	10.675	2.1e-07	89.092	1.73e-06	0.064	0.0	0.535	1e-08
2020-04-02	10.543	2.1e-07	99.636	1.94e-06	0.063	0.0	0.598	1e-08
2020-04-03	10.412	2e-07	110.047	2.14e-06	0.062	0.0	0.66	1e-08
2020-04-04	10.28	2e-07	120.327	2.34e-06	0.062	0.0	0.722	1e-08
2020-04-05	9.621	1.9e-07	129.948	2.53e-06	0.058	0.0	0.78	2e-08
2020-04-06	9.357	1.8e-07	139.305	2.71e-06	0.056	0.0	0.836	2e-08
2020-04-07	8.83	1.7e-07	148.136	2.88e-06	0.053	0.0	0.889	2e-08
2020-04-08	7.644	1.5e-07	155.78	3.03e-06	0.046	0.0	0.935	2e-08
2020-04-09	6.59	1.3e-07	162.369	3.16e-06	0.04	0.0	0.974	2e-08
2020-04-10	5.667	1.1e-07	168.036	3.27e-06	0.034	0.0	1.008	2e-08
2020-04-11	4.876	9e-08	172.913	3.36e-06	0.029	0.0	1.037	2e-08
2020-04-12	4.086	8e-08	176.998	3.44e-06	0.025	0.0	1.062	2e-08
2020-04-13	3.295	6e-08	180.293	3.51e-06	0.02	0.0	1.082	2e-08
2020-04-14	2.636	5e-08	182.929	3.56e-06	0.016	0.0	1.098	2e-08
2020-04-15	2.24	4e-08	185.169	3.6e-06	0.013	0.0	1.111	2e-08
2020-04-16	1.977	4e-08	187.146	3.64e-06	0.012	0.0	1.123	2e-08
2020-04-17	1.713	3e-08	188.86	3.67e-06	0.01	0.0	1.133	2e-08
2020-04-18	1.45	3e-08	190.309	3.7e-06	0.009	0.0	1.142	2e-08
2020-04-19	1.186	2e-08	191.496	3.73e-06	0.007	0.0	1.149	2e-08
2020-04-20	0.923	2e-08	192.418	3.74e-06	0.006	0.0	1.155	2e-08
2020-04-21	0.659	1e-08	193.077	3.76e-06	0.004	0.0	1.158	2e-08
2020-04-22	0.527	1e-08	193.604	3.77e-06	0.003	0.0	1.162	2e-08
2020-04-23	0.395	1e-08	194.0	3.77e-06	0.002	0.0	1.164	2e-08
2020-04-24	0.264	1e-08	194.263	3.78e-06	0.002	0.0	1.166	2e-08
2020-04-25	0.132	0.0	194.395	3.78e-06	0.001	0.0	1.166	2e-08
2020-04-26	194.395	3.78e-06	388.79	7.57e-06	1.166	2e-08	2.333	5e-08
