Autauga,55601
Baldwin,218022
Barbour,24881
Bibb,22400
Blount,57840
Bullock,10138
Butler,19680
Calhoun,114277
Chambers,33615
Cherokee,26032
Chilton,44153
Choctaw,12841
Clarke,23920
Clay,13275
Cleburne,14987
Coffee,51909
Colbert,54762
Conecuh,12277
Coosa,10715
Covington,36986
Crenshaw,13824
Cullman,83442
Dale,48956
Dallas,38310
De Kalb,71385
Elmore,81887
Escambia,36748
Etowah,102501
Fayette,16433
Franklin,31363
Geneva,26314
Greene,8233
Hale,14726
Henry,17209
Houston,104722
Jackson,51736
Jefferson,659300
Lamar,13844
Lauderdale,92387
Lawrence,32957
Lee,163941
Limestone,96174
Lowndes,9974
Macon,18439
Madison,366519
Marengo,19066
Marion,29763
Marshall,96109
Mobile,413757
Monroe,21067
Montgomery,225763
Morgan,119089
Perry,9140
Pickens,19938
Pike,33338
Randolph,22725
Russell,57781
Saint Clair,88690
Shelby,215707
Sumter,12691
Talladega,79828
Tallapoosa,40497
Tuscaloosa,208911
Walker,63711
Washington,16378
Wilcox,10627
Winston,23660
