Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Choctaw	0.0	0.0	0.0	0.0
Limestone	0.198	0.791	2.06e-06	8.22e-06
Pike	0.0	0.0	0.0	0.0
Cherokee	0.0	0.0	0.0	0.0
Montgomery	2.334	8.503	1.034e-05	3.766e-05
Tuscaloosa	2.337	7.012	1.119e-05	3.356e-05
Russell	3.618	9.202	6.262e-05	0.00015926
Bullock	0.0	0.0	0.0	0.0
Washington	0.0	0.0	0.0	0.0
Etowah	6.472	18.561	6.314e-05	0.00018108
Wilcox	0.722	2.153	6.794e-05	0.0002026
Sumter	1.121	3.267	8.833e-05	0.00025743
Baldwin	1.727	5.099	7.92e-06	2.339e-05
Macon	0.0	0.0	0.0	0.0
Coosa	0.922	2.83	8.605e-05	0.00026412
Fayette	0.0	0.0	0.0	0.0
Bibb	0.567	1.749	2.531e-05	7.808e-05
Barbour	0.263	0.808	1.057e-05	3.247e-05
Covington	0.0	0.0	0.0	0.0
Monroe	0.0	0.0	0.0	0.0
Lamar	1.012	2.502	7.31e-05	0.00018073
Lawrence	0.307	0.943	9.32e-06	2.861e-05
Marion	1.518	3.752	5.1e-05	0.00012606
Dale	0.0	0.0	0.0	0.0
Autauga	0.0	0.0	0.0	0.0
Talladega	1.731	4.59	2.168e-05	5.75e-05
Houston	2.637	6.941	2.518e-05	6.628e-05
Colbert	0.0	0.0	0.0	0.0
Henry	0.263	0.808	1.528e-05	4.695e-05
Conecuh	0.0	0.0	0.0	0.0
Tallapoosa	1.236	3.855	3.052e-05	9.519e-05
Cullman	0.185	0.778	2.22e-06	9.32e-06
Calhoun	4.666	12.492	4.083e-05	0.00010931
Clarke	0.808	2.487	3.378e-05	0.00010397
Marshall	7.236	18.404	7.529e-05	0.00019149
Randolph	0.599	1.844	2.636e-05	8.114e-05
Dallas	0.0	0.0	0.0	0.0
Clay	0.0	0.0	0.0	0.0
Mobile	15.107	42.732	3.651e-05	0.00010328
Chilton	0.219	0.736	4.96e-06	1.667e-05
Crenshaw	0.0	0.0	0.0	0.0
Franklin	0.399	1.098	1.272e-05	3.501e-05
Coffee	0.276	0.85	5.32e-06	1.637e-05
Butler	0.0	0.0	0.0	0.0
Blount	0.0	0.0	0.0	0.0
Greene	2.045	5.584	0.00024839	0.00067825
Escambia	0.0	0.0	0.0	0.0
Perry	0.0	0.0	0.0	0.0
Morgan	1.186	3.708	9.96e-06	3.114e-05
Cleburne	0.0	0.0	0.0	0.0
Lowndes	1.241	3.356	0.00012442	0.00033647
Hale	0.283	0.873	1.922e-05	5.928e-05
Winston	0.0	0.0	0.0	0.0
Walker	1.956	5.938	3.07e-05	9.32e-05
Marengo	0.615	1.887	3.226e-05	9.897e-05
Pickens	0.116	0.48	5.82e-06	2.407e-05
Saint Clair	0.927	2.892	1.045e-05	3.261e-05
Jackson	1.866	4.779	3.607e-05	9.237e-05
