Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-28	15.441	2.7e-07	15.441	2.7e-07	0.093	0.0	0.093	0.0
2020-01-29	30.882	5.3e-07	46.323	8e-07	0.185	0.0	0.278	0.0
2020-01-30	61.765	1.07e-06	108.088	1.87e-06	0.371	1e-08	0.649	1e-08
2020-01-31	123.529	2.14e-06	231.617	4.01e-06	0.741	1e-08	1.39	2e-08
2020-02-01	214.632	3.71e-06	446.249	7.72e-06	1.288	2e-08	2.677	5e-08
2020-02-02	429.263	7.43e-06	875.512	1.515e-05	2.576	4e-08	5.253	9e-08
2020-02-03	643.895	1.114e-05	1519.407	2.63e-05	3.863	7e-08	9.116	1.6e-07
2020-02-04	1287.79	2.229e-05	2807.197	4.858e-05	7.727	1.3e-07	16.843	2.9e-07
2020-02-05	2146.317	3.715e-05	4953.513	8.573e-05	12.878	2.2e-07	29.721	5.1e-07
2020-02-06	3219.475	5.572e-05	8172.988	0.00014145	19.317	3.3e-07	49.038	8.5e-07
2020-02-07	4292.633	7.429e-05	12465.621	0.00021574	25.756	4.5e-07	74.794	1.29e-06
2020-02-08	5365.791	9.287e-05	17831.412	0.00030861	32.195	5.6e-07	106.988	1.85e-06
2020-02-09	6438.95	0.00011144	24270.362	0.00042005	38.634	6.7e-07	145.622	2.52e-06
2020-02-10	7512.108	0.00013001	31782.47	0.00055006	45.073	7.8e-07	190.695	3.3e-06
2020-02-11	9014.529	0.00015602	40796.999	0.00070608	54.087	9.4e-07	244.782	4.24e-06
2020-02-12	10731.583	0.00018573	51528.582	0.00089181	64.389	1.11e-06	309.171	5.35e-06
2020-02-13	12877.899	0.00022288	64406.481	0.00111469	77.267	1.34e-06	386.439	6.69e-06
2020-02-14	15453.479	0.00026746	79859.96	0.00138215	92.721	1.6e-06	479.16	8.29e-06
2020-02-15	19960.744	0.00034546	99820.703	0.00172761	119.764	2.07e-06	598.924	1.037e-05
2020-02-16	28116.746	0.00048662	127937.45	0.00221423	168.7	2.92e-06	767.625	1.329e-05
2020-02-17	40565.382	0.00070207	168502.832	0.0029163	243.392	4.21e-06	1011.017	1.75e-05
2020-02-18	50037.792	0.00086601	218540.624	0.00378231	300.227	5.2e-06	1311.244	2.269e-05
2020-02-19	62643.825	0.00108419	281184.449	0.0048665	375.863	6.51e-06	1687.107	2.92e-05
2020-02-20	76280.089	0.00132019	357464.538	0.00618669	457.681	7.92e-06	2144.787	3.712e-05
2020-02-21	92692.256	0.00160424	450156.794	0.00779093	556.154	9.63e-06	2700.941	4.675e-05
2020-02-22	111565.533	0.00193088	561722.327	0.00972181	669.393	1.159e-05	3370.334	5.833e-05
