Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-25	0.419	2.7e-07	0.419	2.7e-07	0.003	0.0	0.003	0.0
2020-01-26	0.839	5.3e-07	1.258	8e-07	0.005	0.0	0.008	0.0
2020-01-27	1.678	1.07e-06	2.936	1.87e-06	0.01	1e-08	0.018	1e-08
2020-01-28	3.355	2.14e-06	6.291	4.01e-06	0.02	1e-08	0.038	2e-08
2020-01-29	5.83	3.71e-06	12.121	7.72e-06	0.035	2e-08	0.073	5e-08
2020-01-30	11.66	7.43e-06	23.781	1.515e-05	0.07	4e-08	0.143	9e-08
2020-01-31	17.49	1.114e-05	41.271	2.63e-05	0.105	7e-08	0.248	1.6e-07
2020-02-01	34.98	2.229e-05	76.25	4.858e-05	0.21	1.3e-07	0.458	2.9e-07
2020-02-02	58.299	3.715e-05	134.55	8.573e-05	0.35	2.2e-07	0.807	5.1e-07
2020-02-03	87.449	5.572e-05	221.999	0.00014145	0.525	3.3e-07	1.332	8.5e-07
2020-02-04	116.599	7.429e-05	338.597	0.00021574	0.7	4.5e-07	2.032	1.29e-06
2020-02-05	145.748	9.287e-05	484.346	0.00030861	0.874	5.6e-07	2.906	1.85e-06
2020-02-06	174.898	0.00011144	659.244	0.00042005	1.049	6.7e-07	3.955	2.52e-06
2020-02-07	204.048	0.00013001	863.291	0.00055006	1.224	7.8e-07	5.18	3.3e-06
2020-02-08	244.857	0.00015602	1108.149	0.00070608	1.469	9.4e-07	6.649	4.24e-06
2020-02-09	291.497	0.00018573	1399.645	0.00089181	1.749	1.11e-06	8.398	5.35e-06
2020-02-10	349.796	0.00022288	1749.441	0.00111469	2.099	1.34e-06	10.497	6.69e-06
2020-02-11	419.755	0.00026746	2169.196	0.00138215	2.519	1.6e-06	13.015	8.29e-06
2020-02-12	542.184	0.00034546	2711.38	0.00172761	3.253	2.07e-06	16.268	1.037e-05
2020-02-13	763.721	0.00048662	3475.101	0.00221423	4.582	2.92e-06	20.851	1.329e-05
2020-02-14	1101.857	0.00070207	4576.958	0.0029163	6.611	4.21e-06	27.462	1.75e-05
2020-02-15	1359.152	0.00086601	5936.11	0.00378231	8.155	5.2e-06	35.617	2.269e-05
2020-02-16	1701.563	0.00108419	7637.673	0.0048665	10.209	6.51e-06	45.826	2.92e-05
2020-02-17	2071.958	0.00132019	9709.631	0.00618669	12.432	7.92e-06	58.258	3.712e-05
2020-02-18	2517.753	0.00160424	12227.384	0.00779093	15.107	9.63e-06	73.364	4.675e-05
2020-02-19	3030.399	0.00193088	15257.783	0.00972181	18.182	1.159e-05	91.547	5.833e-05
2020-02-20	3709.003	0.00236327	18966.786	0.01208507	22.254	1.418e-05	113.801	7.251e-05
2020-02-21	4580.772	0.00291873	23547.558	0.01500381	27.485	1.751e-05	141.285	9.002e-05
2020-02-22	5634.824	0.00359034	29182.382	0.01859415	33.809	2.154e-05	175.094	0.00011156
2020-02-23	6784.875	0.00432312	35967.257	0.02291727	40.709	2.594e-05	215.804	0.0001375
2020-02-24	8134.699	0.00518319	44101.956	0.02810046	48.808	3.11e-05	264.612	0.0001686
2020-02-25	9554.482	0.00608783	53656.438	0.03418829	57.327	3.653e-05	321.939	0.00020513
2020-02-26	11108.742	0.00707816	64765.179	0.04126645	66.652	4.247e-05	388.591	0.0002476
2020-02-27	12843.73	0.00818364	77608.909	0.0494501	77.062	4.91e-05	465.653	0.0002967
2020-02-28	14817.745	0.00944143	92426.654	0.05889152	88.906	5.665e-05	554.56	0.00035335
2020-02-29	16728.019	0.0106586	109154.673	0.06955012	100.368	6.395e-05	654.928	0.0004173
2020-03-01	18323.866	0.01167542	127478.539	0.08122555	109.943	7.005e-05	764.871	0.00048735
2020-03-02	19780.183	0.01260335	147258.722	0.09382889	118.681	7.562e-05	883.552	0.00056297
2020-03-03	21475.527	0.01368357	168734.249	0.10751246	128.853	8.21e-05	1012.405	0.00064507
2020-03-04	23674.189	0.01508449	192408.438	0.12259695	142.045	9.051e-05	1154.451	0.00073558
2020-03-05	26307.764	0.01676253	218716.202	0.13935948	157.847	0.00010058	1312.297	0.00083616
2020-03-06	29021.792	0.01849183	247737.994	0.1578513	174.131	0.00011095	1486.428	0.00094711
2020-03-07	30315.648	0.01931623	278053.642	0.17716754	181.894	0.0001159	1668.322	0.00106301
2020-03-08	31481.634	0.02005916	309535.276	0.1972267	188.89	0.00012035	1857.212	0.00118336
2020-03-09	32064.628	0.02043063	341599.904	0.21765733	192.388	0.00012258	2049.599	0.00130594
2020-03-10	32647.621	0.0208021	374247.525	0.23845943	195.886	0.00012481	2245.485	0.00143076
2020-03-11	32647.621	0.0208021	406895.146	0.25926152	195.886	0.00012481	2441.371	0.00155557
2020-03-12	32356.124	0.02061636	439251.27	0.27987789	194.137	0.0001237	2635.508	0.00167927
2020-03-13	32064.628	0.02043063	471315.898	0.30030852	192.388	0.00012258	2827.895	0.00180185
