Longitude	Latitude
-113.512355	53.5207922
-113.5123842	53.5208008
-113.5123311	53.5208296
-113.5124064	53.5207479
-113.5124007	53.5207896
-113.5124064	53.5207479
-113.5122506	53.5207894
-113.5123444	53.5207834
-113.5123666	53.5207802
-113.5123355	53.5207792
-113.5123614	53.5207956
-113.5123285	53.5207667
-113.5123905	53.5207962
-113.5124757	53.520832
-113.5123729	53.5208004
-113.51239	53.5207464
-113.5123619	53.5207876
-113.5123	53.5207829
-113.512344	53.5207823
-113.512302	53.5207837
-113.5122626	53.5207783
-113.5123198	53.5207594
-113.512256	53.5207726
-113.512318	53.52077
-113.5122876	53.5207357
-113.5123246	53.5207683
-113.5123149	53.5207551
-113.5123736	53.5207439
-113.5122726	53.5207877
-113.512405	53.5207971
-113.5123721	53.5207825
-113.5123712	53.5207916
-113.512343	53.5207418
-113.5123152	53.5207567
-113.5123881	53.5208041
-113.5123906	53.520744
-113.5123155	53.5207594
-113.5122911	53.5207359
-113.5123885	53.5207841
-113.5123867	53.5207466
-113.5123326	53.5207775
-113.5122876	53.5207357
-113.5122907	53.5207357
-113.5122911	53.5207357
-113.5123572	53.5207924
-113.5122913	53.5207359
-113.5122997	53.5207963
-113.5123597	53.520795
-113.5123463	53.5207835
-113.5123302	53.5207732
-113.5123243	53.5207639
-113.5122911	53.5207361
-113.5123561	53.5208003
-113.5123185	53.5208147
-113.5123418	53.5207995
-113.512292	53.5207995
-113.512337	53.5207797
-113.5123892	53.5207959
-113.5123453	53.5207806
-113.5123308	53.5207699
-113.5124029	53.5208099
-113.5123843	53.5207943
-113.5123765	53.520791
-113.512362	53.5207898
-113.5123285	53.5207679
-113.5123285	53.5207679
-113.5123278	53.5207669
-113.5123363	53.5207812
-113.5123893	53.520748
-113.5123219	53.5207654
-113.5123859	53.5207451
-113.5123439	53.5207834
-113.5122807	53.5208121
-113.5122439	53.520778
-113.5123424	53.5207823
-113.5123224	53.5207603
-113.512291	53.5207359
-113.5122481	53.5207746
-113.5123301	53.5207597
-113.5123383	53.5207795
-113.5123488	53.5207434
-113.5123488	53.5207434
-113.5122977	53.520807
-113.5123021	53.5207689
-113.5123438	53.5207913
-113.5123069	53.520807
-113.512291	53.5207359
-113.5123383	53.5207795
-113.5123383	53.5207795
-113.5123399	53.5207822
-113.5123399	53.5207822
-113.512291	53.5207359
-113.5123424	53.5207823
-113.5122966	53.5208065
-113.5122961	53.5207776
-113.5123151	53.5207795
-113.5123424	53.5207823
-113.5123424	53.5207823
-113.512347	53.520786
-113.5123029	53.5207987
-113.512291	53.5207359
-113.5123143	53.5207279
-113.5123162	53.5207257
-113.5123383	53.5207795
-113.5123301	53.5207597
-113.512357	53.5207666
-113.5123556	53.5207704
-113.512331	53.5207594
-113.5123102	53.5208025
-113.5123102	53.5208025
-113.5123	53.5207949
-113.5123117	53.5207956
-113.512331	53.5207594
-113.5122966	53.5208065
-113.5123154	53.5208411
-113.5123268	53.5207975
-113.5122978	53.5207945
-113.5122766	53.5208099
-113.5122976	53.520797
-113.5122386	53.5208302
-113.5122386	53.5208302
-113.5122893	53.5207293
-113.5123383	53.5207795
-113.5122882	53.5207274
-113.5123275	53.520767
-113.5123106	53.5207924
-113.5122849	53.5208218
-113.5123205	53.5208194
-113.5123358	53.5207772
-113.5123685	53.5207787
-113.5123424	53.5207823
-113.5123424	53.5207823
-113.5123301	53.5207596
-113.5123301	53.5207596
-113.5123151	53.5207795
-113.512299	53.5207724
-113.5123149	53.5207673
-113.512313	53.5208005
-113.5123295	53.520784
-113.5123653	53.5207436
-113.512304	53.5207763
-113.5123323	53.5208183
-113.51227	53.5207745
-113.51227	53.5207745
-113.5123628	53.5207437
-113.5123579	53.5207566
-113.5123424	53.5207823
-113.5123336	53.5207657
-113.5123336	53.5207657
-113.5123424	53.5207823
-113.5123429	53.5207807
-113.5123066	53.5207656
-113.5123047	53.5207632
-113.5123383	53.5207795
-113.5123383	53.5207795
-113.5122809	53.5208024
-113.5122809	53.5208024
-113.5123066	53.5207656
-113.5123424	53.5207823
-113.5123424	53.5207823
-113.5123424	53.5207823
-113.5123292	53.5207903
-113.5123292	53.5207903
-113.5123383	53.5207795
-113.512347	53.520786
-113.5123621	53.5207956
-113.5123203	53.5207603
-113.5123525	53.5207403
-113.5123143	53.5207279
-113.5123007	53.5207988
-113.5122882	53.5208287
-113.5123076	53.5207951
-113.5123021	53.5207689
-113.5123383	53.5207795
-113.512313	53.5207587
-113.512269	53.520777
-113.5122864	53.5208086
-113.5123383	53.5207795
-113.5122826	53.520771
-113.5123001	53.5207499
-113.5123345	53.5207631
-113.5123379	53.5207737
-113.5123356	53.5207725
-113.512291	53.5207359
-113.512307	53.5207486
-113.5123479	53.5207831
-113.5123286	53.5207867
-113.5123605	53.520777
-113.5123409	53.5207918
-113.5122362	53.5208044
-113.5123383	53.5207795
-113.5123383	53.5207795
-113.5123463	53.5207843
-113.5123399	53.5207822
-113.5123399	53.5207822
-113.5123399	53.5207822
-113.5122891	53.5207441
-113.5122866	53.5207413
-113.5123005	53.5207915
-113.5123005	53.5207915
-113.5122852	53.5207691
-113.5122593	53.5208165
-113.5123455	53.5207796
-113.5123208	53.5208021
-113.5123904	53.5208286
-113.512385	53.5207974
-113.512331	53.520767
-113.5123516	53.5207904
-113.5123614	53.5207981
-113.5123352	53.5208202
-113.5123373	53.5208266
-113.5123546	53.5207919
-113.5123874	53.5207883
-113.5123847	53.5207877
-113.5124315	53.5207939
-113.512417	53.5207928
-113.512412	53.5207476
-113.5123801	53.5207857
-113.5124166	53.520784
-113.5123649	53.5207763
-113.5124166	53.520784
-113.5123406	53.5207768
-113.5123406	53.5207768
-113.5123458	53.5207757
-113.5123696	53.5207808
-113.5123686	53.5207712
-113.5123642	53.5207761
-113.5124181	53.5207936
-113.5123815	53.5207861
-113.5124033	53.5207833
-113.5123983	53.5207816
-113.5127872	53.5208763
-113.5124653	53.5208139
-113.5124674	53.5208004
-113.5124875	53.520791
-113.5124875	53.520791
-113.5123702	53.5207804
-113.5123652	53.5208584
-113.5123753	53.5207831
-113.512368	53.5207833
-113.5123461	53.5207887
-113.512327	53.5207774
-113.5123881	53.5208164
-113.5123917	53.5208135
-113.5125559	53.5209621
-113.512389	53.5208156
-113.5123832	53.5208091
-113.5123144	53.5207915
-113.5123767	53.5207804
-113.512354	53.520789
-113.5123799	53.52085
-113.5123855	53.5207479
-113.5123838	53.5207458
-113.5124174	53.5208052
-113.5124286	53.5208054
-113.512359	53.5207881
-113.5123646	53.520789
-113.5123553	53.520791
-113.5123553	53.520791
-113.5123135	53.5207947
-113.512351	53.5207935
-113.5123705	53.5207752
-113.5123778	53.5207807
-113.5123516	53.5207752
-113.5128273	53.5207833
-113.5128273	53.5207833
-113.5128273	53.5207833
-113.5157388	53.5233677
-113.5198671	53.5253309
-113.5198538	53.525302
-113.5232782	53.5262233
-113.5103446	53.5200466
-113.5268293	53.5259434
-113.5264852	53.5262887
-113.5271612	53.5264244
-113.5271577	53.5264257
-113.5270891	53.5261537
-113.5269389	53.5266301
-113.5269466	53.5266286
-113.5269683	53.5265768
-113.5269213	53.5266408
-113.5270355	53.52658
-113.5269979	53.5265901
-113.5268488	53.5266706
-113.5268714	53.5267013
-113.5270269	53.5265287
-113.5269173	53.5266493
-113.5269751	53.5267253
-113.5269936	53.5265614
-113.5270443	53.5266287
-113.5270723	53.5265543
-113.5271108	53.5264813
-113.5271426	53.5265296
-113.5270965	53.5265446
-113.527011	53.5266947
-113.5268699	53.5266679
-113.5268845	53.5266601
-113.5269501	53.5266968
-113.5269828	53.5266691
-113.5268561	53.5266625
-113.5268993	53.5266467
-113.5269512	53.5266037
-113.5269136	53.5266101
-113.5268415	53.5265973
-113.5268749	53.5266385
-113.526902	53.5266364
-113.5269191	53.5266316
-113.5269771	53.5264508
-113.5267847	53.5266272
-113.5270131	53.5265021
-113.5268777	53.5266262
-113.5268807	53.5266371
-113.5271693	53.5266244
-113.5269375	53.5265894
-113.5270258	53.5265107
-113.5270639	53.5264999
-113.5268664	53.526608
-113.5268961	53.5266077
-113.5268826	53.5266186
-113.5269634	53.5266133
-113.5269459	53.5266131
-113.5268397	53.526611
-113.5268493	53.5266221
-113.526855	53.5266575
-113.5268845	53.526631
-113.5268659	53.5266417
-113.5270052	53.5265257
-113.5269112	53.5266219
-113.5268429	53.5266645
