Date	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-03-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-13	0.358	1.2e-07	0.358	1.2e-07	0.002	0.0	0.002	0.0
2020-03-14	0.358	1.2e-07	0.716	2.4e-07	0.002	0.0	0.004	0.0
2020-03-15	0.358	1.2e-07	1.073	3.7e-07	0.002	0.0	0.006	0.0
2020-03-16	0.716	2.4e-07	1.789	6.1e-07	0.004	0.0	0.011	0.0
2020-03-17	1.789	6.1e-07	3.578	1.22e-06	0.011	0.0	0.021	1e-08
2020-03-18	2.863	9.8e-07	6.441	2.19e-06	0.017	1e-08	0.039	1e-08
2020-03-19	3.936	1.34e-06	10.377	3.54e-06	0.024	1e-08	0.062	2e-08
2020-03-20	5.367	1.83e-06	15.745	5.36e-06	0.032	1e-08	0.094	3e-08
2020-03-21	8.588	2.93e-06	24.332	8.29e-06	0.052	2e-08	0.146	5e-08
2020-03-22	12.882	4.39e-06	37.214	1.268e-05	0.077	3e-08	0.223	8e-08
2020-03-23	17.892	6.1e-06	55.106	1.878e-05	0.107	4e-08	0.331	1.1e-07
2020-03-24	21.828	7.44e-06	76.934	2.621e-05	0.131	4e-08	0.462	1.6e-07
2020-03-25	24.69	8.41e-06	101.624	3.463e-05	0.148	5e-08	0.61	2.1e-07
2020-03-26	26.479	9.02e-06	128.103	4.365e-05	0.159	5e-08	0.769	2.6e-07
2020-03-27	27.911	9.51e-06	156.014	5.316e-05	0.167	6e-08	0.936	3.2e-07
2020-03-28	28.269	9.63e-06	184.283	6.279e-05	0.17	6e-08	1.106	3.8e-07
2020-03-29	28.626	9.75e-06	212.909	7.255e-05	0.172	6e-08	1.277	4.4e-07
2020-03-30	28.984	9.88e-06	241.893	8.242e-05	0.174	6e-08	1.451	4.9e-07
2020-03-31	28.626	9.75e-06	270.52	9.217e-05	0.172	6e-08	1.623	5.5e-07
2020-04-01	28.269	9.63e-06	298.788	0.00010181	0.17	6e-08	1.793	6.1e-07
2020-04-02	27.911	9.51e-06	326.699	0.00011132	0.167	6e-08	1.96	6.7e-07
2020-04-03	26.122	8.9e-06	352.821	0.00012022	0.157	5e-08	2.117	7.2e-07
2020-04-04	25.406	8.66e-06	378.227	0.00012887	0.152	5e-08	2.269	7.7e-07
2020-04-05	23.975	8.17e-06	402.201	0.00013704	0.144	5e-08	2.413	8.2e-07
2020-04-06	20.754	7.07e-06	422.956	0.00014411	0.125	4e-08	2.538	8.6e-07
2020-04-07	17.892	6.1e-06	440.847	0.00015021	0.107	4e-08	2.645	9e-07
2020-04-08	15.387	5.24e-06	456.234	0.00015545	0.092	3e-08	2.737	9.3e-07
2020-04-09	13.24	4.51e-06	469.474	0.00015996	0.079	3e-08	2.817	9.6e-07
2020-04-10	11.093	3.78e-06	480.566	0.00016374	0.067	2e-08	2.883	9.8e-07
2020-04-11	8.946	3.05e-06	489.512	0.00016679	0.054	2e-08	2.937	1e-06
2020-04-12	7.157	2.44e-06	496.669	0.00016923	0.043	1e-08	2.98	1.02e-06
2020-04-13	6.083	2.07e-06	502.752	0.0001713	0.036	1e-08	3.017	1.03e-06
2020-04-14	5.367	1.83e-06	508.119	0.00017313	0.032	1e-08	3.049	1.04e-06
2020-04-15	4.652	1.59e-06	512.771	0.00017472	0.028	1e-08	3.077	1.05e-06
2020-04-16	3.936	1.34e-06	516.707	0.00017606	0.024	1e-08	3.1	1.06e-06
2020-04-17	3.22	1.1e-06	519.928	0.00017716	0.019	1e-08	3.12	1.06e-06
2020-04-18	2.505	8.5e-07	522.432	0.00017801	0.015	1e-08	3.135	1.07e-06
2020-04-19	1.789	6.1e-07	524.222	0.00017862	0.011	0.0	3.145	1.07e-06
2020-04-20	1.431	4.9e-07	525.653	0.00017911	0.009	0.0	3.154	1.07e-06
2020-04-21	1.073	3.7e-07	526.726	0.00017947	0.006	0.0	3.16	1.08e-06
2020-04-22	0.716	2.4e-07	527.442	0.00017972	0.004	0.0	3.165	1.08e-06
2020-04-23	0.358	1.2e-07	527.8	0.00017984	0.002	0.0	3.167	1.08e-06
2020-04-24	527.8	0.00017984	1055.6	0.00035968	3.167	1.08e-06	6.334	2.16e-06
