Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Turkey	47	1	0	N/A	5.7e-7	1e-8	333.333333333	153.846153846	100	3.33333333333e-6	1.53846153846e-6	1e-6	29	1	141.7	100	NA	NA
Italy	31506	2503	2941	N/A	5.2135e-4	4.142e-5	834333.333333	385076.923077	250300	0.0138066666667	0.00637230769231	0.004142	3526	345	9.1	-1.1	NA	NA
Czech Republic	396	0	3	N/A	3.727e-5	0	1980	792	495	1.8635e-4	7.454e-5	4.65875e-5	98	0	117.8	100	NA	NA
Vatican	1	0	0	N/A	0.00124844	0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	100	100	NA	NA
San Marino	109	7	4	N/A	0.00322628	2.0719e-4	2333.33333333	1076.92307692	700	0.0690633333333	0.0318753846154	0.020719	0	0	-100	-100	NA	NA
Luxembourg	140	1	0	N/A	2.3037e-4	1.65e-6	333.333333333	153.846153846	100	5.5e-4	2.53846153846e-4	1.65e-4	63	0	250	100	NA	NA
France	7699	149	12	N/A	1.1493e-4	2.22e-6	49666.6666667	22923.0769231	14900	7.4e-4	3.41538461538e-4	2.22e-4	1034	0	-51.7	-100	NA	NA
Andorra	39	0	1	N/A	5.0645e-4	0	195	78	48.75	0.00253225	0.0010129	6.330625e-4	37	0	3600	100	NA	NA
Georgia	34	0	1	N/A	9.11e-6	0	170	68	42.5	4.555e-5	1.822e-5	1.13875e-5	1	0	100	100	NA	NA
Slovakia	72	0	0	N/A	1.322e-5	0	360	144	90	6.61e-5	2.644e-5	1.6525e-5	9	0	0	100	NA	NA
Ireland	223	2	5	N/A	4.595e-5	4.1e-7	666.666666667	307.692307692	200	1.36666666667e-4	6.30769230769e-5	4.1e-5	54	0	35	100	6636	0.001394
Norway	1463	3	1	N/A	2.7529e-4	5.6e-7	1000	461.538461538	300	1.86666666667e-4	8.61538461538e-5	5.6e-5	130	0	16.1	100	NA	NA
Lithuania	25	0	1	N/A	8.96e-6	0	125	50	31.25	4.48e-5	1.792e-5	1.12e-5	8	0	60	100	NA	NA
Israel	337	0	11	N/A	3.793e-5	0	1685	674	421.25	1.8965e-4	7.586e-5	4.74125e-5	82	0	1950	100	NA	NA
Belarus	36	0	3	N/A	3.8e-6	0	180	72	45	1.9e-5	7.6e-6	4.75e-6	0	0	-100	100	NA	NA
Iceland	220	1	0	N/A	6.2222e-4	2.83e-6	333.333333333	153.846153846	100	9.43333333333e-4	4.35384615385e-4	2.83e-4	40	1	344.4	-120	2278	0.006254
Montenegro	2	0	0	N/A	3.21e-6	0	10	4	2.5	1.605e-5	6.42e-6	4.0125e-6	NA	NA	100	100	NA	NA
Slovenia	275	1	0	N/A	1.3302e-4	4.8e-7	333.333333333	153.846153846	100	1.6e-4	7.38461538462e-5	4.8e-5	22	0	-35.3	100	NA	NA
Germany	9257	24	67	N/A	1.1163e-4	2.9e-7	8000	3692.30769231	2400	9.66666666667e-5	4.46153846154e-5	2.9e-5	1985	7	34.4	16.7	NA	NA
Bosnia and Herzegovina	26	0	2	N/A	7.82e-6	0	130	52	32.5	3.91e-5	1.564e-5	9.775e-6	1	0	0	100	NA	NA
Armenia	78	0	1	N/A	2.642e-5	0	390	156	97.5	1.321e-4	5.284e-5	3.3025e-5	26	0	0	100	NA	NA
Belgium	1243	10	1	N/A	1.0882e-4	8.8e-7	3333.33333333	1538.46153846	1000	2.93333333333e-4	1.35384615385e-4	8.8e-5	185	5	7.6	400	NA	NA
Spain	11748	533	1028	N/A	2.5144e-4	1.141e-5	177666.666667	82000	53300	0.00380333333333	0.00175538461538	0.001141	1806	191	-15.8	260.4	NA	NA
Ukraine	14	2	0	N/A	3.1e-7	4e-8	666.666666667	307.692307692	200	1.33333333333e-5	6.15384615385e-6	4e-6	7	1	75	100	NA	NA
Netherlands	1708	43	2	N/A	9.912e-5	2.5e-6	14333.3333333	6615.38461538	4300	8.33333333333e-4	3.84615384615e-4	2.5e-4	294	19	5.4	375	NA	NA
Denmark	1025	4	1	N/A	1.768e-4	6.9e-7	1333.33333333	615.384615385	400	2.3e-4	1.06153846154e-4	6.9e-5	92	1	58.6	0	NA	NA
Poland	238	5	13	N/A	6.27e-6	1.3e-7	1666.66666667	769.230769231	500	4.33333333333e-5	2e-5	1.3e-5	61	1	5.2	0	NA	NA
Finland	321	0	10	N/A	5.817e-5	0	1605	642	401.25	2.9085e-4	1.1634e-4	7.27125e-5	44	0	33.3	100	NA	NA
Macedonia	26	0	1	N/A	1.248e-5	0	130	52	32.5	6.24e-5	2.496e-5	1.56e-5	8	0	100	100	NA	NA
Moldova	30	0	1	N/A	8.46e-6	0	150	60	37.5	4.23e-5	1.692e-5	1.0575e-5	7	0	100	100	NA	NA
Sweden	1190	7	1	N/A	1.1686e-4	6.9e-7	2333.33333333	1076.92307692	700	2.3e-4	1.06153846154e-4	6.9e-5	87	1	7.4	-66.7	NA	NA
Latvia	49	0	1	N/A	2.543e-5	0	245	98	61.25	1.2715e-4	5.086e-5	3.17875e-5	15	0	275	100	NA	NA
Croatia	65	0	4	N/A	1.589e-5	0	325	130	81.25	7.945e-5	3.178e-5	1.98625e-5	8	0	0	100	NA	NA
Malta	38	0	2	N/A	7.859e-5	0	190	76	47.5	3.9295e-4	1.5718e-4	9.82375e-5	8	0	-11.1	100	NA	NA
Guernsey	0	0	0	N/A	0	0	0	0	0	0	0	0	-1	0	100	100	NA	NA
Monaco	7	0	0	N/A	1.8096e-4	0	35	14	8.75	9.048e-4	3.6192e-4	2.262e-4	0	0	-100	100	NA	NA
Switzerland	2700	27	4	N/A	3.1703e-4	3.17e-6	9000	4153.84615385	2700	0.00105666666667	4.87692307692e-4	3.17e-4	500	13	100	100	NA	NA
