Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Turkey	20921	425	484	20012	2.5414e-4	5.16e-6	141666.666667	65384.6153846	42500	0.00172	7.93846153846e-4	5.16e-4	2786	69	13.4	-12.7
Italy	119827	14681	19758	85388	0.00198286	2.4294e-4	4893666.66667	2258615.38462	1468100	0.08098	0.0373753846154	0.024294	4585	766	-1.8	0.8
Czech Republic	4091	53	72	3966	3.8501e-4	4.99e-6	17666.6666667	8153.84615385	5300	0.00166333333333	7.67692307692e-4	4.99e-4	233	9	-33.4	80
Monaco	64	1	3	60	0.00165452	2.585e-5	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	4	0	-20	100
Lithuania	696	9	7	680	2.495e-4	3.23e-6	3000	1384.61538462	900	0.00107666666667	4.96923076923e-4	3.23e-4	47	0	-30.9	-100
Luxembourg	2612	31	500	2081	0.00429798	5.101e-5	10333.3333333	4769.23076923	3100	0.0170033333333	0.00784769230769	0.005101	125	1	-25.6	0
France	65202	6520	14135	44547	9.7335e-4	9.733e-5	2173333.33333	1003076.92308	652000	0.032443333333300003	0.0149738461538	0.009733	5273	1122	141.9	-17.2
Andorra	439	16	16	407	0.00570085	2.0778e-4	5333.33333333	2461.53846154	1600	0.06926	0.0319661538462	0.020778	11	1	-71.1	0
Switzerland	19606	591	4846	14169	0.00230211	6.939e-5	197000	90923.0769231	59100	0.02313	0.0106753846154	0.006939	779	55	-26.4	14.6
Georgia	155	0	28	127	4.154e-5	0	775	310	193.75	2.077e-4	8.308e-5	5.1925e-5	21	0	23.5	100
Slovakia	450	1	10	439	8.261e-5	1.8e-7	333.333333333	153.846153846	100	6e-5	2.76923076923e-5	1.8e-5	24	0	-7.7	100
Ireland	4273	120	5	4148	8.8039e-4	2.472e-5	40000	18461.5384615	12000	0.00824	0.00380307692308	0.002472	424	22	5.5	69.2
Norway	5370	59	32	5279	0.00101047	1.11e-5	19666.6666667	9076.92307692	5900	0.0037	0.00170769230769	0.00111	223	9	-21.5	50
Israel	7428	40	403	6985	8.3613e-4	4.5e-6	13333.3333333	6153.84615385	4000	0.0015	6.92307692308e-4	4.5e-4	571	4	-25.4	-60
Belarus	351	4	53	294	3.7e-5	4.2e-7	1333.33333333	615.384615385	400	1.4e-4	6.46153846154e-5	4.2e-5	47	0	-66.7	-100
Iceland	1364	4	309	1051	0.00385775	1.131e-5	1333.33333333	615.384615385	400	0.00377	0.00174	0.001131	45	0	-54.5	-100
Montenegro	174	2	1	171	2.7959e-4	3.21e-6	666.666666667	307.692307692	200	0.00107	4.93846153846e-4	3.21e-4	30	0	42.9	100
Slovenia	934	20	70	844	4.5178e-4	9.67e-6	6666.66666667	3076.92307692	2000	0.00322333333333	0.00148769230769	9.67e-4	37	3	-33.9	50
Germany	91159	1275	24575	65309	0.00109926	1.537e-5	425000	196153.846154	127500	0.00512333333333	0.00236461538462	0.001537	6365	168	-8	-10.2
