Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Turkey	10827	168	162	10497	0.00013152	2.04e-06	56000	25846.1538462	16800	0.00068	0.000313846153846	0.000204	NA	NA
Italy	101739	11591	14620	75528	0.00168355	0.0001918	3863666.66667	1783230.76923	1159100	0.0639333333333	0.0295076923077	0.01918	NA	NA
Czech Republic	3001	23	25	2953	0.00028243	2.16e-06	7666.66666667	3538.46153846	2300	0.00072	0.000332307692308	0.000216	48811	0.004583
Monaco	49	1	1	47	0.00126674	2.585e-05	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	NA	NA
Lithuania	491	7	7	477	0.00017602	2.51e-06	2333.33333333	1076.92307692	700	0.000836666666667	0.000386153846154	0.000251	9891	0.00354
Luxembourg	1988	22	40	1926	0.0032712	3.62e-05	7333.33333333	3384.61538462	2200	0.0120666666667	0.00556923076923	0.00362	NA	NA
France	45170	3030	7964	34176	0.00067431	4.523e-05	1010000	466153.846154	303000	0.0150766666667	0.00695846153846	0.004523	NA	NA
Andorra	370	8	10	352	0.00480482	0.00010389	2666.66666667	1230.76923077	800	0.03463	0.0159830769231	0.010389	NA	NA
Switzerland	15922	359	1823	13740	0.00186954	4.215e-05	119666.666667	55230.7692308	35900	0.01405	0.00648461538462	0.004215	NA	NA
Georgia	103	0	20	83	2.761e-05	0.0	515	206	128.75	0.00013805	5.522e-05	3.45125e-05	NA	NA
Slovakia	336	0	7	329	6.169e-05	0.0	1680	672	420	0.00030845	0.00012338	7.71125e-05	NA	NA
Ireland	2910	54	5	2851	0.00059957	1.113e-05	18000	8307.69230769	5400	0.00371	0.00171230769231	0.001113	30213	0.006345
Norway	4445	32	12	4401	0.00083642	6.02e-06	10666.6666667	4923.07692308	3200	0.00200666666667	0.000926153846154	0.000602	90242	0.016812
Israel	4695	16	161	4518	0.00052849	1.8e-06	5333.33333333	2461.53846154	1600	0.0006	0.000276923076923	0.00018	66461	0.007244
Belarus	152	0	32	120	1.602e-05	0.0	760	304	190	8.01e-05	3.204e-05	2.0025e-05	30000	0.003161
Iceland	1086	2	157	927	0.00307149	5.66e-06	666.666666667	307.692307692	200	0.00188666666667	0.000870769230769	0.000566	16484	0.045253
Montenegro	91	1	0	90	0.00014622	1.61e-06	333.333333333	153.846153846	100	0.000536666666667	0.000247692307692	0.000161	834	0.001321
Slovenia	756	11	10	735	0.00036568	5.32e-06	3666.66666667	1692.30769231	1100	0.00177333333333	0.000818461538462	0.000532	22474	0.010732
Germany	66885	645	13500	52740	0.00080654	7.78e-06	215000	99230.7692308	64500	0.00259333333333	0.00119692307692	0.000778	NA	NA
Bosnia and Herzegovina	368	10	17	341	0.00011071	3.01e-06	3333.33333333	1538.46153846	1000	0.00100333333333	0.000463076923077	0.000301	2603	7.55e-4
Armenia	482	3	30	449	0.00016329	1.02e-06	1000	461.538461538	300	0.00034	0.000156923076923	0.000102	NA	NA
Belgium	11899	513	1527	9859	0.00104176	4.491e-05	171000	78923.0769231	51300	0.01497	0.00690923076923	0.004491	NA	NA
Spain	87956	7716	16780	63460	0.00188247	0.00016514	2572000	1187076.92308	771600	0.0550466666667	0.0254061538462	0.016514	NA	NA
Ukraine	548	13	8	527	1.228e-05	2.9e-07	4333.33333333	2000	1300	9.66666666667e-05	4.46153846154e-05	2.9e-05	2264	5.4e-5
San Marino	230	25	13	192	0.00680775	0.00073997	8333.33333333	3846.15384615	2500	0.246656666667	0.113841538462	0.073997	NA	NA
Netherlands	11817	865	253	10699	0.0006858	5.02e-05	288333.333333	133076.923077	86500	0.0167333333333	0.00772307692308	0.00502	NA	NA
Denmark	2755	77	73	2605	0.00047521	1.328e-05	25666.6666667	11846.1538462	7700	0.00442666666667	0.00204307692308	0.001328	25867	0.004363
Poland	2055	31	7	2017	5.411e-05	8.2e-07	10333.3333333	4769.23076923	3100	0.000273333333333	0.000126153846154	8.2e-05	46607	0.001214
Finland	1352	13	10	1329	0.00024501	2.36e-06	4333.33333333	2000	1300	0.000786666666667	0.000363076923077	0.000236	NA	NA
Macedonia	285	7	12	266	0.00013682	3.36e-06	2333.33333333	1076.92307692	700	0.00112	0.000516923076923	0.000336	NA	NA
Moldova	298	2	15	281	8.404e-05	5.6e-07	666.666666667	307.692307692	200	0.000186666666667	8.61538461538e-05	5.6e-05	NA	NA
Liechtenstein	62	0	0	62	0.00163545	0.0	310	124	77.5	0.00817725	0.0032709	0.0020443125	NA	NA
Latvia	376	0	1	375	0.00019517	0.0	1880	752	470	0.00097585	0.00039034	0.0002439625	14313	0.007455
Croatia	790	6	67	717	0.00019318	1.47e-06	2000	923.076923077	600	0.00049	0.000226153846154	0.000147	6404	0.001571
Malta	156	0	2	154	0.00032263	0.0	780	312	195	0.00161315	0.00064526	0.0004032875	NA	NA
Vatican	6	0	0	6	0.00749064	0.0	30	12	7.5	0.0374532	0.01498128	0.0093633	NA	NA
Sweden	4028	146	16	3866	0.00039555	1.434e-05	48666.6666667	22461.5384615	14600	0.00478	0.00220615384615	0.001434	NA	NA
Russia	1836	9	66	1761	1.271e-05	6e-08	3000	1384.61538462	900	2e-05	9.23076923077e-06	6e-06	536669	0.003657
Bulgaria	359	8	17	334	5.111e-05	1.14e-06	2666.66666667	1230.76923077	800	0.00038	0.000175384615385	0.000114	NA	NA
Romania	2109	65	209	1835	0.0001083	3.34e-06	21666.6666667	10000	6500	0.00111333333333	0.000513846153846	0.000334	23103	0.001191
Albania	223	11	44	168	7.78e-05	3.84e-06	3666.66666667	1692.30769231	1100	0.00128	0.000590769230769	0.000384	NA	NA
Portugal	6408	140	43	6225	0.00062324	1.362e-05	46666.6666667	21538.4615385	14000	0.00454	0.00209538461538	0.001362	NA	NA
Estonia	715	3	20	692	0.0005413	2.27e-06	1000	461.538461538	300	0.000756666666667	0.000349230769231	0.000227	11252	0.008471
Kosovo	94	1	1	92	5.094e-05	5.4e-07	333.333333333	153.846153846	100	0.00018	8.30769230769e-05	5.4e-05	NA	NA
Azerbaijan	273	4	26	243	2.746e-05	4e-07	1333.33333333	615.384615385	400	0.000133333333333	6.15384615385e-05	4e-05	30000	0.003031
United Kingdom	22453	1411	171	20871	0.0003377	2.122e-05	470333.333333	217076.923077	141100	0.00707333333333	0.00326461538462	0.002122	NA	NA
Austria	9618	108	636	8874	0.00108714	1.221e-05	36000	16615.3846154	10800	0.00407	0.00187846153846	0.001221	NA	NA
West Bank and Gaza	116	1	18	97	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	NA	NA
Republic of Serbia	785	16	0	769	0.00011243	2.29e-06	5333.33333333	2461.53846154	1600	0.000763333333333	0.000352307692308	0.000229	3084	4.43e-4
Greece	1212	43	52	1117	0.00011298	4.01e-06	14333.3333333	6615.38461538	4300	0.00133666666667	0.000616923076923	0.000401	15961	0.001482
