Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	7402	108	70	7224	8.992e-5	1.31e-6	36000	16615.3846154	10800	4.36666666667e-4	2.01538461538e-4	1.31e-4	1704	16	55464	6.67e-4
Italy	92472	10023	12384	70065	0.0015302	1.6586e-4	3341000	1542000	1002300	0.0552866666667	0.0255169230769	0.016586	5974	889	429526	0.007121
Czech Republic	2631	11	11	2609	2.4761e-4	1.04e-6	3666.66666667	1692.30769231	1100	3.46666666667e-4	1.6e-4	1.04e-4	352	2	36374	0.003415
Monaco	42	0	1	41	0.00108578	0	210	84	52.5	0.0054289	0.00217156	0.001357225	0	0	NA	NA
Lithuania	394	7	1	386	1.4124e-4	2.51e-6	2333.33333333	1076.92307692	700	8.36666666667e-4	3.86153846154e-4	2.51e-4	36	2	6900	0.002469
Luxembourg	1831	18	40	1773	0.00301286	2.962e-5	6000	2769.23076923	1800	0.00987333333333	0.00455692307692	0.002962	226	3	NA	NA
France	38105	2317	5724	30064	5.6884e-4	3.459e-5	772333.333333	356461.538462	231700	0.01153	0.00532153846154	0.003459	4703	320	NA	NA
Andorra	308	3	1	304	0.00399969	3.896e-5	1000	461.538461538	300	0.0129866666667	0.00599384615385	0.003896	41	0	NA	NA
Switzerland	14076	264	1530	12282	0.00165278	3.1e-5	88000	40615.3846154	26400	0.0103333333333	0.00476923076923	0.0031	1148	33	106000	0.012369
Georgia	90	0	14	76	2.412e-5	0	450	180	112.5	1.206e-4	4.824e-5	3.015e-5	7	0	NA	NA
Slovakia	292	0	2	290	5.361e-5	0	1460	584	365	2.6805e-4	1.0722e-4	6.70125e-5	23	0	7131	0.001308
Ireland	2415	36	5	2374	4.9758e-4	7.42e-6	12000	5538.46153846	3600	0.00247333333333	0.00114153846154	7.42e-4	294	14	NA	NA
Norway	4015	23	7	3985	7.555e-4	4.33e-6	7666.66666667	3538.46153846	2300	0.00144333333333	6.66153846154e-4	4.33e-4	260	4	NA	NA
Israel	3619	12	89	3518	4.0737e-4	1.35e-6	4000	1846.15384615	1200	4.5e-4	2.07692307692e-4	1.35e-4	584	0	NA	NA
Belarus	94	0	32	62	9.91e-6	0	470	188	117.5	4.955e-5	1.982e-5	1.23875e-5	0	0	NA	NA
Iceland	963	2	114	847	0.00272362	5.66e-6	666.666666667	307.692307692	200	0.00188666666667	8.70769230769e-4	5.66e-4	73	0	14635	0.040177
Montenegro	84	1	0	83	1.3497e-4	1.61e-6	333.333333333	153.846153846	100	5.36666666667e-4	2.47692307692e-4	1.61e-4	2	0	NA	NA
Slovenia	684	9	10	665	3.3085e-4	4.35e-6	3000	1384.61538462	900	0.00145	6.69230769231e-4	4.35e-4	52	0	20753	0.00991
Germany	57695	433	8481	48781	6.9572e-4	5.22e-6	144333.333333	66615.3846154	43300	0.00174	8.03076923077e-4	5.22e-4	6824	91	NA	NA
Bosnia and Herzegovina	258	5	5	248	7.762e-5	1.5e-6	1666.66666667	769.230769231	500	5e-4	2.30769230769e-4	1.5e-4	21	1	1696	4.92e-4
Armenia	407	1	30	376	1.3788e-4	3.4e-7	333.333333333	153.846153846	100	1.13333333333e-4	5.23076923077e-5	3.4e-5	78	0	NA	NA
Belgium	9134	353	1063	7718	7.9968e-4	3.091e-5	117666.666667	54307.6923077	35300	0.0103033333333	0.00475538461538	0.003091	1850	64	NA	NA
