Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Czech Republic	58.479	9806.395	5.5e-06	0.00092289
West Bank And Gaza	17.88	1792.48	3.58e-06	0.0003585
Poland	179.28	20546.982	4.72e-06	0.00054102
Belarus	1251.366	39856.234	0.00013193	0.00420186
Sweden	395.536	39652.136	3.884e-05	0.00389389
Russia	1145.998	83689.386	7.93e-06	0.00057925
Norway	36.221	7143.623	6.82e-06	0.00134422
Luxembourg	18.602	4062.866	3.061e-05	0.00668534
Cyprus	75.782	5534.184	6.477e-05	0.00473007
Ukraine	190.35	15554.768	4.27e-06	0.00034859
France	2007.579	257166.469	2.997e-05	0.00383904
Moldova	112.829	9220.069	3.182e-05	0.00260022
San Marino	2.5	298.328	7.4e-05	0.00883019
Georgia	8.042	844.722	2.16e-06	0.00022641
Bosnia and Herzegovina	64.919	5599.755	1.953e-05	0.00168468
Belgium	490.458	64796.32	4.294e-05	0.00567291
Turkey	3314.025	285857.969	4.026e-05	0.00347253
Netherlands	308.519	44268.913	1.79e-05	0.00256914
Estonia	19.495	2575.547	1.476e-05	0.00194987
Spain	2478.241	346293.397	5.304e-05	0.00741151
Montenegro	0.034	352.074	5e-08	0.00056572
Croatia	23.779	3233.207	5.81e-06	0.00079063
Azerbaijan	39.42	3951.836	3.96e-06	0.00039748
Latvia	8.076	1158.844	4.19e-06	0.00060152
Germany	1706.648	244884.43	2.058e-05	0.00295298
Albania	5.437	801.287	1.9e-06	0.00027955
Slovakia	21.79	2184.44	4e-06	0.00040103
Republic of Serbia	109.409	11491.773	1.567e-05	0.00164589
Portugal	326.041	41765.109	3.171e-05	0.00406206
Ireland	129.236	17073.866	2.663e-05	0.00351784
Macedonia	13.36	1711.42	6.41e-06	0.00082163
Switzerland	281.141	41436.545	3.301e-05	0.00486542
Vatican	0.0	0.0	0.0	0.0
Liechtenstein	104.359	3323.851	0.00275281	0.08767742
Lithuania	14.695	2108.547	5.27e-06	0.00075588
Kosovo	216.761	9259.175	0.00011747	0.00501771
United Kingdom	3791.599	362138.695	5.703e-05	0.0054466
Slovenia	12.149	1790.603	5.88e-06	0.00086613
Hungary	15.599	2120.973	1.6e-06	0.00021712
Monaco	2.349	258.033	6.073e-05	0.00667062
Bulgaria	7.368	1085.908	1.05e-06	0.00015459
Romania	255.879	25651.649	1.314e-05	0.00131723
Italy	700.001	146162.763	1.158e-05	0.00241866
Denmark	138.218	16492.366	2.384e-05	0.00284476
Austria	1.555	10929.807	1.8e-07	0.00123542
Finland	19.025	3303.589	3.45e-06	0.00059869
Malta	3.315	450.729	6.86e-06	0.00093216
Greece	33.931	4482.705	3.16e-06	0.00041786
Armenia	57.194	5462.634	1.938e-05	0.00185063
Israel	437.179	48023.359	4.921e-05	0.00540572
Iceland	20.122	2965.674	5.691e-05	0.0083877
