Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	670	9	0	N/A	8.14e-6	1.1e-7	3000	1384.61538462	900	3.66666666667e-5	1.69230769231e-5	1.1e-5	311	5	NA	NA
Italy	53578	4825	6072	N/A	8.8659e-4	7.984e-5	1608333.33333	742307.692308	482500	0.0266133333333	0.0122830769231	0.007984	6557	793	NA	NA
Czech Republic	995	0	6	N/A	9.364e-5	0	4975	1990	1243.75	4.682e-4	1.8728e-4	1.1705e-4	162	0	15584	0.001463
Vatican	1	0	0	N/A	0.00124844	0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	NA	NA
San Marino	144	20	4	N/A	0.00426225	5.9198e-4	6666.66666667	3076.92307692	2000	0.197326666667	0.0910738461538	0.059198	0	6	NA	NA
Luxembourg	670	8	0	N/A	0.00110247	1.316e-5	2666.66666667	1230.76923077	800	0.00438666666667	0.00202461538462	0.001316	186	4	NA	NA
France	14340	563	12	N/A	2.1407e-4	8.4e-6	187666.666667	86615.3846154	56300	0.0028	0.00129230769231	8.4e-4	1676	112	NA	NA
Andorra	88	0	1	N/A	0.00114277	0	440	176	110	0.00571385	0.00228554	0.0014284625	13	0	NA	NA
Georgia	49	0	1	N/A	1.313e-5	0	245	98	61.25	6.565e-5	2.626e-5	1.64125e-5	6	0	NA	NA
Slovakia	178	1	0	N/A	3.268e-5	1.8e-7	333.333333333	153.846153846	100	6e-5	2.76923076923e-5	1.8e-5	41	0	NA	NA
Ireland	785	3	5	N/A	1.6174e-4	6.2e-7	1000	461.538461538	300	2.06666666667e-4	9.53846153846e-5	6.2e-5	102	0	NA	NA
Norway	2118	7	1	N/A	3.9854e-4	1.32e-6	2333.33333333	1076.92307692	700	4.4e-4	2.03076923077e-4	1.32e-4	204	0	NA	NA
Lithuania	83	1	1	N/A	2.975e-5	3.6e-7	333.333333333	153.846153846	100	1.2e-4	5.53846153846e-5	3.6e-5	34	1	2086	7.47e-4
