Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-05	0.602	2.7e-07	0.602	2.7e-07	0.004	0.0	0.004	0.0
2020-02-06	1.205	5.3e-07	1.807	8e-07	0.007	0.0	0.011	0.0
2020-02-07	2.41	1.07e-06	4.217	1.87e-06	0.014	1e-08	0.025	1e-08
2020-02-08	4.819	2.14e-06	9.036	4.01e-06	0.029	1e-08	0.054	2e-08
2020-02-09	8.373	3.71e-06	17.409	7.72e-06	0.05	2e-08	0.104	5e-08
2020-02-10	16.747	7.43e-06	34.156	1.515e-05	0.1	4e-08	0.205	9e-08
2020-02-11	25.12	1.114e-05	59.276	2.63e-05	0.151	7e-08	0.356	1.6e-07
2020-02-12	50.24	2.229e-05	109.516	4.858e-05	0.301	1.3e-07	0.657	2.9e-07
2020-02-13	83.733	3.715e-05	193.249	8.573e-05	0.502	2.2e-07	1.159	5.1e-07
2020-02-14	125.6	5.572e-05	318.848	0.00014145	0.754	3.3e-07	1.913	8.5e-07
2020-02-15	167.466	7.429e-05	486.315	0.00021574	1.005	4.5e-07	2.918	1.29e-06
2020-02-16	209.333	9.287e-05	695.648	0.00030861	1.256	5.6e-07	4.174	1.85e-06
2020-02-17	251.199	0.00011144	946.847	0.00042005	1.507	6.7e-07	5.681	2.52e-06
2020-02-18	293.066	0.00013001	1239.913	0.00055006	1.758	7.8e-07	7.439	3.3e-06
2020-02-19	351.679	0.00015602	1591.592	0.00070608	2.11	9.4e-07	9.55	4.24e-06
2020-02-20	418.666	0.00018573	2010.257	0.00089181	2.512	1.11e-06	12.062	5.35e-06
2020-02-21	502.399	0.00022288	2512.656	0.00111469	3.014	1.34e-06	15.076	6.69e-06
2020-02-22	602.878	0.00026746	3115.535	0.00138215	3.617	1.6e-06	18.693	8.29e-06
2020-02-23	778.718	0.00034546	3894.253	0.00172761	4.672	2.07e-06	23.366	1.037e-05
2020-02-24	1096.904	0.00048662	4991.156	0.00221423	6.581	2.92e-06	29.947	1.329e-05
2020-02-25	1582.556	0.00070207	6573.712	0.0029163	9.495	4.21e-06	39.442	1.75e-05
2020-02-26	1952.098	0.00086601	8525.81	0.00378231	11.713	5.2e-06	51.155	2.269e-05
2020-02-27	2443.891	0.00108419	10969.701	0.0048665	14.663	6.51e-06	65.818	2.92e-05
2020-02-28	2975.875	0.00132019	13945.576	0.00618669	17.855	7.92e-06	83.673	3.712e-05
2020-02-29	3616.154	0.00160424	17561.73	0.00779093	21.697	9.63e-06	105.37	4.675e-05
2020-03-01	4352.447	0.00193088	21914.178	0.00972181	26.115	1.159e-05	131.485	5.833e-05
2020-03-02	5327.101	0.00236327	27241.279	0.01208507	31.963	1.418e-05	163.448	7.251e-05
2020-03-03	6579.19	0.00291873	33820.469	0.01500381	39.475	1.751e-05	202.923	9.002e-05
2020-03-04	8093.085	0.00359034	41913.554	0.01859415	48.559	2.154e-05	251.481	0.00011156
2020-03-05	9744.86	0.00432312	51658.414	0.02291727	58.469	2.594e-05	309.95	0.0001375
2020-03-06	11683.561	0.00518319	63341.975	0.02810046	70.101	3.11e-05	380.052	0.0001686
2020-03-07	13722.741	0.00608783	77064.716	0.03418829	82.336	3.653e-05	462.388	0.00020513
2020-03-08	15955.066	0.00707816	93019.783	0.04126645	95.73	4.247e-05	558.119	0.0002476
2020-03-09	18446.964	0.00818364	111466.747	0.0494501	110.682	4.91e-05	668.8	0.0002967
2020-03-10	21282.167	0.00944143	132748.914	0.05889152	127.693	5.665e-05	796.493	0.00035335
2020-03-11	24025.822	0.0106586	156774.736	0.06955012	144.155	6.395e-05	940.648	0.0004173
2020-03-12	26317.877	0.01167542	183092.613	0.08122555	157.907	7.005e-05	1098.556	0.00048735
2020-03-13	28409.53	0.01260335	211502.144	0.09382889	170.457	7.562e-05	1269.013	0.00056297
2020-03-14	30844.489	0.01368357	242346.633	0.10751246	185.067	8.21e-05	1454.08	0.00064507
2020-03-15	34002.344	0.01508449	276348.977	0.12259695	204.014	9.051e-05	1658.094	0.00073558
2020-03-16	37784.848	0.01676253	314133.826	0.13935948	226.709	0.00010058	1884.803	0.00083616
2020-03-17	41682.904	0.01849183	355816.73	0.1578513	250.097	0.00011095	2134.9	0.00094711
2020-03-18	43541.221	0.01931623	399357.951	0.17716754	261.247	0.0001159	2396.148	0.00106301
2020-03-19	45215.883	0.02005916	444573.834	0.1972267	271.295	0.00012035	2667.443	0.00118336
2020-03-20	46053.215	0.02043063	490627.049	0.21765733	276.319	0.00012258	2943.762	0.00130594
2020-03-21	46890.546	0.0208021	537517.594	0.23845943	281.343	0.00012481	3225.106	0.00143076
2020-03-22	46890.546	0.0208021	584408.14	0.25926152	281.343	0.00012481	3506.449	0.00155557
2020-03-23	46471.88	0.02061636	630880.02	0.27987789	278.831	0.0001237	3785.28	0.00167927
2020-03-24	46053.215	0.02043063	676933.235	0.30030852	276.319	0.00012258	4061.599	0.00180185
2020-03-25	45634.549	0.0202449	722567.784	0.32055341	273.807	0.00012147	4335.407	0.00192332
2020-03-26	44797.218	0.01987343	767365.001	0.34042684	268.783	0.00011924	4604.19	0.00204256
2020-03-27	43959.887	0.01950197	811324.888	0.35992881	263.759	0.00011701	4867.949	0.00215957
2020-03-28	43122.555	0.0191305	854447.443	0.37905931	258.735	0.00011478	5126.685	0.00227436
2020-03-29	41866.559	0.0185733	896314.002	0.39763261	251.199	0.00011144	5377.884	0.0023858
2020-03-30	40610.562	0.0180161	936924.564	0.41564871	243.663	0.0001081	5621.547	0.00249389
2020-03-31	39354.565	0.0174589	976279.129	0.43310761	236.127	0.00010475	5857.675	0.00259865
2020-04-01	38517.234	0.01708744	1014796.363	0.45019505	231.103	0.00010252	6088.778	0.00270117
