Name	Predicted_New_Cases	Total_Predicted_New_Cases
Cumberland	3.179	1238.061
Atlantic	29.383	7575.018
Somerset	9.004	5025.5
Hunterdon	1.607	1039.548
Hudson	150.338	62289.86
Ocean	22.611	13508.797
Camden	23.027	9557.511
Sussex	1.899	1326.092
Middlesex	49.709	26006.893
Gloucester	6.505	3025.288
Morris	26.054	13622.808
Mercer	14.255	7029.126
Bergen	87.896	46107.245
Essex	66.169	34612.799
Burlington	26.097	10829.982
Passaic	93.531	43583.723
Union	96.525	42538.96
Cape May	36.589	7419.731
Warren	10.544	3830.693
Monmouth	14.746	11189.385
