original_column_name,"presented_column_name"
Name,"Name"
Predicted_New_Cases,"Predicted Daily Cases"
Total_Predicted_New_Cases,"Total_Predicted_New_Cases"
Total_Predicted_Cases,"Predicted Total Cases"
Predicted_New_Deaths,"Predicted Daily Deaths"
Total_Predicted_New_Deaths,"Total_Predicted_New_Deaths"
Total_Predicted_Deaths,"Predicted Total Deaths"
Predicted_New_per_capita,"Predicted Daily Cases per 100,000"
Predicted_Total_New_per_capita,"Predicted_Total_New_per_capita"
Predicted_Total_Cases_per_capita,"Predicted Total Cases per 100,000"
Predicted_New_Deaths_per_capita,"Predicted Daily Deaths per 100,000"
Total_Predicted_New_Deaths_per_capita,"Total_Predicted_New_Deaths_per_capita"
Total_Predicted_Deaths_per_capita,"Predicted Total Deaths per 100,000"
