region;Tests;tests_per_million;as_of_date
USA;1858592;5615;06.04.2020
Spain;355000;7593;06.04.2020
Italy;721732;11937;06.04.2020
Germany;918460;10962;06.04.2020
France;224254;3436;06.04.2020
China;0;0;06.04.2020
Iran;186000;2214;06.04.2020
UK;252958;3726;06.04.2020
Turkey;202845;2405;06.04.2020
Switzerland;162500;18776;06.04.2020
Belgium;70000;6040;06.04.2020
Netherlands;75415;4401;06.04.2020
Canada;330901;8767;06.04.2020
Austria;111296;12357;06.04.2020
Portugal;91794;9002;06.04.2020
Brazil;54824;258;06.04.2020
S. Korea;461233;8996;06.04.2020
Israel;109724;12677;06.04.2020
Sweden;36900;3654;06.04.2020
Norway;111299;20530;06.04.2020
Australia;303536;11903;06.04.2020
Russia;758000;5194;06.04.2020
Ireland;30213;6119;06.04.2020
Czechia;85014;7939;06.04.2020
Chile;54864;2870;06.04.2020
Denmark;52936;9139;06.04.2020
Poland;85467;2258;06.04.2020
Romania;40987;2131;06.04.2020
Malaysia;55566;1717;06.04.2020
Ecuador;13039;739;06.04.2020
India;140293;102;06.04.2020
Philippines;22958;210;06.04.2020
Pakistan;35875;162;06.04.2020
Japan;46172;365;06.04.2020
Luxembourg;24291;38805;06.04.2020
Saudi Arabia;0;0;06.04.2020
Peru;20414;619;06.04.2020
Indonesia;11460;42;06.04.2020
Thailand;25071;359;06.04.2020
Finland;32800;5920;06.04.2020
Serbia;8552;979;06.04.2020
Mexico;18034;140;06.04.2020
Panama;9749;2259;06.04.2020
UAE;220000;22244;06.04.2020
Dominican Republic;4542;419;06.04.2020
Greece;26193;2513;06.04.2020
South Africa;56873;959;06.04.2020
Qatar;38108;13227;06.04.2020
Iceland;27880;81701;06.04.2020
Colombia;25264;497;06.04.2020
Argentina;10709;237;06.04.2020
Algeria;3359;77;06.04.2020
Singapore;65000;11110;06.04.2020
Ukraine;5864;134;06.04.2020
Croatia;11464;2793;06.04.2020
Egypt;25000;244;06.04.2020
Estonia;21866;16484;06.04.2020
New Zealand;39918;8278;06.04.2020
Morocco;5104;138;06.04.2020
Slovenia;28253;13590;06.04.2020
Iraq;0;0;06.04.2020
Hong Kong;96709;12900;06.04.2020
Moldova;0;0;06.04.2020
Armenia;4929;1663;06.04.2020
Lithuania;25599;9403;06.04.2020
Hungary;22282;2307;06.04.2020
Diamond Princess;0;0;06.04.2020
Bahrain;47684;28023;06.04.2020
Bosnia and Herzegovina;5934;1809;06.04.2020
Cameroon;0;0;06.04.2020
Azerbaijan;45000;4438;06.04.2020
Kazakhstan;5093;271;06.04.2020
Tunisia;7145;605;06.04.2020
Belarus;40000;4233;06.04.2020
Kuwait;0;0;06.04.2020
North Macedonia;5291;2540;06.04.2020
Latvia;21453;11374;06.04.2020
Bulgaria;15899;2288;06.04.2020
Lebanon;9653;1414;06.04.2020
Andorra;0;0;06.04.2020
Slovakia;16191;2966;06.04.2020
