department,municipality,department_abbreviation,NAME,row_nr
Amazonas,El Encanto,AM,"El Encanto, AM",1
Amazonas,La Chorrera,AM,"La Chorrera, AM",2
Amazonas,La Pedrera,AM,"La Pedrera, AM",3
Amazonas,Leticia,AM,"Leticia, AM",4
Amazonas,Miriti-Parana,AM,"Miriti-Parana, AM",5
Amazonas,Puerto Narino,AM,"Puerto Narino, AM",6
Amazonas,Puerto Santander,AM,"Puerto Santander, AM",7
Amazonas,Tarapaca,AM,"Tarapaca, AM",8
Antioquia,Abejorral,AN,"Abejorral, AN",9
Antioquia,Abriaqui,AN,"Abriaqui, AN",10
Antioquia,Alejandria,AN,"Alejandria, AN",11
Antioquia,Amaga,AN,"Amaga, AN",12
Antioquia,Amalfi,AN,"Amalfi, AN",13
Antioquia,Andes,AN,"Andes, AN",14
Antioquia,Angelopolis,AN,"Angelopolis, AN",15
Antioquia,Angostura,AN,"Angostura, AN",16
Antioquia,Anori,AN,"Anori, AN",17
Antioquia,Anza,AN,"Anza, AN",18
Antioquia,Apartado,AN,"Apartado, AN",19
Antioquia,Arboletes,AN,"Arboletes, AN",20
Antioquia,Argelia,AN,"Argelia, AN",21
Antioquia,Armenia,AN,"Armenia, AN",22
Antioquia,Barbosa,AN,"Barbosa, AN",23
Antioquia,Bello,AN,"Bello, AN",24
Antioquia,Belmira,AN,"Belmira, AN",25
Antioquia,Betania,AN,"Betania, AN",26
Antioquia,Betulia,AN,"Betulia, AN",27
Antioquia,Bolivar,AN,"Bolivar, AN",28
Antioquia,Briceno,AN,"Briceno, AN",29
Antioquia,Buritica,AN,"Buritica, AN",30
Antioquia,Caceres,AN,"Caceres, AN",31
Antioquia,Caicedo,AN,"Caicedo, AN",32
Antioquia,Caldas,AN,"Caldas, AN",33
Antioquia,Campamento,AN,"Campamento, AN",34
Antioquia,Canasgordas,AN,"Canasgordas, AN",35
Antioquia,Caracoli,AN,"Caracoli, AN",36
Antioquia,Caramanta,AN,"Caramanta, AN",37
Antioquia,Carepa,AN,"Carepa, AN",38
Antioquia,Carolina del Principe,AN,"Carolina del Principe, AN",39
Antioquia,Caucasia,AN,"Caucasia, AN",40
Antioquia,Chigorodo,AN,"Chigorodo, AN",41
Antioquia,Cisneros,AN,"Cisneros, AN",42
Antioquia,Cocorna,AN,"Cocorna, AN",43
Antioquia,Concepcion,AN,"Concepcion, AN",44
Antioquia,Concordia,AN,"Concordia, AN",45
Antioquia,Copacabana,AN,"Copacabana, AN",46
Antioquia,Dabeiba,AN,"Dabeiba, AN",47
Antioquia,Don Matias,AN,"Don Matias, AN",48
Antioquia,Ebejico,AN,"Ebejico, AN",49
Antioquia,El Bagre,AN,"El Bagre, AN",50
Antioquia,El Carmen de Viboral,AN,"El Carmen de Viboral, AN",51
Antioquia,El Santuario,AN,"El Santuario, AN",52
Antioquia,Entrerrios,AN,"Entrerrios, AN",53
Antioquia,Envigado,AN,"Envigado, AN",54
Antioquia,Fredonia,AN,"Fredonia, AN",55
Antioquia,Frontino,AN,"Frontino, AN",56
Antioquia,Giraldo,AN,"Giraldo, AN",57
Antioquia,Girardota,AN,"Girardota, AN",58
Antioquia,Gomez Plata,AN,"Gomez Plata, AN",59
