actual,predicted,axis_label,best_worst_projection
Confirmed,Predicted_Total_Cases,Confirmed COVID-19 Cases,
Confirmed_daily,Predicted_Daily_Cases,Confirmed COVID-19 Cases Daily,
Deaths_daily,Predicted_Daily_Deaths,Confirmed Deaths,
Deaths,Predicted_Total_Deaths,Confirmed Deaths Daily,
Cases_worst_case,,Confirmed COVID-19 Cases Daily Worst Case Scenario,Cases
Cases_per_capita_worst_case,,"Confirmed COVID-19 Cases Daily per 100,000 Worst Case Scenario",Cases_per_capita
Total_Cases_worst_case,,Confirmed COVID-19 Cases Worst Case Scenario,Total_Cases
Total_Cases_per_capita_worst_case,,"Confirmed COVID-19 Cases per 100,000 Worst Case Scenario",Total_Cases_per_capita
Deaths_worst_case,,Confirmed Deaths Daily Worst Case Scenario,Deaths
Deaths_per_capita_worst_case,,"Confirmed Deaths Daily per 100,000 Worst Case Scenario",Deaths_per_capita
Total_Deaths_worst_case,,Confirmed Deaths Worst Case Scenario,Total_Deaths
Total_Deaths_per_capita_worst_case,,"Confirmed Deaths per 100,000 Worst Case Scenario",Total_Deaths_per_capita
Cases_best_case,,Confirmed COVID-19 Cases Daily Best Case Scenario,Cases
Cases_per_capita_best_case,,"Confirmed COVID-19 Cases Daily per 100,000 Best Case Scenario",Cases_per_capita
Total_Cases_best_case,,Confirmed COVID-19 Cases Best Case Scenario,Total_Cases
Total_Cases_per_capita_best_case,,"Confirmed COVID-19 Cases per 100,000 Best Case Scenario",Total_Cases_per_capita
Deaths_best_case,,Confirmed Deaths Daily Best Case Scenario,Deaths
Deaths_per_capita_best_case,,"Confirmed Deaths Daily per 100,000 Best Case Scenario",Deaths_per_capita
Total_Deaths_best_case,,Confirmed Deaths Best Case Scenario,Total_Deaths
Total_Deaths_per_capita_best_case,,"Confirmed Deaths per 100,000 Best Case Scenario",Total_Deaths_per_capita
