Region	Confirmed	Recovered	Deaths	Confirmed_per_capita	Deaths_per_capita	IFR_30_Expected	IFR_65_Expected	IFR_100_Expected	IFR_30_Expected_per_capita	IFR_65_Expected_per_capita	IFR_100_Expected_per_capita
Harju	220	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA
Hiiu	6	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
Ida-Viru	14	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA
Jogeva	3	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA
Jarva	2	NA	NA	0.07	NA	NA	NA	NA	NA	NA	NA
Laane	2	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA
Laane-Viru	6	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA
Polva	4	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA
Parnu	40	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
Rapla	8	NA	NA	0.24	NA	NA	NA	NA	NA	NA	NA
Saare	217	NA	NA	6.47	NA	NA	NA	NA	NA	NA	NA
Tartu	44	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA
Valga	3	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA
Viljandi	6	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA
Voru	62	NA	NA	1.73	NA	NA	NA	NA	NA	NA	NA
other	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
