Name	Predicted_New_Cases	Total_Predicted_New_Cases
Josephine	0.0	0.0
Linn	0.0	0.0
Lane	0.0	0.0
Hood River	0.0	0.0
Yamhill	0.049	17.081
Multnomah	0.825	142.294
Washington	0.668	132.315
Clatsop	0.0	0.0
Clackamas	0.254	44.987
Klamath	16.517	645.327
Morrow	0.0	0.0
Douglas	0.0	0.0
Marion	0.55	108.966
Malheur	0.0	0.0
Benton	16.517	645.327
Columbia	0.0	0.0
Sherman	0.0	0.0
Crook	0.0	0.0
Union	0.0	0.0
Tillamook	0.0	0.0
Deschutes	0.165	28.455
Wallowa	0.0	0.0
Umatilla	0.0	0.0
Wasco	0.0	0.0
Jackson	0.0	0.0
