Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Jackson	27	0	0	0	1.2297e-4	0	135	54	33.75	6.1485e-4	2.4594e-4	1.537125e-4	5	0	400	0
Grant	1	0	0	0	1.3935e-4	0	5	2	1.25	6.9675e-4	2.787e-4	1.741875e-4	0	0	100	0
Union	3	0	0	0	1.1337e-4	0	15	6	3.75	5.6685e-4	2.2674e-4	1.417125e-4	2	0	100	0
Deschutes	32	0	0	0	1.6667e-4	0	160	64	40	8.3335e-4	3.3334e-4	2.083375e-4	5	0	66.7	0
Lincoln	4	0	0	0	8.099e-5	0	20	8	5	4.0495e-4	1.6198e-4	1.012375e-4	1	0	0	0
Douglas	9	0	0	0	8.161e-5	0	45	18	11.25	4.0805e-4	1.6322e-4	1.020125e-4	-1	0	-200	0
Klamath	8	0	0	0	1.1825e-4	0	40	16	10	5.9125e-4	2.365e-4	1.478125e-4	3	0	100	0
Wasco	7	0	0	0	2.641e-4	0	35	14	8.75	0.0013205	5.282e-4	3.30125e-4	0	0	100	0
Hood River	3	0	0	0	1.2805e-4	0	15	6	3.75	6.4025e-4	2.561e-4	1.600625e-4	1	0	-200	0
Multnomah	160	3	0	0	1.9707e-4	3.7e-6	1000	461.538461538	300	0.00123333333333	5.69230769231e-4	3.7e-4	26	0	44.4	0
Columbia	1	0	0	0	1.909e-5	0	5	2	1.25	9.545e-5	3.818e-5	2.38625e-5	0	0	100	0
Clackamas	61	3	0	0	1.4661e-4	7.21e-6	1000	461.538461538	300	0.00240333333333	0.00110923076923	7.21e-4	5	0	-16.7	0
Linn	37	2	0	0	2.9057e-4	1.571e-5	666.666666667	307.692307692	200	0.00523666666667	0.00241692307692	0.001571	0	0	100	0
Lane	21	1	0	0	5.532e-5	2.63e-6	333.333333333	153.846153846	100	8.76666666667e-4	4.04615384615e-4	2.63e-4	3	0	50	0
Wallowa	1	0	0	0	1.4122e-4	0	5	2	1.25	7.061e-4	2.8244e-4	1.76525e-4	0	0	100	0
Clatsop	3	0	0	0	7.545e-5	0	15	6	3.75	3.7725e-4	1.509e-4	9.43125e-5	0	0	100	0
Benton	15	1	0	0	1.6286e-4	1.086e-5	333.333333333	153.846153846	100	0.00362	0.00167076923077	0.001086	2	0	100	0
Yamhill	18	3	0	0	1.6822e-4	2.804e-5	1000	461.538461538	300	0.00934666666667	0.00431384615385	0.002804	1	0	0	0
Morrow	1	0	0	0	8.794e-5	0	5	2	1.25	4.397e-4	1.7588e-4	1.09925e-4	0	0	100	0
Malheur	1	0	0	0	3.255e-5	0	5	2	1.25	1.6275e-4	6.51e-5	4.06875e-5	0	0	100	0
Umatilla	5	0	0	0	6.45e-5	0	25	10	6.25	3.225e-4	1.29e-4	8.0625e-5	0	0	100	0
Josephine	12	0	0	0	1.3731e-4	0	60	24	15	6.8655e-4	2.7462e-4	1.716375e-4	2	0	100	0
Washington	211	4	0	0	3.5302e-4	6.69e-6	1333.33333333	615.384615385	400	0.00223	0.00102923076923	6.69e-4	22	1	633.3	0
Tillamook	3	0	0	0	1.1199e-4	0	15	6	3.75	5.5995e-4	2.2398e-4	1.399875e-4	0	0	100	0
Marion	164	4	0	0	4.728e-4	1.153e-5	1333.33333333	615.384615385	400	0.00384333333333	0.00177384615385	0.001153	13	1	30	0
Polk	18	0	0	0	2.1118e-4	0	90	36	22.5	0.0010559	4.2236e-4	2.63975e-4	0	0	100	0
