Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
San Juan	72	0	0	0	0.0005758	0.0	360	144	90	0.002879	0.0011516	0.00071975	20	0	300	0
Lea	2	0	0	0	2.873e-05	0.0	10	4	2.5	0.00014365	5.746e-05	3.59125e-05	0	0	100	0
Cibola	11	0	0	0	0.00041128	0.0	55	22	13.75	0.0020564	0.00082256	0.0005141	6	0	100	0
Bernalillo	202	7	0	0	0.00029763	1.031e-05	2333.33333333	1076.92307692	700	0.00343666666667	0.00158615384615	0.001031	54	3	184.2	0
Grant	1	0	0	0	3.657e-05	0.0	5	2	1.25	0.00018285	7.314e-05	4.57125e-05	0	0	100	0
Chaves	13	0	0	0	0.00020096	0.0	65	26	16.25	0.0010048	0.00040192	0.0002512	3	0	100	0
Otero	1	0	0	0	1.497e-05	0.0	5	2	1.25	7.485e-05	2.994e-05	1.87125e-05	0	0	100	0
Roosevelt	1	0	0	0	5.335e-05	0.0	5	2	1.25	0.00026675	0.0001067	6.66875e-05	0	0	100	0
Rio Arriba	5	0	0	0	0.00012819	0.0	25	10	6.25	0.00064095	0.00025638	0.0001602375	1	0	100	0
Socorro	8	0	0	0	0.00047804	0.0	40	16	10	0.0023902	0.00095608	0.00059755	5	0	100	0
Eddy	4	1	0	0	6.908e-05	1.727e-05	333.333333333	153.846153846	100	0.00575666666667	0.00265692307692	0.001727	0	0	100	0
Unassigned	3	0	0	0	N/A	N/A	15	6	3.75	N/A	N/A	N/A	2	0	100	0
San Miguel	1	0	0	0	3.624e-05	0.0	5	2	1.25	0.0001812	7.248e-05	4.53e-05	0	0	100	0
Sandoval	66	2	0	0	0.00045461	1.378e-05	666.666666667	307.692307692	200	0.00459333333333	0.00212	0.001378	34	1	1033.3	0
McKinley	46	0	0	0	0.00063633	0.0	230	92	57.5	0.00318165	0.00127266	0.0007954125	17	0	325	0
Valencia	5	0	0	0	6.54e-05	0.0	25	10	6.25	0.000327	0.0001308	8.175e-05	0	0	100	0
Dona Ana	23	0	0	0	0.00010574	0.0	115	46	28.75	0.0005287	0.00021148	0.000132175	2	0	-33.3	0
Curry	6	0	0	0	0.00012137	0.0	30	12	7.5	0.00060685	0.00024274	0.0001517125	1	0	-50	0
Santa Fe	48	0	0	0	0.00031988	0.0	240	96	60	0.0015994	0.00063976	0.00039985	0	0	-100	0
Torrance	3	0	0	0	0.00019242	0.0	15	6	3.75	0.0009621	0.00038484	0.000240525	0	0	100	0
Taos	13	0	0	0	0.00039592	0.0	65	26	16.25	0.0019796	0.00079184	0.0004949	1	0	0	0
