Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-25	1.093	2.7e-07	1.093	2.7e-07	0.0	0.0	0.0	0.0
2020-01-26	2.186	5.3e-07	3.279	8e-07	0.0	0.0	0.0	0.0
2020-01-27	4.371	1.07e-06	7.65	1.87e-06	0.0	0.0	0.0	0.0
2020-01-28	8.743	2.14e-06	16.393	4.01e-06	0.0	0.0	0.0	0.0
2020-01-29	15.191	3.71e-06	31.584	7.72e-06	0.0	0.0	0.0	0.0
2020-01-30	30.381	7.43e-06	61.965	1.515e-05	0.0	0.0	0.0	0.0
2020-01-31	45.572	1.114e-05	107.537	2.63e-05	0.0	0.0	0.0	0.0
2020-02-01	91.144	2.229e-05	198.682	4.858e-05	0.0	0.0	0.0	0.0
2020-02-02	151.907	3.715e-05	350.589	8.573e-05	0.0	0.0	0.0	0.0
2020-02-03	227.861	5.572e-05	578.45	0.00014145	0.0	0.0	0.0	0.0
2020-02-04	303.815	7.429e-05	882.265	0.00021574	0.007	0.0	0.007	0.0
2020-02-05	379.768	9.287e-05	1262.033	0.00030861	0.013	0.0	0.02	0.0
2020-02-06	455.722	0.00011144	1717.755	0.00042005	0.026	1e-08	0.046	1e-08
2020-02-07	531.676	0.00013001	2249.43	0.00055006	0.052	1e-08	0.098	2e-08
2020-02-08	638.011	0.00015602	2887.441	0.00070608	0.091	2e-08	0.19	5e-08
2020-02-09	759.537	0.00018573	3646.978	0.00089181	0.182	4e-08	0.372	9e-08
2020-02-10	911.444	0.00022288	4558.421	0.00111469	0.273	7e-08	0.645	1.6e-07
2020-02-11	1093.733	0.00026746	5652.154	0.00138215	0.547	1.3e-07	1.192	2.9e-07
2020-02-12	1412.738	0.00034546	7064.892	0.00172761	0.911	2.2e-07	2.104	5.1e-07
2020-02-13	1989.986	0.00048662	9054.878	0.00221423	1.367	3.3e-07	3.471	8.5e-07
2020-02-14	2871.048	0.00070207	11925.926	0.0029163	1.823	4.5e-07	5.294	1.29e-06
2020-02-15	3541.466	0.00086601	15467.391	0.00378231	2.279	5.6e-07	7.572	1.85e-06
2020-02-16	4433.668	0.00108419	19901.059	0.0048665	2.734	6.7e-07	10.307	2.52e-06
2020-02-17	5398.786	0.00132019	25299.845	0.00618669	3.19	7.8e-07	13.497	3.3e-06
2020-02-18	6560.37	0.00160424	31860.215	0.00779093	3.828	9.4e-07	17.325	4.24e-06
2020-02-19	7896.142	0.00193088	39756.357	0.00972181	4.557	1.11e-06	21.882	5.35e-06
2020-02-20	9664.343	0.00236327	49420.7	0.01208507	5.469	1.34e-06	27.351	6.69e-06
2020-02-21	11935.863	0.00291873	61356.563	0.01500381	6.562	1.6e-06	33.913	8.29e-06
2020-02-22	14682.348	0.00359034	76038.911	0.01859415	8.476	2.07e-06	42.389	1.037e-05
2020-02-23	17678.972	0.00432312	93717.883	0.02291727	11.94	2.92e-06	54.329	1.329e-05
2020-02-24	21196.133	0.00518319	114914.016	0.02810046	17.226	4.21e-06	71.556	1.75e-05
2020-02-25	24895.582	0.00608783	139809.598	0.03418829	21.249	5.2e-06	92.804	2.269e-05
2020-02-26	28945.431	0.00707816	168755.029	0.04126645	26.602	6.51e-06	119.406	2.92e-05
2020-02-27	33466.192	0.00818364	202221.222	0.0494501	32.393	7.92e-06	151.799	3.712e-05
2020-02-28	38609.774	0.00944143	240830.996	0.05889152	39.362	9.63e-06	191.161	4.675e-05
2020-02-29	43587.27	0.0106586	284418.266	0.06955012	47.377	1.159e-05	238.538	5.833e-05
2020-03-01	47745.479	0.01167542	332163.745	0.08122555	57.986	1.418e-05	296.524	7.251e-05
2020-03-02	51540.124	0.01260335	383703.869	0.09382889	71.615	1.751e-05	368.139	9.002e-05
2020-03-03	55957.588	0.01368357	439661.457	0.10751246	88.094	2.154e-05	456.233	0.00011156
2020-03-04	61686.519	0.01508449	501347.976	0.12259695	106.074	2.594e-05	562.307	0.0001375
2020-03-05	68548.679	0.01676253	569896.655	0.13935948	127.177	3.11e-05	689.484	0.0001686
2020-03-06	75620.47	0.01849183	645517.125	0.1578513	149.373	3.653e-05	838.858	0.00020513
2020-03-07	78991.8	0.01931623	724508.924	0.17716754	173.673	4.247e-05	1012.53	0.0002476
2020-03-08	82029.946	0.02005916	806538.87	0.1972267	200.797	4.91e-05	1213.327	0.0002967
2020-03-09	83549.019	0.02043063	890087.889	0.21765733	231.659	5.665e-05	1444.986	0.00035335
2020-03-10	85068.092	0.0208021	975155.981	0.23845943	261.524	6.395e-05	1706.51	0.0004173
2020-03-11	85068.092	0.0208021	1060224.073	0.25926152	286.473	7.005e-05	1992.982	0.00048735
2020-03-12	84308.555	0.02061636	1144532.628	0.27987789	309.241	7.562e-05	2302.223	0.00056297
2020-03-13	83549.019	0.02043063	1228081.647	0.30030852	335.746	8.21e-05	2637.969	0.00064507
2020-03-14	82789.482	0.0202449	1310871.129	0.32055341	370.119	9.051e-05	3008.088	0.00073558
2020-03-15	81270.409	0.01987343	1392141.538	0.34042684	411.292	0.00010058	3419.38	0.00083616
2020-03-16	79751.336	0.01950197	1471892.874	0.35992881	453.723	0.00011095	3873.103	0.00094711
2020-03-17	78232.263	0.0191305	1550125.137	0.37905931	473.951	0.0001159	4347.054	0.00106301
2020-03-18	75953.653	0.0185733	1626078.791	0.39763261	492.18	0.00012035	4839.233	0.00118336
2020-03-19	73675.044	0.0180161	1699753.835	0.41564871	501.294	0.00012258	5340.527	0.00130594
2020-03-20	71396.434	0.0174589	1771150.269	0.43310761	510.409	0.00012481	5850.936	0.00143076
2020-03-21	69877.361	0.01708744	1841027.63	0.45019505	510.409	0.00012481	6361.344	0.00155557
2020-03-22	68358.288	0.01671597	1909385.918	0.46691102	505.851	0.0001237	6867.196	0.00167927
2020-03-23	66839.215	0.0163445	1976225.133	0.48325552	501.294	0.00012258	7368.49	0.00180185
2020-03-24	65320.142	0.01597304	2041545.275	0.49922856	496.737	0.00012147	7865.227	0.00192332
2020-03-25	63041.532	0.01541584	2104586.807	0.5146444	487.622	0.00011924	8352.849	0.00204256
2020-03-26	60762.923	0.01485864	2165349.73	0.52950304	478.508	0.00011701	8831.357	0.00215957
2020-03-27	58484.313	0.01430144	2223834.043	0.54380448	469.394	0.00011478	9300.751	0.00227436
2020-03-28	56205.704	0.01374424	2280039.747	0.55754872	455.722	0.00011144	9756.473	0.0023858
2020-03-29	53927.094	0.01318704	2333966.841	0.57073577	442.05	0.0001081	10198.523	0.00249389
2020-03-30	51648.484	0.01262984	2385615.325	0.58336561	428.379	0.00010475	10626.902	0.00259865
2020-03-31	49369.875	0.01207265	2434985.2	0.59543825	419.264	0.00010252	11046.166	0.00270117
2020-04-01	47091.265	0.01151545	2482076.465	0.6069537	410.15	0.0001003	11456.316	0.00280147
2020-04-02	45116.47	0.01103254	2527192.935	0.61798624	401.035	9.807e-05	11857.351	0.00289953
2020-04-03	43141.675	0.01054963	2570334.61	0.62853588	391.921	9.584e-05	12249.272	0.00299537
2020-04-04	41014.973	0.01002958	2611349.583	0.63856546	378.249	9.25e-05	12627.521	0.00308787
2020-04-05	38888.271	0.00950953	2650237.854	0.64807499	364.578	8.915e-05	12992.098	0.00317702
2020-04-06	37065.383	0.00906377	2687303.237	0.65713876	350.906	8.581e-05	13343.004	0.00326283
2020-04-07	35242.495	0.00861801	2722545.732	0.66575677	337.234	8.247e-05	13680.238	0.00334529
2020-04-08	34938.681	0.00854372	2757484.412	0.67430049	323.563	7.912e-05	14003.801	0.00342441
2020-04-09	33115.793	0.00809796	2790600.205	0.68239845	309.891	7.578e-05	14313.692	0.00350019
2020-04-10	31444.813	0.00768935	2822045.018	0.69008779	296.219	7.244e-05	14609.911	0.00357263
2020-04-11	29925.739	0.00731788	2851970.757	0.69740567	282.548	6.909e-05	14892.459	0.00364172
2020-04-12	28406.666	0.00694641	2880377.424	0.70435209	270.699	6.62e-05	15163.158	0.00370792
2020-04-13	26887.593	0.00657495	2907265.017	0.71092704	258.85	6.33e-05	15422.008	0.00377122
2020-04-14	25368.52	0.00620348	2932633.537	0.71713052	246.09	6.018e-05	15668.097	0.00383139
2020-04-15	23849.447	0.00583202	2956482.984	0.72296253	233.33	5.706e-05	15901.427	0.00388845
2020-04-16	22330.374	0.00546055	2978813.359	0.72842308	222.392	5.438e-05	16123.819	0.00394283
2020-04-17	20811.301	0.00508908	2999624.66	0.73351217	211.455	5.171e-05	16335.274	0.00399454
