Region	Confirmed	Recovered	Deaths	Confirmed_per_capita	Deaths_per_capita	IFR_30_Expected	IFR_65_Expected	IFR_100_Expected	IFR_30_Expected_per_capita	IFR_65_Expected_per_capita	IFR_100_Expected_per_capita
Harju	248	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA
Hiiu	7	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA
Ida-Viru	22	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA
Jogeva	3	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA
Jarva	4	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA
Laane	2	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA
Laane-Viru	7	NA	NA	0.12	NA	NA	NA	NA	NA	NA	NA
Polva	4	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA
Parnu	44	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA
Rapla	12	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA
Saare	264	NA	NA	7.88	NA	NA	NA	NA	NA	NA	NA
Tartu	49	NA	NA	0.32	NA	NA	NA	NA	NA	NA	NA
Valga	5	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA
Viljandi	6	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA
Voru	65	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA
other	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
