Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Aruba	2201.798	0.0208021	25239.738	0.23845943	13.211	0.00012481	151.438	0.00143076
Argentina	900786.615	0.0202449	14262864.495	0.32055341	5404.72	0.00012147	85577.187	0.00192332
Bolivia	236169.151	0.0208021	2943432.887	0.25926152	1417.015	0.00012481	17660.597	0.00155557
Uruguay	71752.649	0.0208021	822517.863	0.23845943	430.516	0.00012481	4935.107	0.00143076
Peru	653560.657	0.02043063	9606646.008	0.30030852	3921.364	0.00012258	57639.876	0.00180185
Brazil	4085063.624	0.01950197	75394047.687	0.35992881	24510.382	0.00011701	452364.286	0.00215957
Ecuador	345871.05	0.0202449	5476448.953	0.32055341	2075.226	0.00012147	32858.694	0.00192332
Chile	379169.917	0.0202449	6003696.169	0.32055341	2275.02	0.00012147	36022.177	0.00192332
Belize	7399.488	0.01931623	67867.745	0.17716754	44.397	0.0001159	407.206	0.00106301
Grenada	2152.871	0.01931623	19746.031	0.17716754	12.917	0.0001159	118.476	0.00106301
Colombia	1014353.919	0.02043063	14909922.93	0.30030852	6086.124	0.00012258	89459.538	0.00180185
Barbados	5856.256	0.02043063	62389.515	0.21765733	35.138	0.00012258	374.337	0.00130594
Curacao	3325.194	0.0208021	38117.501	0.23845943	19.951	0.00012481	228.705	0.00143076
Suriname	11981.82	0.0208021	137350.484	0.23845943	71.891	0.00012481	824.103	0.00143076
Venezuela	600560.571	0.0208021	6884370.157	0.23845943	3603.363	0.00012481	41306.221	0.00143076
Guyana	16204.916	0.0208021	201965.764	0.25926152	97.229	0.00012481	1211.795	0.00155557
