Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-14	25.532	2.7e-07	25.532	2.7e-07	0.0	0.0	0.0	0.0
2020-01-15	51.065	5.3e-07	76.597	8e-07	0.0	0.0	0.0	0.0
2020-01-16	102.13	1.07e-06	178.727	1.87e-06	0.0	0.0	0.0	0.0
2020-01-17	204.259	2.14e-06	382.986	4.01e-06	0.0	0.0	0.0	0.0
2020-01-18	354.9	3.71e-06	737.886	7.72e-06	0.0	0.0	0.0	0.0
2020-01-19	709.8	7.43e-06	1447.686	1.515e-05	0.0	0.0	0.0	0.0
2020-01-20	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
2020-01-21	2129.401	2.229e-05	4641.787	4.858e-05	0.0	0.0	0.0	0.0
2020-01-22	3549.001	3.715e-05	8190.788	8.573e-05	0.0	0.0	0.0	0.0
2020-01-23	5323.501	5.572e-05	13514.289	0.00014145	0.0	0.0	0.0	0.0
2020-01-24	7098.002	7.429e-05	20612.291	0.00021574	0.153	0.0	0.153	0.0
2020-01-25	8872.502	9.287e-05	29484.793	0.00030861	0.306	0.0	0.46	0.0
2020-01-26	10647.003	0.00011144	40131.795	0.00042005	0.613	1e-08	1.072	1e-08
2020-01-27	12421.503	0.00013001	52553.298	0.00055006	1.226	1e-08	2.298	2e-08
2020-01-28	14905.804	0.00015602	67459.102	0.00070608	2.129	2e-08	4.427	5e-08
2020-01-29	17745.004	0.00018573	85204.106	0.00089181	4.259	4e-08	8.686	9e-08
2020-01-30	21294.005	0.00022288	106498.111	0.00111469	6.388	7e-08	15.074	1.6e-07
2020-01-31	25552.806	0.00026746	132050.917	0.00138215	12.776	1.3e-07	27.851	2.9e-07
2020-02-01	33005.708	0.00034546	165056.625	0.00172761	21.294	2.2e-07	49.145	5.1e-07
2020-02-02	46491.911	0.00048662	211548.537	0.00221423	31.941	3.3e-07	81.086	8.5e-07
2020-02-03	67076.116	0.00070207	278624.653	0.0029163	42.588	4.5e-07	123.674	1.29e-06
2020-02-04	82739.04	0.00086601	361363.693	0.00378231	53.235	5.6e-07	176.909	1.85e-06
2020-02-05	103583.505	0.00108419	464947.198	0.0048665	63.882	6.7e-07	240.791	2.52e-06
2020-02-06	126131.49	0.00132019	591078.688	0.00618669	74.529	7.8e-07	315.32	3.3e-06
2020-02-07	153269.517	0.00160424	744348.205	0.00779093	89.435	9.4e-07	404.755	4.24e-06
2020-02-08	184477.065	0.00193088	928825.27	0.00972181	106.47	1.11e-06	511.225	5.35e-06
2020-02-09	225787.434	0.00236327	1154612.704	0.01208507	127.764	1.34e-06	638.989	6.69e-06
2020-02-10	278856.827	0.00291873	1433469.532	0.01500381	153.317	1.6e-06	792.306	8.29e-06
2020-02-11	343022.763	0.00359034	1776492.294	0.01859415	198.034	2.07e-06	990.34	1.037e-05
2020-02-12	413032.72	0.00432312	2189525.014	0.02291727	278.951	2.92e-06	1269.291	1.329e-05
2020-02-13	495203.92	0.00518319	2684728.934	0.02810046	402.457	4.21e-06	1671.748	1.75e-05
2020-02-14	581633.92	0.00608783	3266362.854	0.03418829	496.434	5.2e-06	2168.182	2.269e-05
2020-02-15	676250.283	0.00707816	3942613.137	0.04126645	621.501	6.51e-06	2789.683	2.92e-05
2020-02-16	781868.549	0.00818364	4724481.686	0.0494501	756.789	7.92e-06	3546.472	3.712e-05
2020-02-17	902037.718	0.00944143	5626519.404	0.05889152	919.617	9.63e-06	4466.089	4.675e-05
2020-02-18	1018326.646	0.0106586	6644846.05	0.06955012	1106.862	1.159e-05	5572.952	5.833e-05
2020-02-19	1115474.629	0.01167542	7760320.679	0.08122555	1354.725	1.418e-05	6927.676	7.251e-05
2020-02-20	1204128.67	0.01260335	8964449.349	0.09382889	1673.141	1.751e-05	8600.817	9.002e-05
2020-02-21	1307333.616	0.01368357	10271782.965	0.10751246	2058.137	2.154e-05	10658.954	0.00011156
2020-02-22	1441178.268	0.01508449	11712961.233	0.12259695	2478.196	2.594e-05	13137.15	0.0001375
2020-02-23	1601498.467	0.01676253	13314459.7	0.13935948	2971.224	3.11e-05	16108.374	0.0001686
2020-02-24	1766716.287	0.01849183	15081175.987	0.1578513	3489.804	3.653e-05	19598.177	0.00020513
2020-02-25	1845480.446	0.01931623	16926656.433	0.17716754	4057.502	4.247e-05	23655.679	0.0002476
2020-02-26	1916460.462	0.02005916	18843116.895	0.1972267	4691.211	4.91e-05	28346.89	0.0002967
2020-02-27	1951950.471	0.02043063	20795067.366	0.21765733	5412.226	5.665e-05	33759.116	0.00035335
2020-02-28	1987440.48	0.0208021	22782507.846	0.23845943	6109.96	6.395e-05	39869.076	0.0004173
2020-02-29	1987440.48	0.0208021	24769948.326	0.25926152	6692.848	7.005e-05	46561.924	0.00048735
2020-03-01	1969695.475	0.02061636	26739643.801	0.27987789	7224.772	7.562e-05	53786.696	0.00056297
2020-03-02	1951950.471	0.02043063	28691594.272	0.30030852	7844.002	8.21e-05	61630.698	0.00064507
2020-03-03	1934205.467	0.0202449	30625799.738	0.32055341	8647.07	9.051e-05	70277.767	0.00073558
2020-03-04	1898715.458	0.01987343	32524515.197	0.34042684	9608.991	0.00010058	79886.758	0.00083616
2020-03-05	1863225.45	0.01950197	34387740.647	0.35992881	10600.298	0.00011095	90487.056	0.00094711
2020-03-06	1827735.442	0.0191305	36215476.088	0.37905931	11072.883	0.0001159	101559.939	0.00106301
2020-03-07	1774500.428	0.0185733	37989976.516	0.39763261	11498.763	0.00012035	113058.701	0.00118336
2020-03-08	1721265.415	0.0180161	39711241.932	0.41564871	11711.703	0.00012258	124770.404	0.00130594
2020-03-09	1668030.403	0.0174589	41379272.334	0.43310761	11924.643	0.00012481	136695.047	0.00143076
2020-03-10	1632540.395	0.01708744	43011812.729	0.45019505	11924.643	0.00012481	148619.69	0.00155557
2020-03-11	1597050.385	0.01671597	44608863.114	0.46691102	11818.173	0.0001237	160437.863	0.00167927
2020-03-12	1561560.377	0.0163445	46170423.491	0.48325552	11711.703	0.00012258	172149.566	0.00180185
