Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Madagascar	93	0	11	82	3.54e-6	0	465	186	116.25	1.77e-5	7.08e-6	4.425e-6	NA	NA
Swaziland	12	0	7	5	1.056e-5	0	60	24	15	5.28e-5	2.112e-5	1.32e-5	NA	NA
Liberia	37	5	3	29	7.68e-6	1.04e-6	1666.66666667	769.230769231	500	3.46666666667e-4	1.6e-4	1.04e-4	NA	NA
Sudan	17	2	2	13	4.1e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Guinea	212	0	15	197	1.708e-5	0	1060	424	265	8.54e-5	3.416e-5	2.135e-5	NA	NA
United Republic of Tanzania	32	3	5	24	5.7e-7	5e-8	1000	461.538461538	300	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Sao Tome and Principe	4	0	0	4	1.895e-5	0	20	8	5	9.475e-5	3.79e-5	2.36875e-5	19	8.7e-5
Republic of the Congo	60	5	5	50	1.144e-5	9.5e-7	1666.66666667	769.230769231	500	3.16666666667e-4	1.46153846154e-4	9.5e-5	NA	NA
Democratic Republic of the Congo	215	20	13	182	2.56e-6	2.4e-7	6666.66666667	3076.92307692	2000	8e-5	3.69230769231e-5	2.4e-5	NA	NA
Rwanda	118	0	7	111	9.59e-6	0	590	236	147.5	4.795e-5	1.918e-5	1.19875e-5	806	6.2e-5
Somalia	21	1	1	19	1.4e-6	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	NA	NA
Ivory Coast	444	3	52	389	1.771e-5	1.2e-7	1000	461.538461538	300	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Nigeria	305	7	58	240	1.56e-6	4e-8	2333.33333333	1076.92307692	700	1.33333333333e-5	6.15384615385e-6	4e-6	5000	2.4e-5
Cameroon	820	12	98	710	3.252e-5	4.8e-7	4000	1846.15384615	1200	1.6e-4	7.38461538462e-5	4.8e-5	NA	NA
