Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Madagascar	57	0	0	57	2.17e-6	0	285	114	71.25	1.085e-5	4.34e-6	2.7125e-6	14	0	250	0	NA	NA
Swaziland	9	0	0	9	7.92e-6	0	45	18	11.25	3.96e-5	1.584e-5	9.9e-6	0	0	100	0	NA	NA
Liberia	3	0	0	3	6.2e-7	0	15	6	3.75	3.1e-6	1.24e-6	7.75e-7	0	0	100	0	NA	NA
Sudan	7	2	1	4	1.7e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	1	0	100	0	NA	NA
Guinea	22	0	0	22	1.77e-6	0	110	44	27.5	8.85e-6	3.54e-6	2.2125e-6	0	0	-100	0	NA	NA
United Republic of Tanzania	19	1	1	17	3.4e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	0	1	-100	0	NA	NA
Republic of the Congo	19	0	0	19	3.62e-6	0	95	38	23.75	1.81e-5	7.24e-6	4.525e-6	0	0	100	0	NA	NA
Democratic Republic of the Congo	98	8	2	88	1.17e-6	1e-7	2666.66666667	1230.76923077	800	3.33333333333e-5	1.53846153846e-5	1e-5	17	0	6.2	0	NA	NA
Rwanda	75	0	0	75	6.1e-6	0	375	150	93.75	3.05e-5	1.22e-5	7.625e-6	5	0	100	0	NA	NA
Somalia	5	0	1	4	3.3e-7	0	25	10	6.25	1.65e-6	6.6e-7	4.125e-7	2	0	100	0	NA	NA
Ivory Coast	179	1	7	171	7.14e-6	4e-8	333.333333333	153.846153846	100	1.33333333333e-5	6.15384615385e-6	4e-6	11	0	266.7	0	NA	NA
Nigeria	135	2	8	125	6.9e-7	1e-8	666.666666667	307.692307692	200	3.33333333333e-6	1.53846153846e-6	1e-6	4	0	-80	0	NA	NA
Cameroon	193	6	5	182	7.65e-6	2.4e-7	2000	923.076923077	600	8e-5	3.69230769231e-5	2.4e-5	54	0	100	0	NA	NA
Burkina Faso	261	14	32	215	1.321e-5	7.1e-7	4666.66666667	2153.84615385	1400	2.36666666667e-4	1.09230769231e-4	7.1e-5	15	2	-37.5	0	NA	NA
Benin	9	0	1	8	7.8e-7	0	45	18	11.25	3.9e-6	1.56e-6	9.75e-7	3	0	100	0	NA	NA
Ghana	161	5	31	125	5.41e-6	1.7e-7	1666.66666667	769.230769231	500	5.66666666667e-5	2.61538461538e-5	1.7e-5	9	0	100	0	NA	NA
Algeria	716	44	46	626	1.696e-5	1.04e-6	14666.6666667	6769.23076923	4400	3.46666666667e-4	1.6e-4	1.04e-4	132	9	80.8	0	NA	NA
Zambia	35	0	0	35	2.02e-6	0	175	70	43.75	1.01e-5	4.04e-6	2.525e-6	0	0	-100	0	NA	NA
Cape Verde	6	1	0	5	1.103e-5	1.84e-6	333.333333333	153.846153846	100	6.13333333333e-4	2.83076923077e-4	1.84e-4	0	0	100	0	NA	NA
Togo	34	1	10	23	4.31e-6	1.3e-7	333.333333333	153.846153846	100	4.33333333333e-5	2e-5	1.3e-5	4	0	-20	0	NA	NA
Zimbabwe	8	1	0	7	5.5e-7	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	1	0	100	0	NA	NA
Senegal	175	0	40	135	1.104e-5	0	875	350	218.75	5.52e-5	2.208e-5	1.38e-5	13	0	-35	0	NA	NA
Sierra Leone	1	0	0	1	1.3e-7	0	5	2	1.25	6.5e-7	2.6e-7	1.625e-7	NA	NA	100	0	NA	NA
Eritrea	15	0	0	15	3.35e-6	0	75	30	18.75	1.675e-5	6.7e-6	4.1875e-6	3	0	100	0	NA	NA
Libya	10	0	1	9	1.5e-6	0	50	20	12.5	7.5e-6	3e-6	1.875e-6	2	0	100	0	NA	NA
Gambia	4	1	0	3	1.75e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	0	0	100	0	NA	NA
Central African Republic	3	0	0	3	6.4e-7	0	15	6	3.75	3.2e-6	1.28e-6	8e-7	0	0	100	0	NA	NA
Mauritius	143	5	0	138	1.1302e-4	3.95e-6	1666.66666667	769.230769231	500	0.00131666666667	6.07692307692e-4	3.95e-4	15	2	-28.6	0	NA	NA
Morocco	617	36	24	557	1.713e-5	1e-6	12000	5538.46153846	3600	3.33333333333e-4	1.53846153846e-4	1e-4	61	3	-20.8	0	NA	NA
Mauritania	6	1	2	3	1.36e-6	2.3e-7	333.333333333	153.846153846	100	7.66666666667e-5	3.53846153846e-5	2.3e-5	1	0	100	0	NA	NA
Gabon	16	1	0	15	7.55e-6	4.7e-7	333.333333333	153.846153846	100	1.56666666667e-4	7.23076923077e-5	4.7e-5	9	0	100	0	NA	NA
Guinea-Bissau	8	0	0	8	4.27e-6	0	40	16	10	2.135e-5	8.54e-6	5.3375e-6	0	0	-100	0	NA	NA
Mali	28	2	0	26	1.47e-6	1e-7	666.666666667	307.692307692	200	3.33333333333e-5	1.53846153846e-5	1e-5	3	0	-57.1	0	NA	NA
Namibia	11	0	2	9	4.49e-6	0	55	22	13.75	2.245e-5	8.98e-6	5.6125e-6	0	0	100	0	NA	NA
Seychelles	10	0	0	10	1.0335e-4	0	50	20	12.5	5.1675e-4	2.067e-4	1.291875e-4	2	0	100	0	NA	NA
Angola	7	2	1	4	2.3e-7	6e-8	666.666666667	307.692307692	200	2e-5	9.23076923077e-6	6e-6	0	0	100	0	NA	NA
Chad	7	0	0	7	4.5e-7	0	35	14	8.75	2.25e-6	9e-7	5.625e-7	2	0	0	0	NA	NA
Ethiopia	26	0	2	24	2.4e-7	0	130	52	32.5	1.2e-6	4.8e-7	3e-7	3	0	50	0	NA	NA
Egypt	710	46	157	507	7.21e-6	4.7e-7	15333.3333333	7076.92307692	4600	1.56666666667e-4	7.23076923077e-5	4.7e-5	54	5	14.9	0	NA	NA
Equatorial Guinea	12	0	1	11	9.17e-6	0	60	24	15	4.585e-5	1.834e-5	1.14625e-5	0	0	100	0	NA	NA
South Africa	1353	5	31	1317	2.342e-5	9e-8	1666.66666667	769.230769231	500	3e-5	1.38461538462e-5	9e-6	27	2	-41.3	0	NA	NA
Tunisia	394	10	3	381	3.407e-5	8.6e-7	3333.33333333	1538.46153846	1000	2.86666666667e-4	1.32307692308e-4	8.6e-5	82	2	100	0	NA	NA
Djibouti	30	0	0	30	3.129e-5	0	150	60	37.5	1.5645e-4	6.258e-5	3.91125e-5	12	0	100	0	NA	NA
Mozambique	8	0	0	8	2.7e-7	0	40	16	10	1.35e-6	5.4e-7	3.375e-7	0	0	100	0	NA	NA
Uganda	44	0	0	44	1.03e-6	0	220	88	55	5.15e-6	2.06e-6	1.2875e-6	11	0	100	0	NA	NA
Burundi	2	0	0	2	1.8e-7	0	10	4	2.5	9e-7	3.6e-7	2.25e-7	NA	NA	100	0	NA	NA
Kenya	59	1	1	57	1.15e-6	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	9	0	12.5	0	NA	NA
Niger	27	3	0	24	1.2e-6	1.3e-7	1000	461.538461538	300	4.33333333333e-5	2e-5	1.3e-5	0	0	-100	0	NA	NA
Botswana	4	1	0	3	1.77e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	1	1	100	0	NA	NA
