Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Madagascar	82	0	2	80	3.12e-6	0	410	164	102.5	1.56e-5	6.24e-6	3.9e-6	NA	NA
Swaziland	10	0	4	6	8.8e-6	0	50	20	12.5	4.4e-5	1.76e-5	1.1e-5	NA	NA
Liberia	14	3	3	8	2.91e-6	6.2e-7	1000	461.538461538	300	2.06666666667e-4	9.53846153846e-5	6.2e-5	NA	NA
Sudan	12	2	2	8	2.9e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Guinea	128	0	5	123	1.031e-5	0	640	256	160	5.155e-5	2.062e-5	1.28875e-5	NA	NA
United Republic of Tanzania	24	1	3	20	4.3e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	NA	NA
Sao Tome and Principe	4	0	0	4	1.895e-5	0	20	8	5	9.475e-5	3.79e-5	2.36875e-5	19	8.7e-5
Republic of the Congo	45	5	2	38	8.58e-6	9.5e-7	1666.66666667	769.230769231	500	3.16666666667e-4	1.46153846154e-4	9.5e-5	NA	NA
Democratic Republic of the Congo	161	18	5	138	1.92e-6	2.1e-7	6000	2769.23076923	1800	7e-5	3.23076923077e-5	2.1e-5	NA	NA
Rwanda	105	0	4	101	8.54e-6	0	525	210	131.25	4.27e-5	1.708e-5	1.0675e-5	NA	NA
Somalia	7	0	1	6	4.7e-7	0	35	14	8.75	2.35e-6	9.4e-7	5.875e-7	NA	NA
Ivory Coast	323	3	41	279	1.288e-5	1.2e-7	1000	461.538461538	300	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Nigeria	238	5	35	198	1.22e-6	3e-8	1666.66666667	769.230769231	500	1e-5	4.61538461538e-6	3e-6	5000	2.4e-5
Cameroon	658	9	17	632	2.609e-5	3.6e-7	3000	1384.61538462	900	1.2e-4	5.53846153846e-5	3.6e-5	NA	NA
Burkina Faso	364	18	108	238	1.843e-5	9.1e-7	6000	2769.23076923	1800	3.03333333333e-4	1.4e-4	9.1e-5	NA	NA
Benin	26	1	5	20	2.26e-6	9e-8	333.333333333	153.846153846	100	3e-5	1.38461538462e-5	9e-6	NA	NA
Ghana	214	5	31	178	7.19e-6	1.7e-7	1666.66666667	769.230769231	500	5.66666666667e-5	2.61538461538e-5	1.7e-5	NA	NA
Algeria	1423	173	90	1160	3.37e-5	4.1e-6	57666.6666667	26615.3846154	17300	0.00136666666667	6.30769230769e-4	4.1e-4	3359	7.7e-5
Zambia	39	1	5	33	2.25e-6	6e-8	333.333333333	153.846153846	100	2e-5	9.23076923077e-6	6e-6	619	3.4e-5
Cape Verde	7	1	1	5	1.287e-5	1.84e-6	333.333333333	153.846153846	100	6.13333333333e-4	2.83076923077e-4	1.84e-4	NA	NA
Malawi	5	0	0	5	2.8e-7	0	25	10	6.25	1.4e-6	5.6e-7	3.5e-7	NA	NA
Togo	58	3	23	32	7.35e-6	3.8e-7	1000	461.538461538	300	1.26666666667e-4	5.84615384615e-5	3.8e-5	1467	1.77e-4
Zimbabwe	10	1	0	9	6.9e-7	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	316	2.1e-5
Senegal	226	2	92	132	1.425e-5	1.3e-7	666.666666667	307.692307692	200	4.33333333333e-5	2e-5	1.3e-5	NA	NA
Sierra Leone	6	0	0	6	7.8e-7	0	30	12	7.5	3.9e-6	1.56e-6	9.75e-7	NA	NA
Eritrea	31	0	0	31	6.93e-6	0	155	62	38.75	3.465e-5	1.386e-5	8.6625e-6	NA	NA
Libya	19	1	1	17	2.84e-6	1.5e-7	333.333333333	153.846153846	100	5e-5	2.30769230769e-5	1.5e-5	312	4.5e-5
Gambia	4	1	2	1	1.75e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	NA	NA
Central African Republic	8	0	0	8	1.71e-6	0	40	16	10	8.55e-6	3.42e-6	2.1375e-6	NA	NA
Mauritius	244	7	7	230	1.9284e-4	5.53e-6	2333.33333333	1076.92307692	700	0.00184333333333	8.50769230769e-4	5.53e-4	4913	0.003863
Morocco	1120	80	81	959	3.109e-5	2.22e-6	26666.6666667	12307.6923077	8000	7.4e-4	3.41538461538e-4	2.22e-4	5104	1.38e-4
Mauritania	6	1	2	3	1.36e-6	2.3e-7	333.333333333	153.846153846	100	7.66666666667e-5	3.53846153846e-5	2.3e-5	67	1.4e-5
Gabon	24	1	1	22	1.132e-5	4.7e-7	333.333333333	153.846153846	100	1.56666666667e-4	7.23076923077e-5	4.7e-5	NA	NA
South Sudan	1	0	0	1	9e-8	0	5	2	1.25	4.5e-7	1.8e-7	1.125e-7	NA	NA
Guinea-Bissau	18	0	0	18	9.6e-6	0	90	36	22.5	4.8e-5	1.92e-5	1.2e-5	NA	NA
Mali	47	5	9	33	2.46e-6	2.6e-7	1666.66666667	769.230769231	500	8.66666666667e-5	4e-5	2.6e-5	NA	NA
Namibia	16	0	3	13	6.54e-6	0	80	32	20	3.27e-5	1.308e-5	8.175e-6	362	1.42e-4
Seychelles	11	0	0	11	1.1368e-4	0	55	22	13.75	5.684e-4	2.2736e-4	1.421e-4	NA	NA
Angola	16	2	2	12	5.2e-7	6e-8	666.666666667	307.692307692	200	2e-5	9.23076923077e-6	6e-6	NA	NA
Chad	9	0	0	9	5.8e-7	0	45	18	11.25	2.9e-6	1.16e-6	7.25e-7	NA	NA
Ethiopia	44	2	4	38	4e-7	2e-8	666.666666667	307.692307692	200	6.66666666667e-6	3.07692307692e-6	2e-6	1843	1.6e-5
Egypt	1322	85	259	978	1.343e-5	8.6e-7	28333.3333333	13076.9230769	8500	2.86666666667e-4	1.32307692308e-4	8.6e-5	25000	2.44e-4
Equatorial Guinea	16	0	3	13	1.222e-5	0	80	32	20	6.11e-5	2.444e-5	1.5275e-5	854	6.09e-4
South Africa	1686	12	95	1579	2.918e-5	2.1e-7	4000	1846.15384615	1200	7e-5	3.23076923077e-5	2.1e-5	58098	9.8e-4
Tunisia	596	22	5	569	5.153e-5	1.9e-6	7333.33333333	3384.61538462	2200	6.33333333333e-4	2.92307692308e-4	1.9e-4	7725	6.54e-4
Djibouti	90	0	9	81	9.386e-5	0	450	180	112.5	4.693e-4	1.8772e-4	1.17325e-4	NA	NA
Mozambique	10	0	1	9	3.4e-7	0	50	20	12.5	1.7e-6	6.8e-7	4.25e-7	363	1.2e-5
Uganda	52	0	0	52	1.22e-6	0	260	104	65	6.1e-6	2.44e-6	1.525e-6	3160	6.9e-5
Burundi	3	0	0	3	2.7e-7	0	15	6	3.75	1.35e-6	5.4e-7	3.375e-7	NA	NA
Kenya	158	6	4	148	3.07e-6	1.2e-7	2000	923.076923077	600	4e-5	1.84615384615e-5	1.2e-5	4277	8e-5
Niger	253	10	26	217	1.127e-5	4.5e-7	3333.33333333	1538.46153846	1000	1.5e-4	6.92307692308e-5	4.5e-5	4081	1.69e-4
Botswana	6	1	0	5	2.66e-6	4.4e-7	333.333333333	153.846153846	100	1.46666666667e-4	6.76923076923e-5	4.4e-5	966	4.11e-4
