"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
8899,41,"CAN","Canada",5,"Newfoundland and Labrador",92,"Division No. 5","","","Census Division","Census Division"
8900,41,"CAN","Canada",5,"Newfoundland and Labrador",93,"Division No. 6","","","Census Division","Census Division"
8901,41,"CAN","Canada",5,"Newfoundland and Labrador",94,"Division No. 7","","","Census Division","Census Division"
8902,41,"CAN","Canada",5,"Newfoundland and Labrador",95,"Division No. 8","","","Census Division","Census Division"
8903,41,"CAN","Canada",5,"Newfoundland and Labrador",96,"Division No. 9","","","Census Division","Census Division"
8904,41,"CAN","Canada",6,"Northwest Territories",97,"Fort Smith","","","Region","Region"
8905,41,"CAN","Canada",6,"Northwest Territories",98,"Inuvik","","","Region","Region"
8906,41,"CAN","Canada",7,"Nova Scotia",99,"Annapolis","","","County","County"
8907,41,"CAN","Canada",7,"Nova Scotia",100,"Antigonish","","","County","County"
8908,41,"CAN","Canada",7,"Nova Scotia",101,"Cape Breton","","","County","County"
8909,41,"CAN","Canada",7,"Nova Scotia",102,"Colchester","","","County","County"
8910,41,"CAN","Canada",7,"Nova Scotia",103,"Cumberland","","","County","County"
8911,41,"CAN","Canada",7,"Nova Scotia",104,"Digby","","","County","County"
8912,41,"CAN","Canada",7,"Nova Scotia",105,"Guysborough","","","County","County"
8913,41,"CAN","Canada",7,"Nova Scotia",106,"Halifax","","","County","County"
8914,41,"CAN","Canada",7,"Nova Scotia",107,"Hants","","","County","County"
8915,41,"CAN","Canada",7,"Nova Scotia",108,"Inverness","","","County","County"
8916,41,"CAN","Canada",7,"Nova Scotia",109,"Kings","","","County","County"
8917,41,"CAN","Canada",7,"Nova Scotia",110,"Lunenburg","","","County","County"
8918,41,"CAN","Canada",7,"Nova Scotia",111,"Pictou","","","County","County"
8919,41,"CAN","Canada",7,"Nova Scotia",112,"Queens","","","County","County"
8920,41,"CAN","Canada",7,"Nova Scotia",113,"Richmond","","","County","County"
8921,41,"CAN","Canada",7,"Nova Scotia",114,"Shelburne","","","County","County"
8922,41,"CAN","Canada",7,"Nova Scotia",115,"Victoria","","","County","County"
11336,41,"CAN","Canada",1,"Alberta",1,"Division No. 1","","","Census Division","Census Division"
11337,41,"CAN","Canada",1,"Alberta",2,"Division No. 10","","","Census Division","Census Division"
11338,41,"CAN","Canada",1,"Alberta",3,"Division No. 11","","","Census Division","Census Division"
11339,41,"CAN","Canada",1,"Alberta",4,"Division No. 12","","","Census Division","Census Division"
11340,41,"CAN","Canada",1,"Alberta",5,"Division No. 13","","","Census Division","Census Division"
11341,41,"CAN","Canada",1,"Alberta",6,"Division No. 14","","","Census Division","Census Division"
11342,41,"CAN","Canada",1,"Alberta",7,"Division No. 15","","","Census Division","Census Division"
11343,41,"CAN","Canada",1,"Alberta",8,"Division No. 16","","","Census Division","Census Division"
11344,41,"CAN","Canada",1,"Alberta",9,"Division No. 17","","","Census Division","Census Division"
11345,41,"CAN","Canada",1,"Alberta",10,"Division No. 18","","","Census Division","Census Division"
11346,41,"CAN","Canada",1,"Alberta",11,"Division No. 19","","","Census Division","Census Division"
11347,41,"CAN","Canada",1,"Alberta",12,"Division No. 2","","","Census Division","Census Division"
11348,41,"CAN","Canada",1,"Alberta",13,"Division No. 3","","","Census Division","Census Division"
11349,41,"CAN","Canada",1,"Alberta",14,"Division No. 4","","","Census Division","Census Division"
11350,41,"CAN","Canada",1,"Alberta",15,"Division No. 5","","","Census Division","Census Division"
