Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Mississippi	249	1	0	0	8.367e-05	3.4e-07	333.333333333	153.846153846	100	0.000113333333333	5.23076923077e-05	3.4e-05	42	0	-37.3	0	NA	NA
Northern Mariana Islands	0	0	0	0	N/A	N/A	0	0	0	N/A	N/A	N/A	0	0	100	0	NA	NA
Wuhan Evacuee	4	0	0	0	N/A	N/A	20	8	5	N/A	N/A	N/A	0	0	100	0	NA	NA
Oklahoma	81	2	0	0	2.047e-05	5.1e-07	666.666666667	307.692307692	200	0.00017	7.84615384615e-05	5.1e-05	14	0	0	0	NA	NA
Wyoming	26	0	0	0	4.492e-05	0.0	130	52	32.5	0.0002246	8.984e-05	5.615e-05	0	0	-100	0	NA	NA
Minnesota	234	1	0	0	4.149e-05	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	67	0	131	0	NA	NA
Illinois	1285	12	0	0	0.00010141	9.5e-07	4000	1846.15384615	1200	0.000316666666667	0.000146153846154	9.5e-05	236	3	-20.3	0	NA	NA
Diamond Princess	49	0	0	0	N/A	N/A	245	98	61.25	N/A	N/A	N/A	0	0	100	0	NA	NA
Arkansas	192	0	0	0	6.362e-05	0.0	960	384	240	0.0003181	0.00012724	7.9525e-05	27	0	-37.2	0	NA	NA
New Mexico	83	0	0	0	3.958e-05	0.0	415	166	103.75	0.0001979	7.916e-05	4.9475e-05	26	0	85.7	0	NA	NA
Ohio	443	6	0	0	3.79e-05	5.1e-07	2000	923.076923077	600	0.00017	7.84615384615e-05	5.1e-05	87	3	-19.4	0	NA	NA
Indiana	270	7	0	0	4.011e-05	1.04e-06	2333.33333333	1076.92307692	700	0.000346666666667	0.00016	0.000104	66	1	-13.2	0	NA	NA
Maryland	290	3	0	0	4.797e-05	5e-07	1000	461.538461538	300	0.000166666666667	7.69230769231e-05	5e-05	46	0	-9.8	0	NA	NA
Louisiana	1172	35	0	0	0.00025211	7.53e-06	11666.6666667	5384.61538462	3500	0.00251	0.00115846153846	0.000753	335	15	32.9	0	NA	NA
Idaho	68	0	0	0	3.805e-05	0.0	340	136	85	0.00019025	7.61e-05	4.75625e-05	26	0	333.3	0	NA	NA
Arizona	235	2	0	0	3.229e-05	2.7e-07	666.666666667	307.692307692	200	9e-05	4.15384615385e-05	2.7e-05	83	0	144.1	0	NA	NA
Wisconsin	425	5	0	0	7.299e-05	8.6e-07	1666.66666667	769.230769231	500	0.000286666666667	0.000132307692308	8.6e-05	44	1	-55.6	0	NA	NA
Michigan	1329	15	0	0	0.00013307	1.5e-06	5000	2307.69230769	1500	0.0005	0.000230769230769	0.00015	294	6	19	0	NA	NA
