"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
35637,239,"GBR","United Kingdom",2,"Northern Ireland",118,"Banbridge","","","District","District"
35638,239,"GBR","United Kingdom",2,"Northern Ireland",119,"Belfast","","","District","District"
35639,239,"GBR","United Kingdom",2,"Northern Ireland",120,"Carrickfergus","","","District","District"
35640,239,"GBR","United Kingdom",2,"Northern Ireland",121,"Castlereagh","","","District","District"
35641,239,"GBR","United Kingdom",2,"Northern Ireland",122,"Coleraine","","","District","District"
35642,239,"GBR","United Kingdom",2,"Northern Ireland",123,"Cookstown","","","District","District"
35643,239,"GBR","United Kingdom",2,"Northern Ireland",124,"Craigavon","","","District","District"
35644,239,"GBR","United Kingdom",2,"Northern Ireland",125,"Derry","","Londonderry","District","London Borough (city)"
35645,239,"GBR","United Kingdom",2,"Northern Ireland",126,"Down","","","District","District"
35646,239,"GBR","United Kingdom",2,"Northern Ireland",127,"Dungannon","","","District","District"
35647,239,"GBR","United Kingdom",2,"Northern Ireland",128,"Fermanagh","","","District","District"
35648,239,"GBR","United Kingdom",2,"Northern Ireland",129,"Larne","","","District","District"
35649,239,"GBR","United Kingdom",2,"Northern Ireland",130,"Limavady","","","District","District"
35650,239,"GBR","United Kingdom",2,"Northern Ireland",131,"Lisburn","","","District","District"
35651,239,"GBR","United Kingdom",2,"Northern Ireland",132,"Magherafelt","","","District","District"
35652,239,"GBR","United Kingdom",2,"Northern Ireland",133,"Moyle","","","District","District"
35653,239,"GBR","United Kingdom",2,"Northern Ireland",134,"Newry and Mourne","","Mourne","District","District"
35654,239,"GBR","United Kingdom",2,"Northern Ireland",135,"Newtownabbey","","","District","District"
35655,239,"GBR","United Kingdom",2,"Northern Ireland",136,"North Down","","","District","District"
35656,239,"GBR","United Kingdom",2,"Northern Ireland",137,"Omagh","","","District","District"
35657,239,"GBR","United Kingdom",2,"Northern Ireland",138,"Strabane","","","District","District"
37412,239,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","","","London Borough","London Borough"
37413,239,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","","","Unitary Authority","Unitary Authority"
37414,239,"GBR","United Kingdom",1,"England",3,"Bedfordshire","","","Administrative County","Administrative County"
37415,239,"GBR","United Kingdom",1,"England",4,"Berkshire","","","County","County"
37416,239,"GBR","United Kingdom",1,"England",5,"Bexley","","","London Borough","London Borough"
37417,239,"GBR","United Kingdom",1,"England",6,"Blackburn with Darwen","","Blackburn, Blackburn and Darwen","Unitary Authority","Unitary Authority"
37418,239,"GBR","United Kingdom",1,"England",7,"Bournemouth","","","Unitary Authority","Unitary Authority"
37419,239,"GBR","United Kingdom",1,"England",8,"Brent","","","London Borough","London Borough"
37420,239,"GBR","United Kingdom",1,"England",9,"Brighton and Hove","","","Unitary Authority","Unitary Authority"
37421,239,"GBR","United Kingdom",1,"England",10,"Bristol","","","Unitary Authority (city)","Unitary Authority (city)"
37422,239,"GBR","United Kingdom",1,"England",11,"Bromley","","","London Borough","London Borough"
37423,239,"GBR","United Kingdom",1,"England",12,"Buckinghamshire","","","Administrative County","Administrative County"
37424,239,"GBR","United Kingdom",1,"England",13,"Cambridgeshire","","","Administrative County","Administrative County"
37425,239,"GBR","United Kingdom",1,"England",14,"Camden","","","London Borough","London Borough"
37426,239,"GBR","United Kingdom",1,"England",15,"Cheshire","","","Administrative County","Administrative County"
37427,239,"GBR","United Kingdom",1,"England",16,"Cornwall","","Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly","Administrative County","Administrative County"
37428,239,"GBR","United Kingdom",1,"England",17,"Croydon","","","London Borough","London Borough"
37429,239,"GBR","United Kingdom",1,"England",18,"Cumbria","","","Administrative County","Administrative County"
37430,239,"GBR","United Kingdom",1,"England",19,"Darlington","","","Unitary Authority","Unitary Authority"
37431,239,"GBR","United Kingdom",1,"England",20,"Derby","","","Unitary Authority (city)","Unitary Authority (city)"
37432,239,"GBR","United Kingdom",1,"England",21,"Derbyshire","","","Administrative County","Administrative County"
37433,239,"GBR","United Kingdom",1,"England",22,"Devon","","","Administrative County","Administrative County"
37434,239,"GBR","United Kingdom",1,"England",23,"Dorset","","","Administrative County","Administrative County"
37435,239,"GBR","United Kingdom",1,"England",24,"Durham","","County Durham","Administrative County","Administrative County"
37436,239,"GBR","United Kingdom",1,"England",25,"Ealing","","","London Borough","London Borough"
37437,239,"GBR","United Kingdom",1,"England",26,"East Riding of Yorkshire","","East Riding, East Yorkshire","Unitary Authority","Unitary Authority"
37438,239,"GBR","United Kingdom",1,"England",27,"East Sussex","","","Administrative County","Administrative County"
37439,239,"GBR","United Kingdom",1,"England",28,"Enfield","","","London Borough","London Borough"
37440,239,"GBR","United Kingdom",1,"England",29,"Essex","","","Administrative County","Administrative County"
37441,239,"GBR","United Kingdom",1,"England",30,"Gloucestershire","","","Administrative County","Administrative County"
37442,239,"GBR","United Kingdom",1,"England",31,"Greenwich","","","London Borough","London Borough"
37443,239,"GBR","United Kingdom",1,"England",32,"Hackney","","","London Borough","London Borough"
37444,239,"GBR","United Kingdom",1,"England",33,"Halton","","","Unitary Authority","Unitary Authority"
37445,239,"GBR","United Kingdom",1,"England",34,"Hammersmith and Fulham","","","London Borough","London Borough"
