Name	Predicted_New_Cases	Total_Predicted_New_Cases
Davis	3.113	389.851
Washington	11.272	415.389
Cache	42.813	2023.081
Uintah	0.0	0.0
Carbon	0.0	0.0
Utah	36.27	2623.013
San Juan	0.0	0.0
Summit	0.034	143.316
Grand	0.0	0.0
Wasatch	0.529	82.407
Beaver	0.0	0.0
Unassigned	0.0	-2.0
Box Elder	0.0	0.0
Tooele	0.396	58.87
Iron	0.094	18.638
Emery	0.0	0.0
Salt Lake	18.351	2387.956
Duchesne	0.0	0.0
Washington County	18.401	593.805
Kane	0.0	0.0
Garfield	0.0	0.0
Out of UT	14.271	674.361
