Province or territory	2006	2007	2008	2009	2010
Newfoundland and Labrador	382.4	394.3	398.5	408.8	407.5
Prince Edward Island	429.2	470.6	432.8	420.5	404.4
Nova Scotia	471.4	455.7	430.6	415.8	423.3
New Brunswick	446.8	445.8	444.4	429	406
Quebec	416.2	416.6	422.3	420.1	407.4
Ontario	406.7	409.5	391.6	394.9	394.4
Manitoba	396.3	406.8	407	412.2	399.6
Saskatchewan	388.4	405.2	400.8	394.6	372.6
Alberta	398.7	394.4	393.9	390.1	373.6
British Columbia	371	385.8	373.7	378.7	354.6
Yukon	311.2	365	286.5	369.3	319.8
Northwest Territories	350	468.4	377.8	436.9	356.9
Nunavut	537.2	420.4	346.9	403	334.9
