Name	Confirmed	Deaths	Recovered	Active
Red Lake	0	0	0	0
Goodhue	2	0	0	0
Olmsted	34	0	0	0
Pine	0	0	0	0
Mower	10	0	0	0
Nicollet	3	0	0	0
Dodge	5	0	0	0
Brown	0	0	0	0
Pennington	0	0	0	0
Mahnomen	1	0	0	0
Freeborn	0	0	0	0
Kittson	0	0	0	0
Renville	1	0	0	0
Chippewa	0	0	0	0
Washington	22	0	0	0
Itasca	0	0	0	0
Dakota	28	0	0	0
Polk	0	0	0	0
Kandiyohi	1	0	0	0
Jackson	1	0	0	0
Waseca	3	0	0	0
Grant	0	0	0	0
Wright	5	0	0	0
Wilkin	1	0	0	0
Rice	2	0	0	0
Morrison	0	0	0	0
Redwood	0	0	0	0
Cook	0	0	0	0
Swift	0	0	0	0
Mille Lacs	0	0	0	0
Hennepin	141	0	0	0
Rock	0	0	0	0
Meeker	0	0	0	0
Traverse	0	0	0	0
Carver	8	0	0	0
Todd	0	0	0	0
Clay	4	0	0	0
Le Sueur	10	0	0	0
Lyon	0	0	0	0
Chisago	2	0	0	0
Otter Tail	0	0	0	0
Clearwater	0	0	0	0
Norman	0	0	0	0
Koochiching	0	0	0	0
Winona	4	0	0	0
Ramsey	34	2	0	0
Big Stone	1	0	0	0
Kanabec	0	0	0	0
Lincoln	1	0	0	0
Saint Louis	5	0	0	0
Sherburne	3	0	0	0
Roseau	0	0	0	0
McLeod	0	0	0	0
Fillmore	3	0	0	0
Pope	0	0	0	0
Marshall	0	0	0	0
Crow Wing	0	0	0	0
Steele	5	0	0	0
Murray	0	0	0	0
Unassigned	0	2	0	0
Hubbard	0	0	0	0
Lake	0	0	0	0
Douglas	0	0	0	0
Nobles	0	0	0	0
Watonwan	0	0	0	0
Lac qui Parle	0	0	0	0
Wadena	0	0	0	0
Faribault	1	0	0	0
Lake of the Woods	0	0	0	0
Yellow Medicine	0	0	0	0
Cottonwood	0	0	0	0
Wabasha	4	0	0	0
Isanti	0	0	0	0
Stearns	5	0	0	0
Aitkin	0	0	0	0
Benton	1	0	0	0
Cass	1	0	0	0
Martin	18	0	0	0
Becker	0	0	0	0
Anoka	10	0	0	0
Beltrami	1	0	0	0
Houston	0	0	0	0
Stevens	0	0	0	0
Carlton	0	0	0	0
Scott	7	0	0	0
Blue Earth	7	0	0	0
Pipestone	0	0	0	0
Sibley	1	0	0	0
