Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Sherburne	787.0	11.0	0.0	776.0	0.00819484	0.00011454	3666.66666667	1692.30769231	1100.0	0.03818	0.0176215384615	0.011454
Roseau	57.0	0.0	0.0	57.0	0.00376238	0.0	285.0	114.0	71.25	0.0188119	0.00752476	0.004702975
McLeod	278.0	0.0	0.0	278.0	0.00774956	0.0	1390.0	556.0	347.5	0.0387478	0.01549912	0.00968695
Fillmore	77.0	0.0	0.0	77.0	0.00365657	0.0	385.0	154.0	96.25	0.01828285	0.00731314	0.0045707125
Pope	49.0	0.0	0.0	49.0	0.00441561	0.0	245.0	98.0	61.25	0.02207805	0.00883122	0.0055195125
Marshall	30.0	0.0	0.0	30.0	0.00319489	0.0	150.0	60.0	37.5	0.01597445	0.00638978	0.0039936125
Crow Wing	272.0	14.0	0.0	258.0	0.00419177	0.00021575	4666.66666667	2153.84615385	1400.0	0.0719166666667	0.0331923076923	0.021575
Steele	371.0	2.0	0.0	369.0	0.0100807	5.434e-05	666.666666667	307.692307692	200.0	0.0181133333333	0.00836	0.005434
Murray	130.0	1.0	0.0	129.0	0.01570807	0.00012083	333.333333333	153.846153846	100.0	0.0402766666667	0.0185892307692	0.012083
Unassigned	148.0	46.0	0.0	108.0	N/A	N/A	15333.3333333	7076.92307692	4600.0	N/A	N/A	N/A
Hubbard	37.0	0.0	0.0	37.0	0.00173448	0.0	185.0	74.0	46.25	0.0086724	0.00346896	0.0021681
Lake	25.0	0.0	0.0	25.0	0.00234566	0.0	125.0	50.0	31.25	0.0117283	0.00469132	0.002932075
Douglas	147.0	1.0	0.0	146.0	0.00387209	2.634e-05	333.333333333	153.846153846	100.0	0.00878	0.00405230769231	0.002634
Nobles	1801.0	11.0	0.0	1790.0	0.08214742	0.00050173	3666.66666667	1692.30769231	1100.0	0.167243333333	0.0771892307692	0.050173
Watonwan	394.0	3.0	0.0	391.0	0.03588342	0.00027322	1000.0	461.538461538	300.0	0.0910733333333	0.0420338461538	0.027322
Lac qui Parle	10.0	0.0	0.0	10.0	0.00150195	0.0	50.0	20.0	12.5	0.00750975	0.0030039	0.0018774375
Wadena	30.0	0.0	0.0	30.0	0.00217817	0.0	150.0	60.0	37.5	0.01089085	0.00435634	0.0027227125
Faribault	96.0	0.0	0.0	96.0	0.00697776	0.0	480.0	192.0	120.0	0.0348888	0.01395552	0.0087222
Lake of the Woods	7.0	0.0	0.0	7.0	0.00186269	0.0	35.0	14.0	8.75	0.00931345	0.00372538	0.0023283625
Yellow Medicine	56.0	0.0	0.0	56.0	0.0057172	0.0	280.0	112.0	70.0	0.028586	0.0114344	0.0071465
Cottonwood	188.0	0.0	0.0	188.0	0.0166711	0.0	940.0	376.0	235.0	0.0833555	0.0333422	0.020838875
Wabasha	101.0	0.0	0.0	101.0	0.0046662	0.0	505.0	202.0	126.25	0.023331	0.0093324	0.00583275
Isanti	148.0	0.0	0.0	148.0	0.00370315	0.0	740.0	296.0	185.0	0.01851575	0.0074063	0.0046289375
Stearns	2973.0	21.0	0.0	2952.0	0.01866806	0.00013186	7000.0	3230.76923077	2100.0	0.0439533333333	0.0202861538462	0.013186
Aitkin	44.0	1.0	0.0	43.0	0.00276695	6.289e-05	333.333333333	153.846153846	100.0	0.0209633333333	0.00967538461538	0.006289
Benton	338.0	3.0	0.0	335.0	0.00833642	7.399e-05	1000.0	461.538461538	300.0	0.0246633333333	0.0113830769231	0.007399
Cass	83.0	3.0	0.0	80.0	0.00281175	0.00010163	1000.0	461.538461538	300.0	0.0338766666667	0.0156353846154	0.010163
Martin	212.0	6.0	0.0	206.0	0.01071519	0.00030326	2000.0	923.076923077	600.0	0.101086666667	0.0466553846154	0.030326
Becker	167.0	1.0	0.0	166.0	0.00485875	2.909e-05	333.333333333	153.846153846	100.0	0.00969666666667	0.00447538461538	0.002909
Anoka	4096.0	116.0	0.0	3980.0	0.01157674	0.00032786	38666.6666667	17846.1538462	11600.0	0.109286666667	0.05044	0.032786
Beltrami	279.0	1.0	0.0	278.0	0.00595556	2.135e-05	333.333333333	153.846153846	100.0	0.00711666666667	0.00328461538462	0.002135
Houston	60.0	0.0	0.0	60.0	0.00322963	0.0	300.0	120.0	75.0	0.01614815	0.00645926	0.0040370375
Stevens	22.0	0.0	0.0	22.0	0.00225572	0.0	110.0	44.0	27.5	0.0112786	0.00451144	0.00281965
Carlton	158.0	1.0	0.0	157.0	0.00440885	2.79e-05	333.333333333	153.846153846	100.0	0.0093	0.00429230769231	0.00279
Scott	1750.0	25.0	0.0	1725.0	0.01187399	0.00016963	8333.33333333	3846.15384615	2500.0	0.0565433333333	0.0260969230769	0.016963
Blue Earth	998.0	5.0	0.0	993.0	0.01480119	7.415e-05	1666.66666667	769.230769231	500.0	0.0247166666667	0.0114076923077	0.007415
Pipestone	165.0	9.0	0.0	156.0	0.01823809	0.0009948	3000.0	1384.61538462	900.0	0.3316	0.153046153846	0.09948
Sibley	93.0	2.0	0.0	91.0	0.00618845	0.00013308	666.666666667	307.692307692	200.0	0.04436	0.0204738461538	0.013308
