Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Prince Edward Island	0.0	0.13	0.0	8.4e-07
Newfoundland and Labrador	1.003	170.69	1.92e-06	0.00032587
New Brunswick	0.0	7.354	0.0	9.52e-06
Yukon	1.176	163.158	2.914e-05	0.00404167
Saskatchewan	0.522	139.438	4.5e-07	0.00011934
British Columbia	0.054	366.556	1e-08	7.301e-05
Manitoba	1.805	276.068	1.33e-06	0.00020293
Northwest Territories	0.061	10.064	1.36e-06	0.00022566
Ontario	49.817	7618.028	3.45e-06	0.00052733
Grand Princess	0.0	0.0	N/A	N/A
Diamond Princess	0.0	0.0	N/A	N/A
Nova Scotia	2.587	395.598	2.66e-06	0.00040725
Quebec	75.47	11852.578	8.95e-06	0.00140545
Alberta	9.971	1565.919	2.29e-06	0.00036033
