Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change
Jackson	11	0	0	0	0.0003832	0.0	55	22	13.75	0.001916	0.0007664	0.000479	0	0	-100	0
Mason	3	0	0	0	0.00011228	0.0	15	6	3.75	0.0005614	0.00022456	0.00014035	0	0	100	0
Roane	2	0	0	0	0.00014355	0.0	10	4	2.5	0.00071775	0.0002871	0.0001794375	0	0	100	0
Wirt	1	0	0	0	0.00017153	0.0	5	2	1.25	0.00085765	0.00034306	0.0002144125	0	0	100	0
Jefferson	12	0	0	0	0.00021123	0.0	60	24	15	0.00105615	0.00042246	0.0002640375	3	0	200	0
Putnam	5	0	0	0	8.821e-05	0.0	25	10	6.25	0.00044105	0.00017642	0.0001102625	0	0	-100	0
Greenbrier	3	0	0	0	8.624e-05	0.0	15	6	3.75	0.0004312	0.00017248	0.0001078	0	0	100	0
Wood	3	0	0	0	3.563e-05	0.0	15	6	3.75	0.00017815	7.126e-05	4.45375e-05	1	0	100	0
Tucker	3	0	0	0	0.00043134	0.0	15	6	3.75	0.0021567	0.00086268	0.000539175	1	0	100	0
Barbour	1	0	0	0	6.048e-05	0.0	5	2	1.25	0.0003024	0.00012096	7.56e-05	0	0	100	0
Berkeley	27	0	0	0	0.00023053	0.0	135	54	33.75	0.00115265	0.00046106	0.0002881625	6	0	20	0
Wetzel	2	0	0	0	0.00013098	0.0	10	4	2.5	0.0006549	0.00026196	0.000163725	0	0	-100	0
Hancock	5	0	0	0	0.00017186	0.0	25	10	6.25	0.0008593	0.00034372	0.000214825	-1	0	-133.3	0
Pleasants	1	0	0	0	0.00013321	0.0	5	2	1.25	0.00066605	0.00026642	0.0001665125	0	0	100	0
Raleigh	3	0	0	0	4.04e-05	0.0	15	6	3.75	0.000202	8.08e-05	5.05e-05	0	0	100	0
Morgan	1	0	0	0	5.622e-05	0.0	5	2	1.25	0.0002811	0.00011244	7.0275e-05	0	0	100	0
Ohio	10	0	0	0	0.00023949	0.0	50	20	12.5	0.00119745	0.00047898	0.0002993625	-1	0	-200	0
Monongalia	35	0	0	0	0.00032889	0.0	175	70	43.75	0.00164445	0.00065778	0.0004111125	3	0	200	0
Upshur	1	0	0	0	4.096e-05	0.0	5	2	1.25	0.0002048	8.192e-05	5.12e-05	0	0	100	0
Randolph	2	0	0	0	6.939e-05	0.0	10	4	2.5	0.00034695	0.00013878	8.67375e-05	1	0	100	0
Marshall	4	0	0	0	0.00012993	0.0	20	8	5	0.00064965	0.00025986	0.0001624125	0	0	100	0
Cabell	3	0	0	0	3.218e-05	0.0	15	6	3.75	0.0001609	6.436e-05	4.0225e-05	2	0	100	0
Hardy	2	0	0	0	0.00014519	0.0	10	4	2.5	0.00072595	0.00029038	0.0001814875	1	0	100	0
Logan	4	0	0	0	0.00012267	0.0	20	8	5	0.00061335	0.00024534	0.0001533375	1	0	0	0
Unassigned	0	1	0	0	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	NA	NA	100	0
Marion	10	1	0	0	0.00017826	1.783e-05	333.333333333	153.846153846	100	0.00594333333333	0.00274307692308	0.001783	2	0	-33.3	0
Harrison	17	0	0	0	0.00025165	0.0	85	34	21.25	0.00125825	0.0005033	0.0003145625	3	0	0	0
Kanawha	39	0	0	0	0.00021612	0.0	195	78	48.75	0.0010806	0.00043224	0.00027015	2	0	-66.7	0
Mercer	3	0	0	0	5.073e-05	0.0	15	6	3.75	0.00025365	0.00010146	6.34125e-05	1	0	100	0
Preston	3	0	0	0	8.866e-05	0.0	15	6	3.75	0.0004433	0.00017732	0.000110825	0	0	100	0
