Province or territory	Total_Confirmed	Total_Recovered	Total_Deaths	Daily_Confirmed	Daily_Recovered	Daily_Deaths
Harju	108			4		
Hiiu	2			1		
Ida-Viru	6			1		
Jarva	1			0		
Jogeva	1			0		
Laane	2			2		
Laane-Viru	1			0		
Parnu	22			0		
Polva	3			0		
Rapla	2			0		
Saare	77			6		
Tartu	15			1		
Voru	30			1		
Valga	1			0		
Viljandi	2			0		
other	10			0		
