Province or territory	Total_Confirmed	Total_Recovered	Total_Deaths	Daily_Confirmed	Daily_Recovered	Daily_Deaths
Harju	220			16		
Hiiu	6			4		
Ida-Viru	14			0		
Jogeva	3			1		
Jarva	2			1		
Laane	2			0		
Laane-Viru	6			4		
Polva	4			0		
Parnu	40			4		
Rapla	8			6		
Saare	217			33		
Tartu	44			0		
Valga	3			0		
Viljandi	6			1		
Voru	62			1		
other	3			0		
