Province or territory	Total_Confirmed	Total_Recovered	Total_Deaths	Daily_Confirmed	Daily_Recovered	Daily_Deaths
Harju	128			5		
Hiiu	2			0		
Ida-Viru	6			0		
Jarva	1			0		
Jogeva	1			0		
Laane	2			0		
Laane-Viru	1			0		
Parnu	22			0		
Polva	3			0		
Rapla	2			0		
Saare	110			16		
Tartu	22			1		
Voru	38			4		
Valga	1			0		
Viljandi	2			0		
other	11			0		
