Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
East Timor	10927.397	0.00861801	844160.942	0.66575677	65.564	5.171e-05	5064.966	0.00399454
Cambodia	51308.104	0.00315746	12419829.477	0.7643067	307.849	1.894e-05	74518.977	0.00458584
Sri Lanka	68422.18	0.00315746	16562526.179	0.7643067	410.533	1.894e-05	99375.157	0.00458584
Bahrain	9152.994	0.00583202	1134645.596	0.72296253	54.918	3.499e-05	6807.874	0.00433778
Saudi Arabia	221575.407	0.00657495	23958203.401	0.71092704	1329.452	3.945e-05	143749.22	0.00426556
Japan	376010.071	0.00297173	97083048.886	0.76727843	2256.06	1.783e-05	582498.293	0.00460367
Jordan	65460.257	0.00657495	7077997.381	0.71092704	392.762	3.945e-05	42467.984	0.00426556
Oman	28165.623	0.00583202	3491535.265	0.72296253	168.994	3.499e-05	20949.212	0.00433778
Yemen	344054.533	0.01207265	16969208.456	0.59543825	2064.327	7.244e-05	101815.251	0.00357263
Pakistan	1237641.5	0.00583202	153423515.733	0.72296253	7425.849	3.499e-05	920541.094	0.00433778
United Arab Emirates	32198.165	0.00334319	7330597.109	0.76114924	193.189	2.006e-05	43983.583	0.0045669
India	4522062.161	0.00334319	1029543649.192	0.76114924	27132.373	2.006e-05	6177261.895	0.0045669
South Korea	153445.937	0.00297173	39618618.029	0.76727843	920.676	1.783e-05	237711.708	0.00460367
Afghanistan	216789.959	0.00583202	26874242.358	0.72296253	1300.74	3.499e-05	161245.454	0.00433778
Mongolia	24376.827	0.00768935	2187721.84	0.69008779	146.261	4.614e-05	13126.331	0.00414053
Laos	64003.878	0.00906377	4640389.939	0.65713876	384.023	5.438e-05	27842.34	0.00394283
Singapore	16756.611	0.00297173	4326434.455	0.76727843	100.54	1.783e-05	25958.607	0.00460367
China	3104111.07	0.0022288	1082580184.199	0.77730801	18624.666	1.337e-05	6495481.105	0.00466385
Indonesia	1759873.23	0.00657495	190289172.228	0.71092704	10559.239	3.945e-05	1141735.033	0.00426556
Vietnam	283920.069	0.00297173	73306084.042	0.76727843	1703.52	1.783e-05	439836.504	0.00460367
Qatar	17256.084	0.00620348	1994825.466	0.71713052	103.537	3.722e-05	11968.953	0.00430278
Malaysia	99838.917	0.00315746	24167377.839	0.7643067	599.034	1.894e-05	145004.267	0.00458584
Maldives	3773.802	0.00731788	359649.316	0.69740567	22.643	4.391e-05	2157.896	0.00418443
Bangladesh	1180784.17	0.00731788	112530616.898	0.69740567	7084.705	4.391e-05	675183.701	0.00418443
Brunei	3139.093	0.00731788	299160.532	0.69740567	18.835	4.391e-05	1794.963	0.00418443
Iran	416288.459	0.00508908	60001492.653	0.73351217	2497.731	3.053e-05	360008.956	0.00440107
Thailand	206322.69	0.00297173	53271008.721	0.76727843	1237.936	1.783e-05	319626.052	0.00460367
Iraq	224145.379	0.00583202	27786052.827	0.72296253	1344.872	3.499e-05	166716.317	0.00433778
Lebanon	37398.899	0.00546055	4988915.069	0.72842308	224.393	3.276e-05	29933.49	0.00437054
Uzbekistan	266871.473	0.00809796	22488713.749	0.68239845	1601.229	4.859e-05	134932.282	0.00409439
Taiwan	70667.692	0.00297173	18245881.007	0.76727843	424.006	1.783e-05	109475.286	0.00460367
Bhutan	5240.333	0.00694641	531358.988	0.70435209	31.442	4.168e-05	3188.154	0.00422611
Nepal	88686.358	0.00315746	21467747.981	0.7643067	532.118	1.894e-05	128806.488	0.00458584
Kuwait	24128.853	0.00583202	2991119.396	0.72296253	144.773	3.499e-05	17946.716	0.00433778
Kazakhstan	148002.337	0.00809796	12471854.517	0.68239845	888.014	4.859e-05	74831.127	0.00409439
Philippines	356558.068	0.00334319	81178029.215	0.76114924	2139.348	2.006e-05	487068.175	0.0045669
Kyrgyzstan	53960.414	0.00854372	4258747.017	0.67430049	323.762	5.126e-05	25552.482	0.0040458
Syria	153234.668	0.00906377	11109773.812	0.65713876	919.408	5.438e-05	66658.643	0.00394283
Myanmar	510741.575	0.00950953	34807067.417	0.64807499	3064.449	5.706e-05	208842.405	0.00388845
