Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.724	4e-08	1.477	9e-08
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.966	4e-08	1.97	9e-08
Japan	1410.038	1.114e-05	3327.283	2.63e-05	8.46	7e-08	19.964	1.6e-07
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.215	2e-08	0.446	5e-08
India	5024.514	3.71e-06	10446.65	7.72e-06	30.147	2e-08	62.68	5e-08
South Korea	575.422	1.114e-05	1357.831	2.63e-05	3.453	7e-08	8.147	1.6e-07
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.377	7e-08	0.89	1.6e-07
China	103470.369	7.429e-05	300473.485	0.00021574	620.822	4.5e-07	1802.841	1.29e-06
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	6.388	7e-08	15.074	1.6e-07
Malaysia	234.915	7.43e-06	479.125	1.515e-05	1.409	4e-08	2.875	9e-08
Thailand	773.71	1.114e-05	1825.733	2.63e-05	4.642	7e-08	10.954	1.6e-07
Taiwan	265.004	1.114e-05	625.333	2.63e-05	1.59	7e-08	3.752	1.6e-07
Nepal	208.674	7.43e-06	425.604	1.515e-05	1.252	4e-08	2.554	9e-08
Philippines	396.176	3.71e-06	823.703	7.72e-06	2.377	2e-08	4.942	5e-08
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.724	4e-08	1.47736072	9e-08
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.966	4e-08	1.97014183	9e-08
Japan	1410.038	1.114e-05	3327.283	2.63e-05	8.46	7e-08	19.96370019	1.6e-07
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.215	2e-08	0.4462959	5e-08
India	5024.514	3.71e-06	10446.65	7.72e-06	30.147	2e-08	62.67990237	5e-08
South Korea	575.422	1.114e-05	1357.831	2.63e-05	3.453	7e-08	8.14698571	1.6e-07
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.377	7e-08	0.88966757	1.6e-07
China	103470.369	7.429e-05	300473.485	0.00021574	620.822	4.5e-07	1802.84091153	1.29e-06
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	6.388	7e-08	15.07431731	1.6e-07
Malaysia	234.915	7.43e-06	479.125	1.515e-05	1.409	4e-08	2.87475241	9e-08
Thailand	773.71	1.114e-05	1825.733	2.63e-05	4.642	7e-08	10.95439893	1.6e-07
Taiwan	265.004	1.114e-05	625.333	2.63e-05	1.59	7e-08	3.7519969	1.6e-07
Nepal	208.674	7.43e-06	425.604	1.515e-05	1.252	4e-08	2.55362665	9e-08
Philippines	396.176	3.71e-06	823.703	7.72e-06	2.377	2e-08	4.94221974	5e-08
Cambodia	1961756050.144	120.72494994	4001135541.225	246.2267864	0.0	0.0	0.0	0.0
Sri Lanka	3488726225.801	160.99336529	7115495575.831	328.35697166	0.0	0.0	0.0	0.0
Japan	178410809676.365	1410.03776741	420998169635.036	3327.28336513	0.0	0.0	0.0	0.0
United Arab Emirates	344554669.351	35.77573836	716376254.923	74.38265026	0.0	0.0	0.0	0.0
India	6796244041146.572	5024.51351203	14130320343366.752	10446.65039465	0.0	0.0	0.0	0.0
South Korea	29712075871.374	575.42226326	70111948825.279	1357.83095227	0.0	0.0	0.0	0.0
Singapore	354319135.43	62.83729291	836091197.351	148.2779286	0.0	0.0	0.0	0.0
China	144106287027146.0	103470.36900702	418478437118154.0	300473.48525425	620.822	4.5e-07	620.822	4.5e-07
Vietnam	101721883091.706	1064.7002568	240034371634.324	2512.38621773	0.0	0.0	0.0	0.0
Malaysia	7428015452.401	234.9150997	15149945185.689	479.12540119	0.0	0.0	0.0	0.0
Thailand	53717549347.879	773.71008705	126757958185.157	1825.73315523	0.0	0.0	0.0	0.0
Taiwan	6301791453.761	265.00384583	14870414367.088	625.33281611	0.0	0.0	0.0	0.0
Nepal	5861202296.001	208.67378293	11954322668.775	425.60444217	0.0	0.0	0.0	0.0
Philippines	42252892476.111	396.17563082	87849539025.758	823.7032899	0.0	0.0	0.0	0.0
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.0	0.0	0.0	0.0
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.0	0.0	0.0	0.0
Japan	1410.038	1.114e-05	3327.283	2.63e-05	0.0	0.0	0.0	0.0
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.0	0.0	0.0	0.0
India	5024.514	3.71e-06	10446.65	7.72e-06	0.0	0.0	0.0	0.0
South Korea	575.422	1.114e-05	1357.831	2.63e-05	0.0	0.0	0.0	0.0
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.0	0.0	0.0	0.0
China	103470.369	7.429e-05	300473.485	0.00021574	620.822	4.5e-07	620.822	4.5e-07
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
Malaysia	234.915	7.43e-06	479.125	1.515e-05	0.0	0.0	0.0	0.0
Thailand	773.71	1.114e-05	1825.733	2.63e-05	0.0	0.0	0.0	0.0
Taiwan	265.004	1.114e-05	625.333	2.63e-05	0.0	0.0	0.0	0.0
Nepal	208.674	7.43e-06	425.604	1.515e-05	0.0	0.0	0.0	0.0
Philippines	396.176	3.71e-06	823.703	7.72e-06	0.0	0.0	0.0	0.0
Cambodia	33006.844	0.00203122	67319.714	0.0041428	0.0	0.0	0.0	0.0
Sri Lanka	58698.349	0.00270874	119719.294	0.00552466	0.0	0.0	0.0	0.0
Japan	3001788.988	0.0237241	7083358.188	0.05598205	0.0	0.0	0.0	0.0
United Arab Emirates	5797.185	0.00060193	12053.139	0.0012515	0.0	0.0	0.0	0.0
India	114347838.899	0.0845382	237744787.332	0.17576648	0.0	0.0	0.0	0.0
South Korea	499910.192	0.00968157	1179644.195	0.02284571	0.0	0.0	0.0	0.0
Singapore	5961.473	0.00105725	14067.361	0.0024948	0.0	0.0	0.0	0.0
China	2424610180.795	1.74090468	7040963305.708	5.05551206	52329.716	3.757e-05	52329.716	3.757e-05
Vietnam	1711486.143	0.01791374	4038614.784	0.04227128	0.0	0.0	0.0	0.0
Malaysia	124977.489	0.00395248	254900.13	0.00806136	0.0	0.0	0.0	0.0
Thailand	903805.932	0.01301779	2132721.911	0.03071824	0.0	0.0	0.0	0.0
Taiwan	106028.599	0.00445873	250196.982	0.01052132	0.0	0.0	0.0	0.0
Nepal	98615.619	0.00351097	201133.296	0.00716086	0.0	0.0	0.0	0.0
Philippines	710911.338	0.00666572	1478081.846	0.01385893	0.0	0.0	0.0	0.0
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.0	0.0	0.0	0.0
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.0	0.0	0.0	0.0
Japan	1410.038	1.114e-05	3327.283	2.63e-05	0.0	0.0	0.0	0.0
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.0	0.0	0.0	0.0
India	5024.514	3.71e-06	10446.65	7.72e-06	0.0	0.0	0.0	0.0
South Korea	575.422	1.114e-05	1357.831	2.63e-05	0.0	0.0	0.0	0.0
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.0	0.0	0.0	0.0
China	103470.369	7.429e-05	300473.485	0.00021574	2.233	0.0	2.233	0.0
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
Malaysia	234.915	7.43e-06	479.125	1.515e-05	0.0	0.0	0.0	0.0
Thailand	773.71	1.114e-05	1825.733	2.63e-05	0.0	0.0	0.0	0.0
Taiwan	265.004	1.114e-05	625.333	2.63e-05	0.0	0.0	0.0	0.0
Nepal	208.674	7.43e-06	425.604	1.515e-05	0.0	0.0	0.0	0.0
Philippines	396.176	3.71e-06	823.703	7.72e-06	0.0	0.0	0.0	0.0
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.0	0.0	0.0	0.0
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.0	0.0	0.0	0.0
Japan	1410.038	1.114e-05	3327.283	2.63e-05	0.0	0.0	0.0	0.0
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.0	0.0	0.0	0.0
India	5024.514	3.71e-06	10446.65	7.72e-06	0.0	0.0	0.0	0.0
South Korea	575.422	1.114e-05	1357.831	2.63e-05	0.0	0.0	0.0	0.0
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.0	0.0	0.0	0.0
China	103470.369	7.429e-05	300473.485	0.00021574	2.233	0.0	2.233	0.0
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
Malaysia	234.915	7.43e-06	479.125	1.515e-05	0.0	0.0	0.0	0.0
Thailand	773.71	1.114e-05	1825.733	2.63e-05	0.0	0.0	0.0	0.0
Taiwan	265.004	1.114e-05	625.333	2.63e-05	0.0	0.0	0.0	0.0
Nepal	208.674	7.43e-06	425.604	1.515e-05	0.0	0.0	0.0	0.0
Philippines	396.176	3.71e-06	823.703	7.72e-06	0.0	0.0	0.0	0.0
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.0	0.0	0.0	0.0
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.0	0.0	0.0	0.0
Japan	1410.038	1.114e-05	3327.283	2.63e-05	0.0	0.0	0.0	0.0
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.0	0.0	0.0	0.0
India	5024.514	3.71e-06	10446.65	7.72e-06	0.0	0.0	0.0	0.0
South Korea	575.422	1.114e-05	1357.831	2.63e-05	0.0	0.0	0.0	0.0
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.0	0.0	0.0	0.0
China	103470.369	7.429e-05	300473.485	0.00021574	2.233	0.0	2.233	0.0
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
Malaysia	234.915	7.43e-06	479.125	1.515e-05	0.0	0.0	0.0	0.0
Thailand	773.71	1.114e-05	1825.733	2.63e-05	0.0	0.0	0.0	0.0
Taiwan	265.004	1.114e-05	625.333	2.63e-05	0.0	0.0	0.0	0.0
Nepal	208.674	7.43e-06	425.604	1.515e-05	0.0	0.0	0.0	0.0
Philippines	396.176	3.71e-06	823.703	7.72e-06	0.0	0.0	0.0	0.0
Cambodia	120.725	7.43e-06	246.227	1.515e-05	0.0	0.0	0.0	0.0
Sri Lanka	160.993	7.43e-06	328.357	1.515e-05	0.0	0.0	0.0	0.0
Japan	1410.038	1.114e-05	3327.283	2.63e-05	0.0	0.0	0.0	0.0
United Arab Emirates	35.776	3.71e-06	74.383	7.72e-06	0.0	0.0	0.0	0.0
India	5024.514	3.71e-06	10446.65	7.72e-06	0.0	0.0	0.0	0.0
South Korea	575.422	1.114e-05	1357.831	2.63e-05	0.0	0.0	0.0	0.0
Singapore	62.837	1.114e-05	148.278	2.63e-05	0.0	0.0	0.0	0.0
China	103470.369	7.429e-05	300473.485	0.00021574	2.233	0.0	2.233	0.0
Vietnam	1064.7	1.114e-05	2512.386	2.63e-05	0.0	0.0	0.0	0.0
Malaysia	234.915	7.43e-06	479.125	1.515e-05	0.0	0.0	0.0	0.0
Thailand	773.71	1.114e-05	1825.733	2.63e-05	0.0	0.0	0.0	0.0
Taiwan	265.004	1.114e-05	625.333	2.63e-05	0.0	0.0	0.0	0.0
Nepal	208.674	7.43e-06	425.604	1.515e-05	0.0	0.0	0.0	0.0
Philippines	396.176	3.71e-06	823.703	7.72e-06	0.0	0.0	0.0	0.0
