Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Cambodia	4.343	2.7e-07	4.343	2.7e-07	0.026	0.0	0.026	0.0
Sri Lanka	5.791	2.7e-07	5.791	2.7e-07	0.035	0.0	0.035	0.0
Japan	67.628	5.3e-07	101.442	8e-07	0.406	0.0	0.609	0.0
South Korea	27.598	5.3e-07	41.397	8e-07	0.166	0.0	0.248	0.0
Singapore	3.014	5.3e-07	4.521	8e-07	0.018	0.0	0.027	0.0
China	10347.037	7.43e-06	21103.489	1.515e-05	62.082	4e-08	126.621	9e-08
Vietnam	51.065	5.3e-07	76.597	8e-07	0.306	0.0	0.46	0.0
Malaysia	8.45	2.7e-07	8.45	2.7e-07	0.051	0.0	0.051	0.0
Thailand	37.108	5.3e-07	55.663	8e-07	0.223	0.0	0.334	0.0
Taiwan	12.71	5.3e-07	19.065	8e-07	0.076	0.0	0.114	0.0
Nepal	7.506	2.7e-07	7.506	2.7e-07	0.045	0.0	0.045	0.0
