Date	Predicted Daily Cases	Predicted Total Cases	Predicted Daily Deaths	Predicted Total Deaths
2020-04-14	0.0	13.0	20.413	20.413
2020-04-15	0.0	13.0	20.675	41.088
2020-04-16	0.0	13.0	20.749	61.837
2020-04-17	0.0	13.0	20.71	82.547
2020-04-18	0.0	13.0	20.52	103.067
2020-04-19	0.0	13.0	20.253	123.32
2020-04-20	0.0	13.0	19.947	143.267
2020-04-21	0.0	13.0	19.563	162.83
2020-04-22	0.0	13.0	19.101	181.931
2020-04-23	0.0	13.0	18.603	200.534
2020-04-24	0.0	13.0	18.106	218.64
2020-04-25	0.0	13.0	17.613	236.253
2020-04-26	0.0	13.0	17.158	253.411
2020-04-27	0.0	13.0	16.742	270.153
2020-04-28	0.0	13.0	16.318	286.471
2020-04-29	0.0	13.0	15.855	302.326
2020-04-30	0.0	13.0	15.352	317.678
2020-05-01	0.0	13.0	14.811	332.489
2020-05-02	0.0	13.0	14.232	346.721
2020-05-03	0.0	13.0	13.653	360.374
2020-05-04	0.0	13.0	13.074	373.448
2020-05-05	0.0	13.0	12.501	385.949
2020-05-06	0.0	13.0	11.94	397.889
2020-05-07	0.0	13.0	11.395	409.284
2020-05-08	0.0	13.0	10.858	420.142
2020-05-09	0.0	13.0	10.334	430.476
2020-05-10	0.0	13.0	9.823	440.299
2020-05-11	0.0	13.0	9.331	449.63
2020-05-12	0.0	13.0	8.853	458.483
2020-05-13	0.0	13.0	8.397	466.88
2020-05-14	0.0	13.0	7.962	474.842
2020-05-15	0.0	13.0	7.548	482.39
2020-05-16	0.0	13.0	7.148	489.538
2020-05-17	0.0	13.0	6.763	496.301
2020-05-18	0.0	13.0	6.389	502.69
2020-05-19	0.0	13.0	6.023	508.713
2020-05-20	0.0	13.0	5.66	514.373
2020-05-21	0.0	13.0	5.296	519.669
2020-05-22	0.0	13.0	4.933	524.602
2020-05-23	0.0	13.0	4.575	529.177
2020-05-24	0.0	13.0	4.244	533.421
2020-05-25	0.0	13.0	3.952	537.373
2020-05-26	0.0	13.0	3.698	541.071
2020-05-27	0.0	13.0	3.48	544.551
2020-05-28	0.0	13.0	3.291	547.842
2020-05-29	0.0	13.0	3.115	550.957
2020-05-30	0.0	13.0	2.941	553.898
2020-05-31	0.0	13.0	2.767	556.665
2020-06-01	0.0	13.0	2.592	559.257
2020-06-02	0.0	13.0	2.418	561.675
2020-06-03	0.0	13.0	2.247	563.922
2020-06-04	0.0	13.0	2.09	566.012
2020-06-05	0.0	13.0	1.95	567.962
2020-06-06	0.0	13.0	1.824	569.786
2020-06-07	0.0	13.0	1.711	571.497
2020-06-08	0.0	13.0	1.608	573.105
2020-06-09	0.0	13.0	1.507	574.612
2020-06-10	0.0	13.0	1.406	576.018
2020-06-11	0.0	13.0	1.304	577.322
2020-06-12	0.0	13.0	1.203	578.525
2020-06-13	0.0	13.0	1.101	579.626
2020-06-14	0.0	13.0	0.999	580.625
2020-06-15	0.0	13.0	0.9	581.525
2020-06-16	0.0	13.0	0.808	582.333
2020-06-17	0.0	13.0	0.723	583.056
2020-06-18	0.0	13.0	0.646	583.702
2020-06-19	0.0	13.0	0.575	584.277
2020-06-20	0.0	13.0	0.509	584.786
2020-06-21	0.0	13.0	0.443	585.229
2020-06-22	0.0	13.0	0.377	585.606
2020-06-23	0.0	13.0	0.31	585.916
2020-06-24	0.0	13.0	0.242	586.158
2020-06-25	0.0	13.0	0.172	586.33
2020-06-26	0.0	13.0	0.111	586.441
2020-06-27	0.0	13.0	0.068	586.509
2020-06-28	0.0	13.0	0.043	586.552
2020-06-29	0.0	13.0	0.028	586.58
2020-06-30	0.0	13.0	0.02	586.6
2020-07-01	0.0	13.0	0.016	586.616
2020-07-02	0.0	13.0	0.013	586.629
2020-07-03	0.0	13.0	0.01	586.639
2020-07-04	0.0	13.0	0.0	586.639
2020-07-05	0.0	13.0	0.0	586.639
2020-07-06	0.0	13.0	0.0	586.639
2020-07-07	0.0	13.0	0.0	586.639
2020-07-08	0.0	13.0	0.0	586.639
2020-07-09	0.0	13.0	0.0	586.639
2020-07-10	0.0	13.0	0.0	586.639
2020-07-11	0.0	13.0	0.0	586.639
2020-07-12	0.0	13.0	0.0	586.639
2020-07-13	0.0	13.0	0.0	586.639
2020-07-14	0.0	13.0	0.0	586.639
2020-07-15	0.0	13.0	0.0	586.639
2020-07-16	0.0	13.0	0.0	586.639
2020-07-17	0.0	13.0	0.0	586.639
2020-07-18	0.0	13.0	0.0	586.639
2020-07-19	0.0	13.0	0.0	586.639
2020-07-20	0.0	13.0	0.0	586.639
2020-07-21	0.0	13.0	0.0	586.639
2020-07-22	0.0	13.0	0.0	586.639
2020-07-23	0.0	13.0	0.0	586.639
2020-07-24	0.0	13.0	0.0	586.639
2020-07-25	0.0	13.0	0.0	586.639
2020-07-26	0.0	13.0	0.0	586.639
2020-07-27	0.0	13.0	0.0	586.639
2020-07-28	0.0	13.0	0.0	586.639
2020-07-29	0.0	13.0	0.0	586.639
2020-07-30	0.0	13.0	0.0	586.639
2020-07-31	0.0	13.0	0.0	586.639
2020-08-01	0.0	13.0	0.0	586.639
2020-08-02	0.0	13.0	0.0	586.639
2020-08-03	0.0	13.0	0.0	586.639
2020-08-04	0.0	13.0	0.0	586.639
2020-08-05	0.0	13.0	0.0	586.639
2020-08-06	0.0	13.0	0.0	586.639
2020-08-07	0.0	13.0	0.0	586.639
2020-08-08	0.0	13.0	0.0	586.639
2020-08-09	0.0	13.0	0.0	586.639
2020-08-10	0.0	13.0	0.0	586.639
2020-08-11	0.0	13.0	0.0	586.639
2020-08-12	0.0	13.0	0.0	586.639
2020-08-13	0.0	13.0	0.0	586.639
2020-08-14	0.0	13.0	0.0	586.639
2020-08-15	0.0	13.0	0.0	586.639
2020-08-16	0.0	13.0	0.0	586.639
2020-08-17	0.0	13.0	0.0	586.639
2020-08-18	0.0	13.0	0.0	586.639
2020-08-19	0.0	13.0	0.0	586.639
2020-08-20	0.0	13.0	0.0	586.639
2020-08-21	0.0	13.0	0.0	586.639
2020-08-22	0.0	13.0	0.0	586.639
2020-08-23	0.0	13.0	0.0	586.639
2020-08-24	0.0	13.0	0.0	586.639
2020-08-25	0.0	13.0	0.0	586.639
2020-08-26	0.0	13.0	0.0	586.639
2020-08-27	0.0	13.0	0.0	586.639
2020-08-28	0.0	13.0	0.0	586.639
2020-08-29	0.0	13.0	0.0	586.639
2020-08-30	0.0	13.0	0.0	586.639
