Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
British Columbia	970	19	0	0	0.00019322	3.78e-06	6333.33333333	2923.07692308	1900	0.00126	0.000581538461538	0.000378	86	2	100	100	42028	0.008223
Newfoundland and Labrador	148	1	0	0	0.00028256	1.91e-06	333.333333333	153.846153846	100	0.000636666666667	0.000293846153846	0.000191	13	1	-13.3	100	2333	0.004475
Newfoundland and Labrador	148	1	0	0	0.00028256	1.91e-06	333.333333333	153.846153846	100	0.000636666666667	0.000293846153846	0.000191	13	1	-13.3	100	2333	0.004475
Grand Princess	13	0	0	0	N/A	N/A	65	26	16.25	N/A	N/A	N/A	0	0	100	100	NA	NA
Prince Edward Island	18	0	0	0	0.00011632	0.0	90	36	22.5	0.0005816	0.00023264	0.0001454	7	0	100	100	608	0.003844
Prince Edward Island	18	0	0	0	0.00011632	0.0	90	36	22.5	0.0005816	0.00023264	0.0001454	7	0	100	100	608	0.003844
Diamond Princess	0	1	0	0	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	0	0	100	100	NA	NA
Ontario	1706	31	0	0	0.00011809	2.15e-06	10333.3333333	4769.23076923	3100	0.000716666666667	0.000330769230769	0.000215	351	10	66.4	233.3	48461	0.003294
Ontario	1706	31	0	0	0.00011809	2.15e-06	10333.3333333	4769.23076923	3100	0.000716666666667	0.000330769230769	0.000215	351	10	66.4	233.3	48461	0.003294
Nova Scotia	127	0	0	0	0.00013074	0.0	635	254	158.75	0.0006537	0.00026148	0.000163425	5	0	-58.3	100	5172	0.005291
Nova Scotia	127	0	0	0	0.00013074	0.0	635	254	158.75	0.0006537	0.00026148	0.000163425	5	0	-58.3	100	5172	0.005291
Quebec	3430	22	0	0	0.00040672	2.61e-06	7333.33333333	3384.61538462	2200	0.00087	0.000401538461538	0.000261	590	0	72.5	100	NA	NA
Saskatchewan	156	2	0	0	0.00013351	1.71e-06	666.666666667	307.692307692	200	0.00057	0.000263076923077	0.000171	0	2	-100	100	9311	0.00788
Saskatchewan	156	2	0	0	0.00013351	1.71e-06	666.666666667	307.692307692	200	0.00057	0.000263076923077	0.000171	0	2	-100	100	9311	0.00788
Alberta	661	3	0	0	0.0001521	6.9e-07	1000	461.538461538	300	0.00023	0.000106153846154	6.9e-05	40	1	-49.4	100	48692	0.011033
Alberta	661	3	0	0	0.0001521	6.9e-07	1000	461.538461538	300	0.00023	0.000106153846154	6.9e-05	40	1	-49.4	100	46057	0.010436
Manitoba	96	1	0	0	7.057e-05	7.4e-07	333.333333333	153.846153846	100	0.000246666666667	0.000113846153846	7.4e-05	24	0	200	100	8550	0.006207
Manitoba	96	1	0	0	7.057e-05	7.4e-07	333.333333333	153.846153846	100	0.000246666666667	0.000113846153846	7.4e-05	24	0	200	100	8550	0.006207
Northwest Territories	1	0	0	0	2.242e-05	0.0	5	2	1.25	0.0001121	4.484e-05	2.8025e-05	0	0	100	100	833	0.018551
Northwest Territories	1	0	0	0	2.242e-05	0.0	5	2	1.25	0.0001121	4.484e-05	2.8025e-05	0	0	100	100	833	0.018551
New Brunswick	68	0	0	0	8.807e-05	0.0	340	136	85	0.00044035	0.00017614	0.0001100875	2	0	-86.7	100	3234	0.004146
New Brunswick	68	0	0	0	8.807e-05	0.0	340	136	85	0.00044035	0.00017614	0.0001100875	2	0	-86.7	100	3234	0.004146
Yukon	4	0	0	0	9.909e-05	0.0	20	8	5	0.00049545	0.00019818	0.0001238625	0	0	100	100	598	0.014558
Yukon	4	0	0	0	9.909e-05	0.0	20	8	5	0.00049545	0.00019818	0.0001238625	0	0	100	100	598	0.014558
