Name	Predicted_New_Cases	Total_Predicted_New_Cases
Voru	0.097	0.097
Rapla	4.414	4.414
Jogeva	0.0	0.0
Saare	43.612	43.612
Laane-Viru	0.0	0.0
Ida-Viru	6.054	6.054
Parnu	1.198	1.198
Hiiu	0.0	0.0
Viljandi	0.0	0.0
Jarva	1.103	1.103
Polva	0.0	0.0
Harju	9.474	9.474
Valga	2.207	2.207
Voru	0.097	0.097
Rapla	4.414	4.414
Jogeva	0.0	0.0
Saare	43.612	43.612
Laane-Viru	0.0	0.0
Ida-Viru	6.054	6.054
Parnu	1.198	1.198
Hiiu	0.0	0.0
Viljandi	0.0	0.0
Jarva	1.103	1.103
Polva	0.0	0.0
Harju	9.474	9.474
Valga	2.207	2.207
Voru	0.097	0.097
Rapla	4.414	4.414
Jogeva	0.0	0.0
Saare	43.612	43.612
Laane-Viru	0.0	0.0
Ida-Viru	6.054	6.054
Parnu	1.198	1.198
Hiiu	0.0	0.0
Viljandi	0.0	0.0
Jarva	1.103	1.103
Polva	0.0	0.0
Harju	9.474	9.474
Valga	2.207	2.207
