Region	Total_Confirmed	Total_Recovered	Total_Deaths	Daily_Confirmed	Daily_Recoverd	Daily_Deaths
Harju	238			8		
Hiiu	6			0		
Ida-Viru	19			5		
Jogeva	3			0		
Jarva	4			2		
Laane	2			0		
Laane-Viru	6			0		
Polva	4			0		
Parnu	42			0		
Rapla	10			2		
Saare	258			17		
Tartu	47			1		
Valga	4			1		
Viljandi	6			0		
Voru	63			0		
other	3			0		
