Region	Confirmed	Recovered	Deaths	Confirmed_per_capita	Deaths_per_capita	IFR_30_Expected	IFR_65_Expected	IFR_100_Expected	IFR_30_Expected_per_capita	IFR_65_Expected_per_capita	IFR_100_Expected_per_capita
Harju	141	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA
Hiiu	2	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA
Ida-Viru	8	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA
Jogeva	1	NA	NA	0.04	NA	NA	NA	NA	NA	NA	NA
Jarva	1	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA
Laane	2	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA
Laane-Viru	2	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA
Polva	4	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA
Parnu	24	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA
Rapla	2	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saare	116	NA	NA	3.46	NA	NA	NA	NA	NA	NA	NA
Tartu	34	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA
Valga	1	NA	NA	0.04	NA	NA	NA	NA	NA	NA	NA
Viljandi	3	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA
Voru	51	NA	NA	1.43	NA	NA	NA	NA	NA	NA	NA
