Province or territory	Total_Confirmed	Total_Recovered	Total_Deaths	Daily_Confirmed	Daily_Recovered	Daily_Deaths
Harju	204			63		
Hiiu	2			0		
Ida-Viru	14			6		
Jarva	1			0		
Jogeva	2			1		
Laane	2			0		
Laane-Viru	2			0		
Parnu	36			12		
Polva	4			0		
Rapla	8			6		
Saare	184			68		
Tartu	44			10		
Voru	61			10		
Valga	3			2		
Viljandi	5			2		
other	3			0		
