Name	Predicted_New_Cases	Total_Predicted_New_Cases
Cumberland	1.5	1840.706
Wayne	0.0	0.0
Williamson	1.658	5397.921
Lewis	0.0	0.0
Wilson	0.003	574.064
Montgomery	2.517	3925.117
Overton	0.668	921.022
Out of TN	32.62	40060.356
Lincoln	0.375	460.174
Maury	0.75	923.354
Henderson	0.0	0.0
Hamilton	4.124	5070.938
Loudon	0.375	460.174
Washington	1.125	1381.533
Hardin	0.0	0.0
Macon	0.138	981.443
Davidson	0.057	4318.737
Roane	0.0	0.0
Fayette	1.5	1841.706
Jefferson	0.0	1.0
McMinn	0.0	0.0
Smith	0.0	0.0
Monroe	0.0	0.0
Stewart	0.024	900.729
Lawrence	0.0	0.0
Benton	0.0	0.0
Houston	0.0	0.0
Henry	0.0	0.0
Grainger	0.0	0.0
Carter	0.0	0.0
Madison	1.336	1842.042
Unicoi	0.0	0.0
Sequatchie	0.0	0.0
McNairy	0.0	0.0
Scott	0.0	0.0
Marshall	0.02	961.607
Unassigned	11.998	14708.649
Claiborne	0.0	0.0
Clay	0.0	0.0
De Kalb	0.0	0.0
Chester	0.375	460.174
Hickman	0.0	0.0
Coffee	0.126	899.24
Humphreys	0.0	0.0
Hardeman	0.066	300.424
Greene	0.0	0.0
Anderson	0.0	0.0
Giles	0.0	0.0
Campbell	0.0	0.0
Union	0.0	0.0
Weakley	0.0	0.0
Perry	0.0	0.0
Haywood	0.281	917.9
Dyer	1.5	1840.706
Obion	0.0	0.0
Cannon	0.514	920.636
Bledsoe	0.0	0.0
Carroll	1.125	1381.533
Morgan	0.131	600.858
Meigs	0.0	0.0
Warren	0.0	0.0
Johnson	0.0	0.0
White	0.0	0.0
Hamblen	0.0	0.0
Rhea	0.0	0.0
Gibson	1.125	1381.533
Grundy	0.668	921.022
Fentress	0.0	0.0
Cheatham	0.75	920.354
Bradley	0.0	2.0
Jackson	0.0	0.0
