Name	Predicted_New_Cases	Total_Predicted_New_Cases
Baltimore City	17.188	3033.007
Somerset	0.0	0.0
Montgomery	9.301	2311.727
Caroline	0.0	2.0
Queen Anne's	12.601	732.535
Frederick	8.92	1474.34
Washington	3.27	434.967
Prince George's	33.619	6643.309
Calvert	0.828	168.441
Garrett	0.0	0.0
Worcester	31.503	1827.333
Talbot	18.902	1096.803
Kent	0.0	0.0
Howard	2.099	514.059
Dorchester	0.0	0.0
Wicomico	12.601	730.535
Charles	83.697	6712.723
Baltimore	47.108	6730.808
Saint Mary's	19.975	1500.514
Carroll	41.849	3355.362
Allegany	0.023	11.161
Anne Arundel	10.48	1955.815
