Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Turkey	30217	649	1326	28242	0.00036707	7.88e-06	216333.333333	99846.1538462	64900	0.00262666666667	0.00121230769231	0.000788	202845	0.002405	3148	75
Italy	132547	16523	22837	93187	0.00219335	0.00027342	5507666.66667	2542000	1652300	0.09114	0.0420646153846	0.027342	721732	0.011937	3599	636
Czech Republic	4822	78	121	4623	0.00045381	7.34e-06	26000	12000	7800	0.00244666666667	0.00112923076923	0.000734	85014	0.007939	235	11
Monaco	77	1	4	72	0.00199059	2.585e-05	333.333333333	153.846153846	100	0.00861666666667	0.00397692307692	0.002585	NA	NA	4	0
Lithuania	843	15	8	820	0.0003022	5.38e-06	5000	2307.69230769	1500	0.00179333333333	0.000827692307692	0.000538	25599	0.009403	32	2
Luxembourg	2843	41	500	2302	0.00467808	6.746e-05	13666.6666667	6307.69230769	4100	0.0224866666667	0.0103784615385	0.006746	24291	0.038805	39	5
France	98963	8926	17428	72609	0.00147734	0.00013325	2975333.33333	1373230.76923	892600	0.0444166666667	0.0205	0.013325	224254	0.003436	5190	833
Andorra	525	21	31	473	0.00681765	0.00027271	7000	3230.76923077	2100	0.0909033333333	0.0419553846154	0.027271	NA	NA	24	3
Switzerland	21657	765	8056	12836	0.00254293	8.983e-05	255000	117692.307692	76500	0.0299433333333	0.01382	0.008983	162500	0.018776	557	50
Georgia	188	2	39	147	5.039e-05	5.4e-07	666.666666667	307.692307692	200	0.00018	8.30769230769e-05	5.4e-05	2762	6.92e-4	14	0
Slovakia	534	2	8	524	9.804e-05	3.7e-07	666.666666667	307.692307692	200	0.000123333333333	5.69230769231e-05	3.7e-05	16191	0.002966	49	1
Ireland	5364	174	25	5165	0.00110518	3.585e-05	58000	26769.2307692	17400	0.01195	0.00551538461538	0.003585	30213	0.006119	370	16
Norway	5865	76	32	5757	0.00110362	1.43e-05	25333.3333333	11692.3076923	7600	0.00476666666667	0.0022	0.00143	111299	0.02053	178	5
Israel	8904	57	585	8262	0.00100227	6.42e-06	19000	8769.23076923	5700	0.00214	0.000987692307692	0.000642	109724	0.012677	474	8
Belarus	700	13	53	634	7.38e-05	1.37e-06	4333.33333333	2000	1300	0.000456666666667	0.000210769230769	0.000137	40000	0.004233	138	5
Iceland	1562	6	460	1096	0.00441775	1.697e-05	2000	923.076923077	600	0.00565666666667	0.00261076923077	0.001697	27880	0.081701	76	2
Montenegro	233	2	1	230	0.00037439	3.21e-06	666.666666667	307.692307692	200	0.00107	0.000493846153846	0.000321	1722	0.002742	19	0
Slovenia	1021	30	102	889	0.00049386	1.451e-05	10000	4615.38461538	3000	0.00483666666667	0.00223230769231	0.001451	28253	0.01359	24	2
Germany	103374	1810	28700	72864	0.00124655	2.183e-05	603333.333333	278461.538462	181000	0.00727666666667	0.00335846153846	0.002183	918460	0.010962	3251	226
Bosnia and Herzegovina	674	29	47	598	0.00020277	8.72e-06	9666.66666667	4461.53846154	2900	0.00290666666667	0.00134153846154	0.000872	5934	0.001809	20	6
Armenia	833	8	62	763	0.0002822	2.71e-06	2666.66666667	1230.76923077	800	0.000903333333333	0.000416923076923	0.000271	4929	0.001663	11	1
Belgium	20814	1632	3986	15196	0.00182226	0.00014288	544000	251076.923077	163200	0.0476266666667	0.0219815384615	0.014288	70000	0.00604	1123	185
Spain	136675	13341	40437	82897	0.00292517	0.00028553	4447000	2052461.53846	1334100	0.0951766666667	0.0439276923077	0.028553	355000	0.007593	5029	700
Ukraine	1319	38	28	1253	2.956e-05	8.5e-07	12666.6666667	5846.15384615	3800	0.000283333333333	0.000130769230769	8.5e-05	5864	1.34e-4	11	1
San Marino	266	32	35	199	0.00787332	0.00094717	10666.6666667	4923.07692308	3200	0.315723333333	0.145718461538	0.094717	586	0.01727	0	0
Netherlands	18926	1874	258	16794	0.00109837	0.00010876	624666.666667	288307.692308	187400	0.0362533333333	0.0167323076923	0.010876	86589	0.005053	973	103
Denmark	4875	187	1489	3199	0.00084089	3.226e-05	62333.3333333	28769.2307692	18700	0.0107533333333	0.00496307692308	0.003226	52936	0.009139	314	8
Poland	4413	107	162	4144	0.0001162	2.82e-06	35666.6666667	16461.5384615	10700	0.00094	0.000433846153846	0.000282	85467	0.002258	311	13
Finland	2176	27	300	1849	0.00039434	4.89e-06	9000	4153.84615385	2700	0.00163	0.000752307692308	0.000489	32800	0.00592	249	-1
Macedonia	570	23	30	517	0.00027365	1.104e-05	7666.66666667	3538.46153846	2300	0.00368	0.00169846153846	0.001104	NA	NA	15	5
Moldova	965	19	37	909	0.00027215	5.36e-06	6333.33333333	2923.07692308	1900	0.00178666666667	0.000824615384615	0.000536	NA	NA	101	4
Liechtenstein	77	1	55	21	0.00203113	2.638e-05	333.333333333	153.846153846	100	0.00879333333333	0.00405846153846	0.002638	900	0.023605	0	0
Latvia	542	1	16	525	0.00028133	5.2e-07	333.333333333	153.846153846	100	0.000173333333333	8e-05	5.2e-05	21453	0.011374	9	0
Croatia	1222	16	130	1076	0.00029882	3.91e-06	5333.33333333	2461.53846154	1600	0.00130333333333	0.000601538461538	0.000391	11464	0.002793	40	1
Malta	241	0	5	236	0.00049842	0.0	1205	482	301.25	0.0024921	0.00099684	0.000623025	10923	0.024738	14	0
Vatican	7	0	0	7	0.00873908	0.0	35	14	8.75	0.0436954	0.01747816	0.01092385	NA	NA	0	0
Sweden	7206	477	205	6524	0.00070764	4.684e-05	159000	73384.6153846	47700	0.0156133333333	0.00720615384615	0.004684	36900	0.003654	376	76
Russia	6343	47	406	5890	4.39e-05	3.3e-07	15666.6666667	7230.76923077	4700	0.00011	5.07692307692e-05	3.3e-05	758000	0.005194	954	2
Bulgaria	549	22	39	488	7.816e-05	3.13e-06	7333.33333333	3384.61538462	2200	0.00104333333333	0.000481538461538	0.000313	15899	0.002288	18	2
Romania	4057	176	406	3475	0.00020833	9.04e-06	58666.6666667	27076.9230769	17600	0.00301333333333	0.00139076923077	0.000904	40987	0.002131	193	25
Albania	377	21	116	240	0.00013152	7.33e-06	7000	3230.76923077	2100	0.00244333333333	0.00112769230769	0.000733	2571	8.93e-4	16	1
Portugal	11730	311	140	11279	0.00114086	3.025e-05	103666.666667	47846.1538462	31100	0.0100833333333	0.00465384615385	0.003025	110000	0.010788	452	16
Estonia	1108	19	62	1027	0.00083883	1.438e-05	6333.33333333	2923.07692308	1900	0.00479333333333	0.00221230769231	0.001438	21866	0.016484	11	4
Kosovo	145	1	23	121	7.858e-05	5.4e-07	333.333333333	153.846153846	100	0.00018	8.30769230769e-05	5.4e-05	NA	NA	0	0
Azerbaijan	641	7	44	590	6.447e-05	7e-07	2333.33333333	1076.92307692	700	0.000233333333333	0.000107692307692	7e-05	45000	0.004438	57	0
United Kingdom	52279	5385	287	46607	0.00078628	8.099e-05	1795000	828461.538462	538500	0.0269966666667	0.01246	0.008099	252958	0.003726	3843	442
Austria	12297	220	3463	8614	0.00138996	2.487e-05	73333.3333333	33846.1538462	22000	0.00829	0.00382615384615	0.002487	111296	0.012357	246	16
West Bank and Gaza	254	1	24	229	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	12738	0.002497	17	0
Republic of Serbia	2200	58	0	2142	0.00031509	8.31e-06	19333.3333333	8923.07692308	5800	0.00277	0.00127846153846	0.000831	8552	9.79e-4	292	7
Greece	1755	79	269	1407	0.0001636	7.36e-06	26333.3333333	12153.8461538	7900	0.00245333333333	0.00113230769231	0.000736	26193	0.002513	20	6
