Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	1236	30	0	1206	1.501e-05	3.6e-07	10000	4615.38461538	3000	0.00012	5.53846153846e-05	3.6e-05	566	21	20345	2.45e-4
Italy	59138	5476	7024	46638	0.0009786	9.062e-05	1825333.33333	842461.538462	547600	0.0302066666667	0.0139415384615	0.009062	5560	651	232222	0.00385
Czech Republic	1120	1	6	1113	0.0001054	9e-08	333.333333333	153.846153846	100	3e-05	1.38461538462e-05	9e-06	125	1	NA	NA
Vatican	1	0	0	1	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	NA	NA
San Marino	175	20	4	151	0.00517981	0.00059198	6666.66666667	3076.92307692	2000	0.197326666667	0.0910738461538	0.059198	31	0	NA	NA
Luxembourg	798	8	6	784	0.00131309	1.316e-05	2666.66666667	1230.76923077	800	0.00438666666667	0.00202461538462	0.001316	128	0	NA	NA
France	16214	676	2201	13337	0.00024205	1.009e-05	225333.333333	104000	67600	0.00336333333333	0.00155230769231	0.001009	1874	113	NA	NA
Andorra	113	1	1	111	0.00146742	1.299e-05	333.333333333	153.846153846	100	0.00433	0.00199846153846	0.001299	25	1	NA	NA
Georgia	54	0	1	53	1.447e-05	0.0	270	108	67.5	7.235e-05	2.894e-05	1.80875e-05	5	0	NA	NA
Slovakia	185	0	7	178	3.396e-05	0.0	925	370	231.25	0.0001698	6.792e-05	4.245e-05	7	-1	3489	6.4e-4
Ireland	906	4	5	897	0.00018667	8.2e-07	1333.33333333	615.384615385	400	0.000273333333333	0.000126153846154	8.2e-05	121	1	NA	NA
Norway	2263	7	6	2250	0.00042583	1.32e-06	2333.33333333	1076.92307692	700	0.00044	0.000203076923077	0.000132	145	0	54393	0.010134
Lithuania	129	1	1	127	4.624e-05	3.6e-07	333.333333333	153.846153846	100	0.00012	5.53846153846e-05	3.6e-05	46	0	NA	NA
Israel	1071	1	37	1033	0.00012056	1.1e-07	333.333333333	153.846153846	100	3.66666666667e-05	1.69230769231e-05	1.1e-05	188	0	NA	NA
Belarus	76	0	15	61	8.01e-06	0.0	380	152	95	4.005e-05	1.602e-05	1.00125e-05	0	0	NA	NA
Iceland	568	1	5	562	0.00160645	2.83e-06	333.333333333	153.846153846	100	0.000943333333333	0.000435384615385	0.000283	95	0	10118	0.027777
Montenegro	21	0	0	21	3.374e-05	0.0	105	42	26.25	0.0001687	6.748e-05	4.2175e-05	7	0	NA	NA
Slovenia	414	2	0	412	0.00020025	9.7e-07	666.666666667	307.692307692	200	0.000323333333333	0.000149230769231	9.7e-05	31	1	13098	0.006255
Germany	24873	94	266	24513	0.00029994	1.13e-06	31333.3333333	14461.5384615	9400	0.000376666666667	0.000173846153846	0.000113	2660	10	483295	0.005812
Bosnia and Herzegovina	126	1	2	123	3.791e-05	3e-07	333.333333333	153.846153846	100	0.0001	4.61538461538e-05	3e-05	33	0	876	2.49e-4
Armenia	194	0	2	192	6.572e-05	0.0	970	388	242.5	0.0003286	0.00013144	8.215e-05	34	0	NA	NA
Belgium	3401	75	263	3063	0.00029776	6.57e-06	25000	11538.4615385	7500	0.00219	0.00101076923077	0.000657	586	8	NA	NA
Spain	28603	1756	2125	24722	0.00061217	3.758e-05	585333.333333	270153.846154	175600	0.0125266666667	0.00578153846154	0.003758	3229	381	NA	NA
Ukraine	73	3	1	69	1.64e-06	7e-08	1000	461.538461538	300	2.33333333333e-05	1.07692307692e-05	7e-06	26	0	531	1.3e-5
Netherlands	4217	180	3	4034	0.00024473	1.045e-05	60000	27692.3076923	18000	0.00348333333333	0.00160769230769	0.001045	577	43	NA	NA
Denmark	1514	13	4	1497	0.00026115	2.24e-06	4333.33333333	2000	1300	0.000746666666667	0.000344615384615	0.000224	94	0	14597	0.002462
Poland	634	7	13	614	1.669e-05	1.8e-07	2333.33333333	1076.92307692	700	6e-05	2.76923076923e-05	1.8e-05	98	2	17607	4.59e-4
Finland	626	1	10	615	0.00011345	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	103	0	10000	0.001808
Macedonia	115	1	1	113	5.521e-05	4.8e-07	333.333333333	153.846153846	100	0.00016	7.38461538462e-05	4.8e-05	30	1	NA	NA
Moldova	94	1	1	92	2.651e-05	2.8e-07	333.333333333	153.846153846	100	9.33333333333e-05	4.30769230769e-05	2.8e-05	14	0	NA	NA
Sweden	1931	21	16	1894	0.00018963	2.06e-06	7000	3230.76923077	2100	0.000686666666667	0.000316923076923	0.000206	168	1	NA	NA
Latvia	139	0	1	138	7.215e-05	0.0	695	278	173.75	0.00036075	0.0001443	9.01875e-05	15	0	5127	0.00267
Croatia	254	1	5	248	6.211e-05	2.4e-07	333.333333333	153.846153846	100	8e-05	3.69230769231e-05	2.4e-05	48	0	NA	NA
Malta	90	0	2	88	0.00018613	0.0	450	180	112.5	0.00093065	0.00037226	0.0002326625	17	0	NA	NA
Monaco	23	0	1	22	0.00059459	0.0	115	46	28.75	0.00297295	0.00118918	0.0007432375	12	0	NA	NA
Switzerland	7474	98	131	7245	0.00087759	1.151e-05	32666.6666667	15076.9230769	9800	0.00383666666667	0.00177076923077	0.001151	899	23	NA	NA
Russia	367	1	16	350	2.54e-06	1e-08	333.333333333	153.846153846	100	3.33333333333e-06	1.53846153846e-06	1e-06	61	0	163529	0.001114
Bulgaria	187	3	3	181	2.662e-05	4.3e-07	1000	461.538461538	300	0.000143333333333	6.61538461538e-05	4.3e-05	24	0	NA	NA
Romania	433	3	64	366	2.223e-05	1.5e-07	1000	461.538461538	300	5e-05	2.30769230769e-05	1.5e-05	66	3	NA	NA
Albania	89	2	2	85	3.105e-05	7e-07	666.666666667	307.692307692	200	0.000233333333333	0.000107692307692	7e-05	13	0	NA	NA
Estonia	326	0	4	322	0.0002468	0.0	1630	652	407.5	0.001234	0.0004936	0.0003085	20	0	3229	0.002431
Portugal	1600	14	5	1581	0.00015562	1.36e-06	4666.66666667	2153.84615385	1400	0.000453333333333	0.000209230769231	0.000136	320	2	11779	0.001146
Liechtenstein	37	0	0	37	0.000976	0.0	185	74	46.25	0.00488	0.001952	0.00122	0	0	NA	NA
Azerbaijan	65	1	11	53	6.54e-06	1e-07	333.333333333	153.846153846	100	3.33333333333e-05	1.53846153846e-05	1e-05	12	0	NA	NA
