Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Tests	Tests_per_capita
Turkey	3629	75	26	3528	4.408e-05	9.1e-07	25000	11538.4615385	7500	0.000303333333333	0.00014	9.1e-05	1196	16	NA	NA
Italy	80589	8215	10361	62013	0.00133356	0.00013594	2738333.33333	1263846.15385	821500	0.0453133333333	0.0209138461538	0.013594	6203	712	361060	0.005986
Czech Republic	1925	9	10	1906	0.00018116	8.5e-07	3000	1384.61538462	900	0.000283333333333	0.000130769230769	8.5e-05	271	3	26698	0.002507
Monaco	33	0	1	32	0.00085311	0.0	165	66	41.25	0.00426555	0.00170622	0.0010663875	2	0	NA	NA
Lithuania	299	4	1	294	0.00010719	1.43e-06	1333.33333333	615.384615385	400	0.000476666666667	0.00022	0.000143	25	0	4320	0.001546
Luxembourg	1453	9	6	1438	0.00239087	1.481e-05	3000	1384.61538462	900	0.00493666666667	0.00227846153846	0.001481	120	1	NA	NA
France	29551	1698	4955	22898	0.00044114	2.535e-05	566000	261230.769231	169800	0.00845	0.0039	0.002535	3951	365	NA	NA
Andorra	224	3	1	220	0.00290886	3.896e-05	1000	461.538461538	300	0.0129866666667	0.00599384615385	0.003896	36	2	NA	NA
Switzerland	11811	191	131	11489	0.00138683	2.243e-05	63666.6666667	29384.6153846	19100	0.00747666666667	0.00345076923077	0.002243	914	38	91400	0.010664999999999999
Georgia	79	0	11	68	2.117e-05	0.0	395	158	98.75	0.00010585	4.234e-05	2.64625e-05	4	0	NA	NA
Slovakia	226	0	2	224	4.149e-05	0.0	1130	452	282.5	0.00020745	8.298e-05	5.18625e-05	10	0	5664	0.001039
Ireland	1819	19	5	1795	0.00037478	3.91e-06	6333.33333333	2923.07692308	1900	0.00130333333333	0.000601538461538	0.000391	255	10	NA	NA
Norway	3369	14	6	3349	0.00063395	2.63e-06	4666.66666667	2153.84615385	1400	0.000876666666667	0.000404615384615	0.000263	285	0	NA	NA
Israel	2693	8	68	2617	0.00030314	9e-07	2666.66666667	1230.76923077	800	0.0003	0.000138461538462	9e-05	324	3	NA	NA
Belarus	86	0	29	57	9.07e-06	0.0	430	172	107.5	4.535e-05	1.814e-05	1.13375e-05	0	0	NA	NA
Iceland	802	2	82	718	0.00226827	5.66e-06	666.666666667	307.692307692	200	0.00188666666667	0.000870769230769	0.000566	65	0	NA	NA
