Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily	Confirmed_change	Deaths_change	Tests	Tests_per_capita
Turkey	192	3	0	N/A	2.33e-06	4e-08	1000	461.538461538	300	1.33333333333e-05	6.15384615385e-06	4e-06	94	2	84.3	100	NA	NA
Italy	41035	3405	4440	N/A	0.00067904	5.634e-05	1135000	523846.153846	340500	0.01878	0.00866769230769	0.005634	5322	427	26.5	-10.1	NA	NA
Czech Republic	694	0	3	N/A	6.531e-05	0.0	3470	1388	867.5	0.00032655	0.00013062	8.16375e-05	230	0	238.2	100	11619	0.001091
Vatican	1	0	0	N/A	0.00124844	0.0	5	2	1.25	0.0062422	0.00249688	0.00156055	0	0	100	100	NA	NA
San Marino	119	11	4	N/A	0.00352227	0.00032559	3666.66666667	1692.30769231	1100	0.10853	0.0500907692308	0.032559	0	0	-100	-100	NA	NA
Luxembourg	335	4	0	N/A	0.00055123	6.58e-06	1333.33333333	615.384615385	400	0.00219333333333	0.00101230769231	0.000658	132	2	109.5	100	NA	NA
France	10909	244	12	N/A	0.00016285	3.64e-06	81333.3333333	37538.4615385	24400	0.00121333333333	0.00056	0.000364	1838	95	34	100	NA	NA
Andorra	53	0	1	N/A	0.00068826	0.0	265	106	66.25	0.0034413	0.00137652	0.000860325	14	0	100	100	NA	NA
Georgia	40	0	1	N/A	1.072e-05	0.0	200	80	50	5.36e-05	2.144e-05	1.34e-05	2	0	-50	100	NA	NA
Slovakia	123	1	0	N/A	2.258e-05	1.8e-07	333.333333333	153.846153846	100	6e-05	2.76923076923e-05	1.8e-05	18	0	-45.5	-100	NA	NA
Ireland	557	3	5	N/A	0.00011476	6.2e-07	1000	461.538461538	300	0.000206666666667	9.53846153846e-05	6.2e-05	265	1	284.1	100	NA	NA
Norway	1746	7	1	N/A	0.00032855	1.32e-06	2333.33333333	1076.92307692	700	0.00044	0.000203076923077	0.000132	196	1	125.3	-66.7	NA	NA
Lithuania	36	0	1	N/A	1.291e-05	0.0	180	72	45	6.455e-05	2.582e-05	1.61375e-05	9	0	350	100	NA	NA
Israel	677	0	11	N/A	7.621e-05	0.0	3385	1354	846.25	0.00038105	0.00015242	9.52625e-05	244	0	154.2	100	NA	NA
Belarus	51	0	5	N/A	5.38e-06	0.0	255	102	63.75	2.69e-05	1.076e-05	6.725e-06	0	0	-100	100	NA	NA
Iceland	330	1	5	N/A	0.00093333	2.83e-06	333.333333333	153.846153846	100	0.000943333333333	0.000435384615385	0.000283	80	0	166.7	100	NA	NA
Montenegro	3	0	0	N/A	4.82e-06	0.0	15	6	3.75	2.41e-05	9.64e-06	6.025e-06	2	0	-300	100	NA	NA
Slovenia	286	1	0	N/A	0.00013834	4.8e-07	333.333333333	153.846153846	100	0.00016	7.38461538462e-05	4.8e-05	11	0	100	100	9860	0.004742
Germany	15320	44	113	N/A	0.00018474	5.3e-07	14666.6666667	6769.23076923	4400	0.000176666666667	8.15384615385e-05	5.3e-05	2993	16	-2.5	300	NA	NA
Bosnia and Herzegovina	63	0	2	N/A	1.895e-05	0.0	315	126	78.75	9.475e-05	3.79e-05	2.36875e-05	25	0	108.3	100	NA	NA
Armenia	115	0	1	N/A	3.896e-05	0.0	575	230	143.75	0.0001948	7.792e-05	4.87e-05	31	0	416.7	100	NA	NA
Belgium	1795	21	31	N/A	0.00015715	1.84e-06	7000	3230.76923077	2100	0.000613333333333	0.000283076923077	0.000184	309	7	27.2	75	NA	NA
Spain	17963	830	1107	N/A	0.00038445	1.776e-05	276666.666667	127692.307692	83000	0.00592	0.00273230769231	0.001776	4053	207	87.5	130	NA	NA
Ukraine	16	2	0	N/A	3.6e-07	4e-08	666.666666667	307.692307692	200	1.33333333333e-05	6.15384615385e-06	4e-06	2	0	100	100	NA	NA
Netherlands	2465	77	2	N/A	0.00014306	4.47e-06	25666.6666667	11846.1538462	7700	0.00149	0.000687692307692	0.000447	409	19	17.5	26.7	NA	NA
Denmark	1225	6	1	N/A	0.0002113	1.03e-06	2000	923.076923077	600	0.000343333333333	0.000158461538462	0.000103	109	2	19.8	100	10262	0.001762
Poland	355	5	1	N/A	9.35e-06	1.3e-07	1666.66666667	769.230769231	500	4.33333333333e-05	2e-05	1.3e-05	104	0	700	100	11196	2.94e-4
Finland	400	0	10	N/A	7.249e-05	0.0	2000	800	500	0.00036245	0.00014498	9.06125e-05	64	0	326.7	100	3000	5.42e-4
Macedonia	48	0	1	N/A	2.304e-05	0.0	240	96	60	0.0001152	4.608e-05	2.88e-05	13	0	44.4	100	NA	NA
Moldova	49	1	1	N/A	1.382e-05	2.8e-07	333.333333333	153.846153846	100	9.33333333333e-05	4.30769230769e-05	2.8e-05	19	0	100	-100	NA	NA
Sweden	1439	11	16	N/A	0.00014131	1.08e-06	3666.66666667	1692.30769231	1100	0.00036	0.000166153846154	0.000108	160	1	79.8	-66.7	NA	NA
Latvia	86	0	1	N/A	4.464e-05	0.0	430	172	107.5	0.0002232	8.928e-05	5.58e-05	15	0	-31.8	100	NA	NA
Croatia	105	1	5	N/A	2.568e-05	2.4e-07	333.333333333	153.846153846	100	8e-05	3.69230769231e-05	2.4e-05	24	1	50	100	NA	NA
Malta	53	0	2	N/A	0.00010961	0.0	265	106	66.25	0.00054805	0.00021922	0.0001370125	15	0	100	100	NA	NA
Guernsey	0	0	0	N/A	0.0	0.0	0	0	0	0.0	0.0	0.0	NA	NA	100	100	NA	NA
Monaco	7	0	0	N/A	0.00018096	0.0	35	14	8.75	0.0009048	0.00036192	0.0002262	0	0	100	100	NA	NA
Switzerland	4075	41	15	N/A	0.00047848	4.81e-06	13666.6666667	6307.69230769	4100	0.00160333333333	0.00074	0.000481	1047	13	219.2	1200	NA	NA
Russia	199	1	9	N/A	1.38e-06	1e-08	333.333333333	153.846153846	100	3.33333333333e-06	1.53846153846e-06	1e-06	52	1	57.6	100	NA	NA
Jersey	0	0	0	N/A	0.0	0.0	0	0	0	0.0	0.0	0.0	NA	NA	100	100	NA	NA
Bulgaria	94	3	0	N/A	1.338e-05	4.3e-07	1000	461.538461538	300	0.000143333333333	6.61538461538e-05	4.3e-05	2	1	-92	100	NA	NA
Romania	277	0	25	N/A	1.422e-05	0.0	1385	554	346.25	7.11e-05	2.844e-05	1.7775e-05	17	0	-77.6	100	NA	NA
Albania	64	2	0	N/A	2.233e-05	7e-07	666.666666667	307.692307692	200	0.000233333333333	0.000107692307692	7e-05	5	0	25	-100	NA	NA
