Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Slovenia	841	15	10	816	0.0004068	7.26e-06	5000	2307.69230769	1500	0.00242	0.00111692307692	0.000726	24857	0.01187	39	0
Germany	77872	920	18700	58252	0.00093903	1.109e-05	306666.666667	141538.461538	92000	0.00369666666667	0.00170615384615	0.001109	NA	NA	6064	145
Bosnia and Herzegovina	459	13	19	427	0.00013809	3.91e-06	4333.33333333	2000	1300	0.00130333333333	0.000601538461538	0.000391	3483	0.00101	39	0
Armenia	571	4	31	536	0.00019344	1.36e-06	1333.33333333	615.384615385	400	0.000453333333333	0.000209230769231	0.000136	3275	0.00111	39	1
Belgium	13964	828	2132	11004	0.00122255	7.249e-05	276000	127384.615385	82800	0.0241633333333	0.0111523076923	0.007249	NA	NA	1189	123
Spain	104118	9387	22647	72084	0.00222837	0.0002009	3129000	1444153.84615	938700	0.0669666666667	0.0309076923077	0.02009	NA	NA	8195	923
Ukraine	794	20	13	761	1.779e-05	4.5e-07	6666.66666667	3076.92307692	2000	0.00015	6.92307692308e-05	4.5e-05	23178	5.49e-4	149	3
San Marino	236	26	13	197	0.00698535	0.00076957	8666.66666667	4000	2600	0.256523333333	0.118395384615	0.076957	NA	NA	0	0
Netherlands	13696	1175	260	12261	0.00079485	6.819e-05	391666.666667	180769.230769	117500	0.02273	0.0104907692308	0.006819	NA	NA	1029	135
Denmark	3290	104	971	2215	0.00056749	1.794e-05	34666.6666667	16000	10400	0.00598	0.00276	0.001794	31465	0.005307	251	14
Poland	2554	43	47	2464	6.725e-05	1.13e-06	14333.3333333	6615.38461538	4300	0.000376666666667	0.000173846153846	0.000113	55801	0.001454	243	10
Finland	1446	17	10	1419	0.00026205	3.08e-06	5666.66666667	2615.38461538	1700	0.00102666666667	0.000473846153846	0.000308	24200	0.004374	28	0
Macedonia	354	11	17	326	0.00016995	5.28e-06	3666.66666667	1692.30769231	1100	0.00176	0.000812307692308	0.000528	NA	NA	25	2
Moldova	423	5	23	395	0.00011929	1.41e-06	1666.66666667	769.230769231	500	0.00047	0.000216923076923	0.000141	NA	NA	70	1
Liechtenstein	68	0	0	68	0.00179372	0.0	340	136	85	0.0089686	0.00358744	0.00224215	NA	NA	0	0
Latvia	446	0	1	445	0.0002315	0.0	2230	892	557.5	0.0011575	0.000463	0.000289375	15810	0.008235	48	0
Croatia	963	6	73	884	0.00023549	1.47e-06	2000	923.076923077	600	0.00049	0.000226153846154	0.000147	NA	NA	96	0
Malta	188	0	2	186	0.00038881	0.0	940	376	235	0.00194405	0.00077762	0.0004860125	NA	NA	19	0
Vatican	6	0	0	6	0.00749064	0.0	30	12	7.5	0.0374532	0.01498128	0.0093633	NA	NA	0	0
Sweden	4947	239	103	4605	0.0004858	2.347e-05	79666.6666667	36769.2307692	23900	0.00782333333333	0.00361076923077	0.002347	NA	NA	512	59
Russia	2777	24	190	2563	1.922e-05	1.7e-07	8000	3692.30769231	2400	5.66666666667e-05	2.61538461538e-05	1.7e-05	NA	NA	440	7
Bulgaria	422	10	20	392	6.008e-05	1.42e-06	3333.33333333	1538.46153846	1000	0.000473333333333	0.000218461538462	0.000142	NA	NA	23	2
Romania	2460	92	252	2116	0.00012632	4.72e-06	30666.6666667	14153.8461538	9200	0.00157333333333	0.000726153846154	0.000472	NA	NA	215	10
Albania	259	15	67	177	9.036e-05	5.23e-06	5000	2307.69230769	1500	0.00174333333333	0.000804615384615	0.000523	NA	NA	16	0
Portugal	8251	187	43	8021	0.00080249	1.819e-05	62333.3333333	28769.2307692	18700	0.00606333333333	0.00279846153846	0.001819	NA	NA	808	27
Estonia	779	5	33	741	0.00058976	3.79e-06	1666.66666667	769.230769231	500	0.00126333333333	0.000583076923077	0.000379	NA	NA	34	1
Kosovo	125	1	10	114	6.774e-05	5.4e-07	333.333333333	153.846153846	100	0.00018	8.30769230769e-05	5.4e-05	NA	NA	13	0
Azerbaijan	359	5	26	328	3.611e-05	5e-07	1666.66666667	769.230769231	500	0.000166666666667	7.69230769231e-05	5e-05	NA	NA	61	0
United Kingdom	29865	2357	179	27329	0.00044917	3.545e-05	785666.666667	362615.384615	235700	0.0118166666667	0.00545384615385	0.003545	152979	0.002265	4384	564
Austria	10711	146	1436	9129	0.00121069	1.65e-05	48666.6666667	22461.5384615	14600	0.0055	0.00253846153846	0.00165	NA	NA	531	18
West Bank and Gaza	134	1	18	115	N/A	N/A	333.333333333	153.846153846	100	N/A	N/A	N/A	NA	NA	15	0
Republic of Serbia	1060	28	0	1032	0.00015182	4.01e-06	9333.33333333	4307.69230769	2800	0.00133666666667	0.000616923076923	0.000401	NA	NA	160	12
Greece	1415	50	52	1313	0.0001319	4.66e-06	16666.6666667	7692.30769231	5000	0.00155333333333	0.000716923076923	0.000466	NA	NA	101	1
Hungary	525	20	40	465	5.374e-05	2.05e-06	6666.66666667	3076.92307692	2000	0.000683333333333	0.000315384615385	0.000205	15208	0.001556	33	4
Cyprus	320	9	28	283	0.0002735	7.69e-06	3000	1384.61538462	900	0.00256333333333	0.00118307692308	0.000769	NA	NA	58	1
New Zealand	708	1	83	624	0.00014492	2e-07	333.333333333	153.846153846	100	6.66666666667e-05	3.07692307692e-05	2e-05	23481	0.004722	61	0
Australia	4862	20	422	4420	0.00019454	8e-07	6666.66666667	3076.92307692	2000	0.000266666666667	0.000123076923077	8e-05	258290	0.010169	303	2
Fiji	5	0	0	5	5.66e-06	0.0	25	10	6.25	2.83e-05	1.132e-05	7.075e-06	NA	NA	0	0
Papua New Guinea	1	0	0	1	1.2e-07	0.0	5	2	1.25	6e-07	2.4e-07	1.5e-07	NA	NA	0	0
Madagascar	57	0	0	57	2.17e-06	0.0	285	114	71.25	1.085e-05	4.34e-06	2.7125e-06	NA	NA	0	0
