Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
China	82718	3335	77410	1973	5.939e-5	2.39e-6	1111666.66667	513076.923077	333500	7.96666666667e-4	3.67692307692e-4	2.39e-4	NA	NA
Iraq	1122	65	373	684	2.919e-5	1.69e-6	21666.6666667	10000	6500	5.63333333333e-4	2.6e-4	1.69e-4	26331	6.55e-4
Kazakhstan	697	6	51	640	3.814e-5	3.3e-7	2000	923.076923077	600	1.1e-4	5.07692307692e-5	3.3e-5	54767	0.002917
Kyrgyzstan	228	4	33	191	3.61e-5	6.3e-7	1333.33333333	615.384615385	400	2.1e-4	9.69230769231e-5	6.3e-5	9618	0.001474
Maldives	19	0	13	6	3.684e-5	0	95	38	23.75	1.842e-4	7.368e-5	4.605e-5	NA	NA
Oman	371	2	67	302	7.682e-5	4.1e-7	666.666666667	307.692307692	200	1.36666666667e-4	6.30769230769e-5	4.1e-5	NA	NA
Philippines	3764	177	84	3503	3.529e-5	1.66e-6	59000	27230.7692308	17700	5.53333333333e-4	2.55384615385e-4	1.66e-4	22958	2.1e-4
Indonesia	2738	221	204	2313	1.023e-5	8.3e-7	73666.6666667	34000	22100	2.76666666667e-4	1.27692307692e-4	8.3e-5	14354	5.2e-5
Vietnam	249	0	123	126	2.61e-6	0	1245	498	311.25	1.305e-5	5.22e-6	3.2625e-6	106399	0.001093
Mongolia	15	0	4	11	4.73e-6	0	75	30	18.75	2.365e-5	9.46e-6	5.9125e-6	NA	NA
Thailand	2258	27	888	1343	3.252e-5	3.9e-7	9000	4153.84615385	2700	1.3e-4	6e-5	3.9e-5	71860	0.00103
Syria	19	2	3	14	1.12e-6	1.2e-7	666.666666667	307.692307692	200	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Taiwan	376	5	57	314	1.581e-5	2.1e-7	1666.66666667	769.230769231	500	7e-5	3.23076923077e-5	2.1e-5	40702	0.001709
Pakistan	4035	57	429	3549	1.901e-5	2.7e-7	19000	8769.23076923	5700	9e-5	4.15384615385e-5	2.7e-5	39183	1.77e-4
Myanmar	22	1	0	21	4.1e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	1246	2.3e-5
United Arab Emirates	2359	12	186	2161	2.4494e-4	1.25e-6	4000	1846.15384615	1200	4.16666666667e-4	1.92307692308e-4	1.25e-4	220000	0.022244
India	5311	150	421	4740	3.93e-6	1.1e-7	50000	23076.9230769	15000	3.66666666667e-5	1.69230769231e-5	1.1e-5	140293	1.02e-4
Uzbekistan	520	2	30	488	1.578e-5	6e-8	666.666666667	307.692307692	200	2e-5	9.23076923077e-6	6e-6	NA	NA
Malaysia	3963	63	1321	2579	1.2533e-4	1.99e-6	21000	9692.30769231	6300	6.63333333333e-4	3.06153846154e-4	1.99e-4	55566	0.001717
Sri Lanka	185	6	42	137	8.54e-6	2.8e-7	2000	923.076923077	600	9.33333333333e-5	4.30769230769e-5	2.8e-5	3248	1.52e-4
Japan	3906	92	592	3222	3.087e-5	7.3e-7	30666.6666667	14153.8461538	9200	2.43333333333e-4	1.12307692308e-4	7.3e-5	55311	4.37e-4
South Korea	10331	192	6694	3445	2.0008e-4	3.72e-6	64000	29538.4615385	19200	0.00124	5.72307692308e-4	3.72e-4	477304	0.00931
